"Gene","Module","GS_Parkinson","GS_Parkinson_p","MM","MM_p"
"CSF1","brown",0.51312526931055,3.80998709710986e-05,0.947898852875914,1.69000014094788e-29
"MAPKAPK2","brown",0.536773844469238,1.40119701607779e-05,0.946362517808424,3.73560015615403e-29
"EPHX1","brown",0.518953843866247,2.99806061262533e-05,0.942107484118052,2.99186824546135e-28
"RELA","brown",0.601941067551694,5.78965061153703e-07,0.941296103175257,4.36985532075065e-28
"SCAMP2","brown",0.520210996594017,2.84537888598507e-05,0.940846307710634,5.37856904669841e-28
"KLF15","brown",0.616141941619871,2.62380443838797e-07,0.939150496334435,1.16010008161894e-27
"ITPKB","brown",0.495097483247747,7.78236907746487e-05,0.937566851405306,2.33181767265183e-27
"PRICKLE3","brown",0.516773395179521,3.28095708691738e-05,0.935271796114617,6.21295405161946e-27
"INPPL1","brown",0.571807904543494,2.75073512347509e-06,0.934304212047481,9.29137478407863e-27
"SIPA1","brown",0.565156537061686,3.80134310149155e-06,0.931875184386634,2.48533599756972e-26
"BCAT2","brown",0.649742414583433,3.41937142742749e-08,0.930563276668881,4.16543996406835e-26
"TNIP2","brown",0.595875057082363,8.02523953188336e-07,0.925889852492912,2.42306611645358e-25
"PLCB3","brown",0.621088284732705,1.97325656543353e-07,0.92545740172983,2.83518256099006e-25
"SORBS3","brown",0.566727853758918,3.52390154983842e-06,0.924943614808302,3.412672888222e-25
"FLT3LG","brown",0.551308990114193,7.29174690947151e-06,0.923873248248645,5.00039437703073e-25
"ATOH8","brown",0.584484709924343,1.45549492143173e-06,0.921644438219952,1.08849479543616e-24
"DOK1","brown",0.573797394488011,2.49360518728048e-06,0.920966658947525,1.37270638882522e-24
"TTC38","brown",0.538541096873683,1.2963119907703e-05,0.919996567049316,1.90645421050118e-24
"FAM229A","brown",0.623084749589909,1.7564102462613e-07,0.917788644019578,3.96538478637698e-24
"SMOX","brown",0.621752929557872,1.89841737567041e-07,0.913934909966509,1.35720245662668e-23
"ROM1","brown",0.444043864056748,0.000480122072150617,0.913712670567631,1.45443357552961e-23
"ZBTB7B","brown",0.477934576963835,0.000148158604740711,0.913445227064253,1.58033133229725e-23
"HMG20B","brown",0.506395647726158,4.9975575777844e-05,0.912209511736947,2.31119629062805e-23
"ARAP1","brown",0.554199081292072,6.38017777535476e-06,0.911894198030303,2.54432603892901e-23
"LCAT","brown",0.580509576954881,1.78216694208167e-06,0.911196951926719,3.14275177310334e-23
"TCF7L1","brown",0.623418818840087,1.72238987159908e-07,0.910598854179833,3.76186716283368e-23
"PRKD2","brown",0.580713139484902,1.76389762331303e-06,0.910415948987514,3.97352636844657e-23
"CPT1B","brown",0.620762759918286,2.0109139495459e-07,0.908400529564257,7.2078737054375e-23
"RNF135","brown",0.535708408618281,1.46817738309727e-05,0.905689870584698,1.57180145850074e-22
"GDPD3","brown",0.612709849897777,3.18824729001346e-07,0.903706380343027,2.73995837033913e-22
"KLK14","brown",0.644038780488051,4.91813853077265e-08,0.903555947932269,2.85650208652295e-22
"POLD1","brown",0.527101861462945,2.12864356244151e-05,0.903362193204916,3.01363930973341e-22
"PHF19","brown",0.49521369763888,7.74760410063861e-05,0.901719394233655,4.72421992798426e-22
"AGER","brown",0.58820521778405,1.2012753291945e-06,0.899866031012063,7.77160188004254e-22
"TCAP","brown",0.658684658579581,1.90409630140533e-08,0.899668561450866,8.19020801349931e-22
"EFNA4","brown",0.557721827564229,5.41253982251203e-06,0.898768823596144,1.03875551022252e-21
"PYROXD2","brown",0.50527588219084,5.22547159820225e-05,0.898649792827689,1.07175647990788e-21
"TENC1","brown",0.484007558156003,0.000118434169068594,0.898514356283531,1.11053061319116e-21
"TSPO","brown",0.490575090588782,9.25199586642279e-05,0.898245378171902,1.19156873185811e-21
"TRIM47","brown",0.482492841766991,0.000125286335301194,0.897914130060479,1.29918828843129e-21
"HSD3B7","brown",0.520165628090196,2.85076147960357e-05,0.897458334344843,1.46263239937958e-21
"TOB2","brown",0.52259842432708,2.57503147982696e-05,0.897453896370718,1.4643169373728e-21
"RAPGEF3","brown",0.512497979575129,3.90851982384241e-05,0.897027537956284,1.63513722106871e-21
"NFATC1","brown",0.496941153526927,7.24740031164514e-05,0.89630566630758,1.96884236415688e-21
"NRM","brown",0.512232340144723,3.95095022162642e-05,0.894898603717473,2.81666451237902e-21
"SERPINF2","brown",0.609410465755579,3.83670296910609e-07,0.894736921990113,2.93403230284682e-21
"SMO","brown",0.601057374252935,6.07425425314779e-07,0.894567161324955,3.06231335670879e-21
"PPP1R13L","brown",0.534174263063853,1.56985209435127e-05,0.894565281062108,3.06376390471445e-21
"CLDN9","brown",0.548444397245483,8.3135783649141e-06,0.89406333247645,3.47553064986753e-21
"MT2A","brown",0.572958124021133,2.59921101239045e-06,0.893430600844474,4.07067590447172e-21
"BMP1","brown",0.563902357847853,4.03725834511752e-06,0.892664203007592,4.92309587318601e-21
"TBX6","brown",0.52706765691378,2.13174550320342e-05,0.891075420781621,7.26847912091541e-21
"PLIN4","brown",0.627293424853405,1.37049203004352e-07,0.888899255741064,1.2274642567013e-20
"FAM181B","brown",0.49039099563657,9.31689685633281e-05,0.888405588964592,1.38030360985435e-20
"MAP4K1","brown",0.540371575788336,1.19539016780642e-05,0.888312171193606,1.41121141168748e-20
"FBXL7","brown",0.47688967811157,0.000153913482253964,0.886551627552464,2.13433120370745e-20
"CDK2AP2","brown",0.557721765698888,5.41255554602131e-06,0.88563275207398,2.64157999177139e-20
"SMTN","brown",0.604936559798757,4.91516951869578e-07,0.885248025970388,2.88669494475136e-20
"CCDC88B","brown",0.596685179857892,7.68578369144693e-07,0.884432512081186,3.48046098517001e-20
"ABHD4","brown",0.417992343697989,0.00109500282407173,0.88386866321925,3.95774477182546e-20
"C7orf61","brown",0.58562448753369,1.37271677339423e-06,0.882230300202075,5.72788907732477e-20
"SLC26A6","brown",0.603983007071729,5.1791103757919e-07,0.880146640983358,9.09439710380949e-20
"CHST14","brown",0.481823458292188,0.000128428684514471,0.880108579279248,9.17079122974255e-20
"PIEZO1","brown",0.511278547883471,4.10682715187714e-05,0.877194583615241,1.72562352101794e-19
"MTSS1L","brown",0.573705514816153,2.50496809736538e-06,0.876391359345054,2.04832478955217e-19
"NAPSA","brown",0.57976378246525,1.85062195606845e-06,0.873337308136527,3.8889880819508e-19
"NUPR1","brown",0.534741897202055,1.53149499306155e-05,0.8722918069423,4.82510428092371e-19
"TRIP10","brown",0.608899015967501,3.94766698907619e-07,0.871912032071134,5.21589399750731e-19
"DHRS3","brown",0.593526482193427,9.0903955438576e-07,0.871441412597977,5.74238653596543e-19
"AL031663.2","brown",0.557987500651341,5.34540793996823e-06,0.869956867417075,7.75831191108813e-19
"PHF21B","brown",0.569198685846671,3.12554237718477e-06,0.869359897042912,8.74709773438023e-19
"PLEKHF1","brown",0.475887906686601,0.000159622261949029,0.86920396313866,9.02464259374527e-19
"CLASRP","brown",0.528725018468662,1.98615680700047e-05,0.868915018385682,9.56141032200422e-19
"ARHGAP17","brown",0.443712700843467,0.000485382861213805,0.867962622880304,1.15560454169948e-18
"IZUMO4","brown",0.553732984994635,6.51963243602293e-06,0.867851439561468,1.18133731437556e-18
"STXBP2","brown",0.548266406736326,8.38126687362603e-06,0.867217486863471,1.33889261101443e-18
"GPR35","brown",0.621364302533177,1.94184643235468e-07,0.867095229438332,1.37151075740525e-18
"LRP5","brown",0.485998654616821,0.000109949657537813,0.865936740791648,1.72085426039746e-18
"CLDN15","brown",0.553904568206033,6.4679687059607e-06,0.865789500504529,1.7709372860709e-18
"HVCN1","brown",0.541679023717584,1.12782417736494e-05,0.86559924572248,1.83772397721539e-18
"LRP4","brown",0.53623054637601,1.4349898837034e-05,0.860702605904226,4.67552242622476e-18
"AGTRAP","brown",0.427353005390888,0.000820398373446258,0.859675909394175,5.66124888774572e-18
"CARD9","brown",0.643400518143577,5.11990481738607e-08,0.8564426902193,1.02404776753381e-17
"PLK1","brown",0.552827997926011,6.79853520048597e-06,0.855268519822676,1.26546632906403e-17
"WASF2","brown",0.393291769665803,0.00225718975844574,0.855229607108287,1.27433431414845e-17
"EML3","brown",0.417403450069787,0.00111476804945535,0.853793978372195,1.64649409728553e-17
"RAB3IL1","brown",0.565983183186617,3.65294346968223e-06,0.853568234818876,1.71375966880397e-17
"UCP3","brown",0.505285076895312,5.2235617536929e-05,0.851838860713221,2.3238694507353e-17
"REEP4","brown",0.527347571291535,2.10648316434588e-05,0.851550495318144,2.44400843089682e-17
"NPFF","brown",0.626957282271879,1.3981098408421e-07,0.850708078475451,2.83002535689024e-17
"RENBP","brown",0.446732753753447,0.000439284586343369,0.850563742724882,2.90177059945801e-17
