"Gene","Module","GS_Parkinson","GS_Parkinson_p","MM","MM_p"
"MTR","darkorange",-0.539537207433415,1.24045201282162e-05,0.899860105039041,7.78385940478064e-22
"ZNF418","darkorange",-0.537208857052734,1.37467316132866e-05,0.896695834637189,1.78110794866319e-21
"COX15","darkorange",-0.546999651617888,8.87800257358053e-06,0.885457544033693,2.7506226421088e-20
"SCYL3","darkorange",-0.522658705856514,2.56852358470668e-05,0.875184373058985,2.64429690696723e-19
"ZNF136","darkorange",-0.568060827337099,3.30346668950941e-06,0.858017923190546,7.68603526318018e-18
"KDM4D","darkorange",-0.407872636114759,0.00148251598587962,0.851646856655558,2.40321522040335e-17
"DHFRL1","darkorange",-0.456413937079638,0.000317022126292635,0.850470005546684,2.94929453319384e-17
"NSUN3","darkorange",-0.529286380583404,1.93897059783828e-05,0.84564443910187,6.70738398114e-17
"ZNF396","darkorange",-0.527154283597989,2.1238976146878e-05,0.845276790997448,7.13246775058197e-17
"PHF7","darkorange",-0.520044591558244,2.86516754217739e-05,0.840674032348347,1.51915058389704e-16
"SRBD1","darkorange",-0.470936655211262,0.000190790223920105,0.830445039600183,7.50876815453607e-16
"ZNF75D","darkorange",-0.468773291146923,0.000206079022678121,0.825181427026265,1.64034770779545e-15
"RBM3","darkorange",-0.532525523354671,1.68637241786535e-05,0.821944597442754,2.61858792086772e-15
"ZNF596","darkorange",-0.483777134577152,0.000119453877563117,0.819296474750187,3.81270712937462e-15
"ZNF287","darkorange",-0.487843939066594,0.000102588129071802,0.818359799626595,4.34823509539044e-15
"HEXA","darkorange",-0.416183270261684,0.00115674577915023,0.816855256029068,5.36187197949529e-15
"MPV17L","darkorange",-0.454881537412331,0.000334035273833161,0.814755873112277,7.1600945214231e-15
"CCT6B","darkorange",-0.435259524023435,0.000638681875456899,0.804194096521965,2.90802436831909e-14
"TFCP2","darkorange",-0.495176643386357,7.75867316445323e-05,0.803025868098974,3.37797398402834e-14
"C10orf68","darkorange",-0.391899687964448,0.00234733802289896,0.779639603761151,5.57625068804725e-13
"STAG3L3","darkorange",-0.373403467253151,0.00388845287311868,0.777895998929741,6.77925093301468e-13
"NUP155","darkorange",-0.524355528224784,2.39146034771242e-05,0.776437655673787,7.97181880065788e-13
"ATG14","darkorange",-0.413150020380401,0.00126732139414353,0.770357672826208,1.54662915849537e-12
"COQ6","darkorange",-0.290555020566465,0.0269248976412007,0.762254287754492,3.62774109074721e-12
"SLFN5","darkorange",-0.446903605763539,0.00043679958859125,0.744654500280539,2.06813633057677e-11
"GK5","darkorange",-0.450522567232509,0.000387072259943116,0.727153269239568,1.0205350378388e-10
"AL807752.1","darkorange",-0.437857044764793,0.000587466933850228,0.725949413398441,1.1338622441553e-10
"ZNF85","darkorange",-0.398013058494764,0.00197397949753504,0.724140966417149,1.32681508962352e-10
"TPH1","darkorange",-0.398544012553669,0.00194420369667498,0.721770238964008,1.62732148308028e-10
"AL359878.1","darkorange",-0.423466154308588,0.000925820015565854,0.721682097042525,1.63965431675045e-10
"WDR88","darkorange",-0.591660899303704,1.00293319769208e-06,0.721159597315647,1.71460496590944e-10
"EXOG","darkorange",-0.403677993791366,0.00167632719889267,0.683953854128696,3.25829015997318e-09
"ZNF43","darkorange",-0.360306897607033,0.00546502442359521,0.677367049084211,5.24901896349449e-09
"ZBTB8A","darkorange",-0.357872971977555,0.00581309712008322,0.639869905032956,6.3844419828873e-08
"FANCD2","darkorange",-0.380348297807542,0.0032279916167894,0.634617863830621,8.82028510178697e-08
"ZNF45","darkorange",-0.277026057657938,0.0352708273649042,0.624735039310261,1.59428555045748e-07
"GLE1","darkorange",-0.201479999635239,0.129361687417206,0.616915864309898,2.51020999919464e-07
"ZNF135","darkorange",-0.353417441004274,0.0065008931832372,0.608404949493966,4.05771275726281e-07
"MYLK2","darkorange",-0.44733120101677,0.000430636173152428,0.569044995656656,3.14904104962219e-06
"PMM2","darkorange",-0.229059720516752,0.0837071602078203,0.538272072671346,1.31179368816263e-05
"FAM120AOS","darkorange",-0.419711153809392,0.00103910366390266,0.533951609918429,1.58513927152019e-05
"USP51","darkorange",-0.270732293730818,0.0398295472745971,0.495850816846208,7.55953716046492e-05
