"Gene_clean","Gene_original","Module","ENTREZID"
"61E3","61E3.4.4","brown",NA
"A-575C2","A-575C2.4.1","brown",NA
"A2ML1","A2ML1","brown","144568"
"A4GALT","A4GALT","blue","53947"
"AAK1","AAK1","red","22848"
"AANAT","AANAT","green","15"
"AARD","AARD","turquoise","441376"
"AASS","AASS","yellow","10157"
"AATK","AATK","yellow","9625"
"ABCA1","ABCA1","brown","19"
"ABCA12","ABCA12","turquoise","26154"
"ABCA2","ABCA2","yellow","20"
"ABCA4","ABCA4","blue","24"
"ABCA6","ABCA6","yellow","23460"
"ABCA7","ABCA7","brown","10347"
"ABCA8","ABCA8","yellow","10351"
"ABCB4","ABCB4","blue","5244"
"ABCC11","ABCC11","red","85320"
"ABCC12","ABCC12","turquoise","94160"
"ABCC2","ABCC2","brown","1244"
"ABCC3","ABCC3","blue","8714"
"ABCC8","ABCC8","black","6833"
"ABCC9","ABCC9","blue","10060"
"ABCD2","ABCD2","turquoise","225"
"ABCG2","ABCG2","grey","9429"
"ABCG4","ABCG4","black","64137"
"ABCG8","ABCG8","turquoise","64241"
"ABHD4","ABHD4","brown","63874"
"ABHD8","ABHD8","brown","79575"
"ABI3","ABI3","green","51225"
"ABI3BP","ABI3BP","yellow","25890"
"ABRA","ABRA","turquoise","137735"
"ABRACL","ABRACL","turquoise","58527"
"AC002472","AC002472.1","brown",NA
"AC004017","AC004017.1","turquoise",NA
"AC004076","AC004076.7","grey",NA
"AC004076","AC004076.9","red",NA
"AC004466","AC004466.1","yellow",NA
"AC005003","AC005003.1","red",NA
"AC005841","AC005841.1","yellow",NA
"AC006014","AC006014.1","turquoise",NA
"AC006547","AC006547.14","red",NA
"AC006946","AC006946.15","turquoise",NA
"AC007375","AC007375.1","turquoise",NA
"AC007382","AC007382.1","turquoise",NA
"AC007461","AC007461.1","grey",NA
"AC008060","AC008060.7","yellow",NA
"AC010642","AC010642.1","red",NA
"AC016722","AC016722.2","turquoise",NA
"AC018816","AC018816.3","blue",NA
"AC019171","AC019171.1","turquoise",NA
"AC019206","AC019206.1","grey",NA
"AC019294","AC019294.1","turquoise",NA
"AC020907","AC020907.1","brown",NA
"AC021860","AC021860.1","red",NA
"AC024580","AC024580.1","green",NA
"AC026310","AC026310.1","red",NA
"AC026740","AC026740.1","grey",NA
"AC062017","AC062017.1","yellow",NA
"AC069547","AC069547.1","yellow",NA
"AC073043","AC073043.2","grey",NA
"AC073343","AC073343.1","turquoise",NA
"AC073657","AC073657.1","yellow",NA
"AC079210","AC079210.1","green",NA
"AC079341","AC079341.1","turquoise",NA
"AC079354","AC079354.1","turquoise",NA
"AC093726","AC093726.4","turquoise",NA
"AC096677","AC096677.1","brown",NA
"AC104057","AC104057.1","red",NA
"AC105020","AC105020.1","blue",NA
"AC109829","AC109829.1","turquoise",NA
"AC110619","AC110619.2","black",NA
"AC110781","AC110781.3","turquoise",NA
"AC127496","AC127496.1","brown",NA
"AC129492","AC129492.6","turquoise",NA
"AC131097","AC131097.4","brown",NA
"AC132872","AC132872.2","red",NA
"AC135048","AC135048.1","brown",NA
"AC138647","AC138647.1","black",NA
"AC139100","AC139100.2","brown",NA
"ACACB","ACACB","brown","32"
"ACAD11","ACAD11","yellow","84129"
"ACADL","ACADL","blue","33"
"ACAN","ACAN","blue","176"
"ACAP1","ACAP1","brown","9744"
"ACBD7","ACBD7","grey","414149"
"ACCS","ACCS","green","84680"
"ACE","ACE","black","1636"
"ACER2","ACER2","blue","340485"
"ACOT1","ACOT1","red","641371"
"ACOT4","ACOT4","turquoise","122970"
"ACOT6","ACOT6","brown","641372"
"ACOX2","ACOX2","blue","8309"
"ACP5","ACP5","brown","54"
"ACR","ACR","green","49"
"ACRBP","ACRBP","brown","84519"
"ACRC","ACRC","brown",NA
"ACRV1","ACRV1","turquoise","56"
"ACSBG1","ACSBG1","brown","23205"
"ACSL1","ACSL1","yellow","2180"
