"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"black","GO:0099537","trans-synaptic signaling","57/238","385/4119",0.148051948051948,2.5622940085125,7.97197271247377,4.50349763123181e-12,6.34571578592506e-09,6.20621109214865e-09,"ABCC8/ACE/BEGAIN/BSN/CA7/CACNB1/CACNB3/CACNG2/CACNG8/CAMK2A/CAMK2B/CHRM1/CPLX1/CPLX2/CRHR2/DAGLA/DBH/DLGAP3/ELFN2/FBXO41/GABRD/GRIN1/GRIN2D/GRM4/HRH3/HTR1E/IQSEC2/JPH3/JPH4/KCNC4/LZTS1/NCDN/NEFH/NRGN/OTOF/P2RX5/P2RX6/PPFIA3/PRKAR1B/PRKCG/PRRT2/PTK2B/RAB3A/RASD2/RGS14/RIMS4/SLC17A7/SLC8A2/SNCB/SNCG/SNPH/STX1B/SYN1/SYT2/SYT3/SYT5/SYT7",57
"black","GO:0007268","chemical synaptic transmission","56/238","381/4119",0.146981627296588,2.54377026401112,7.83222831447256,9.94211810857038e-12,6.34571578592506e-09,6.20621109214865e-09,"ABCC8/ACE/BEGAIN/BSN/CA7/CACNB1/CACNB3/CACNG2/CACNG8/CAMK2A/CAMK2B/CHRM1/CPLX1/CPLX2/CRHR2/DBH/DLGAP3/ELFN2/FBXO41/GABRD/GRIN1/GRIN2D/GRM4/HRH3/HTR1E/IQSEC2/JPH3/JPH4/KCNC4/LZTS1/NCDN/NEFH/NRGN/OTOF/P2RX5/P2RX6/PPFIA3/PRKAR1B/PRKCG/PRRT2/PTK2B/RAB3A/RASD2/RGS14/RIMS4/SLC17A7/SLC8A2/SNCB/SNCG/SNPH/STX1B/SYN1/SYT2/SYT3/SYT5/SYT7",56
"black","GO:0098916","anterograde trans-synaptic signaling","56/238","381/4119",0.146981627296588,2.54377026401112,7.83222831447256,9.94211810857038e-12,6.34571578592506e-09,6.20621109214865e-09,"ABCC8/ACE/BEGAIN/BSN/CA7/CACNB1/CACNB3/CACNG2/CACNG8/CAMK2A/CAMK2B/CHRM1/CPLX1/CPLX2/CRHR2/DBH/DLGAP3/ELFN2/FBXO41/GABRD/GRIN1/GRIN2D/GRM4/HRH3/HTR1E/IQSEC2/JPH3/JPH4/KCNC4/LZTS1/NCDN/NEFH/NRGN/OTOF/P2RX5/P2RX6/PPFIA3/PRKAR1B/PRKCG/PRRT2/PTK2B/RAB3A/RASD2/RGS14/RIMS4/SLC17A7/SLC8A2/SNCB/SNCG/SNPH/STX1B/SYN1/SYT2/SYT3/SYT5/SYT7",56
"black","GO:0099536","synaptic signaling","57/238","394/4119",0.144670050761421,2.50376444994241,7.77185365620673,1.20755771378212e-11,6.34571578592506e-09,6.20621109214865e-09,"ABCC8/ACE/BEGAIN/BSN/CA7/CACNB1/CACNB3/CACNG2/CACNG8/CAMK2A/CAMK2B/CHRM1/CPLX1/CPLX2/CRHR2/DAGLA/DBH/DLGAP3/ELFN2/FBXO41/GABRD/GRIN1/GRIN2D/GRM4/HRH3/HTR1E/IQSEC2/JPH3/JPH4/KCNC4/LZTS1/NCDN/NEFH/NRGN/OTOF/P2RX5/P2RX6/PPFIA3/PRKAR1B/PRKCG/PRRT2/PTK2B/RAB3A/RASD2/RGS14/RIMS4/SLC17A7/SLC8A2/SNCB/SNCG/SNPH/STX1B/SYN1/SYT2/SYT3/SYT5/SYT7",57
"black","GO:0099003","vesicle-mediated transport in synapse","24/238","95/4119",0.252631578947368,4.37222467934542,8.23396747834269,3.07263442764248e-10,1.2917355133809e-07,1.26333790256542e-07,"AP3B2/BSN/CALY/CPLX1/CPLX2/DNM1/NCDN/OTOF/PACSIN1/PPFIA3/PRKAR1B/PRKCG/PRRT2/RAB3A/RIMS4/SLC17A7/SNCB/SNCG/SNPH/STX1B/SYN1/SYT2/SYT5/SYT7",24
"black","GO:0099504","synaptic vesicle cycle","22/238","85/4119",0.258823529411765,4.47938704893722,8.02609113573432,1.06989863629906e-09,3.74821155583436e-07,3.66581059068782e-07,"AP3B2/BSN/CPLX1/CPLX2/DNM1/OTOF/PACSIN1/PPFIA3/PRKAR1B/PRKCG/PRRT2/RAB3A/RIMS4/SLC17A7/SNCB/SNCG/SNPH/STX1B/SYN1/SYT2/SYT5/SYT7",22
"black","GO:0050804","modulation of chemical synaptic transmission","38/238","242/4119",0.15702479338843,2.71758455448295,6.81926765572202,5.94121129399409e-09,1.56105326749695e-06,1.52673495489085e-06,"ACE/BSN/CA7/CACNG2/CACNG8/CAMK2A/CAMK2B/CHRM1/CPLX1/CPLX2/CRHR2/DLGAP3/GRIN1/GRIN2D/GRM4/IQSEC2/JPH3/JPH4/LZTS1/NCDN/NEFH/NRGN/OTOF/PPFIA3/PRKAR1B/PRKCG/PRRT2/PTK2B/RAB3A/RGS14/RIMS4/SLC8A2/SNCG/STX1B/SYN1/SYT2/SYT5/SYT7",38
"black","GO:0099177","regulation of trans-synaptic signaling","38/238","242/4119",0.15702479338843,2.71758455448295,6.81926765572202,5.94121129399409e-09,1.56105326749695e-06,1.52673495489085e-06,"ACE/BSN/CA7/CACNG2/CACNG8/CAMK2A/CAMK2B/CHRM1/CPLX1/CPLX2/CRHR2/DLGAP3/GRIN1/GRIN2D/GRM4/IQSEC2/JPH3/JPH4/LZTS1/NCDN/NEFH/NRGN/OTOF/PPFIA3/PRKAR1B/PRKCG/PRRT2/PTK2B/RAB3A/RGS14/RIMS4/SLC8A2/SNCG/STX1B/SYN1/SYT2/SYT5/SYT7",38
"black","GO:0007269","neurotransmitter secretion","19/238","79/4119",0.240506329113924,4.16237634294224,7.02742539748028,5.72138614156977e-08,1.20263536695797e-05,1.17619654047219e-05,"ABCC8/CAMK2A/CPLX1/CPLX2/GRM4/HRH3/OTOF/PPFIA3/PRKCG/PRRT2/RAB3A/RIMS4/SNCG/SNPH/STX1B/SYN1/SYT2/SYT5/SYT7",19
"black","GO:0099643","signal release from synapse","19/238","79/4119",0.240506329113924,4.16237634294224,7.02742539748028,5.72138614156977e-08,1.20263536695797e-05,1.17619654047219e-05,"ABCC8/CAMK2A/CPLX1/CPLX2/GRM4/HRH3/OTOF/PPFIA3/PRKCG/PRRT2/RAB3A/RIMS4/SNCG/SNPH/STX1B/SYN1/SYT2/SYT5/SYT7",19
