"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006119","oxidative phosphorylation","11/577","16/4119",0.6875,4.90782062391681,6.32048860563243,8.35572442630478e-07,0.00175458012287221,0.00171729846107066,"COX6A2/COX7A1/MT-ATP8/MT-CYB/MT-ND1/MT-ND2/MT-ND4/MT-ND4L/MT-ND5/MT-ND6/NUPR1",11
"GO:0071294","cellular response to zinc ion","10/577","14/4119",0.714285714285714,5.09903441445902,6.20005869564719,1.59398216115098e-06,0.00175458012287221,0.00171729846107066,"HVCN1/MT1E/MT1F/MT1G/MT1H/MT1M/MT1X/MT2A/MT3/TSPO",10
"GO:0015980","energy derivation by oxidation of organic compounds","26/577","72/4119",0.361111111111111,2.57784517619873,5.4509328469945,1.81843234186733e-06,0.00175458012287221,0.00171729846107066,"ACSM1/ADCY10/COX6A2/COX7A1/DDIT4/FLCN/GYS2/MT-ATP8/MT-CYB/MT-ND1/MT-ND2/MT-ND4/MT-ND4L/MT-ND5/MT-ND6/MT3/NR1D1/NUPR1/OAS1/P2RX7/PDK4/PPP1R3G/PRDM16/PYGM/UCN/ZBTB20",26
"GO:0046688","response to copper ion","11/577","17/4119",0.647058823529412,4.61912529309818,6.03444106984605,2.0696905017661e-06,0.00175458012287221,0.00171729846107066,"LCAT/LOXL2/MT-CYB/MT1E/MT1F/MT1G/MT1H/MT1M/MT1X/MT2A/MT3",11
"GO:0019646","aerobic electron transport chain","9/577","12/4119",0.75,5.35398613518198,6.09567933340708,2.90818230540161e-06,0.00197232923952337,0.00193042080188027,"COX6A2/COX7A1/MT-CYB/MT-ND1/MT-ND2/MT-ND4/MT-ND4L/MT-ND5/MT-ND6",9
"GO:0061687","detoxification of inorganic compound","8/577","10/4119",0.8,5.71091854419411,6.01927691876733,4.9219217345729e-06,0.00238431951456238,0.00233365702693359,"MT1E/MT1F/MT1G/MT1H/MT1M/MT1X/MT2A/MT3",8
"GO:0097501","stress response to metal ion","8/577","10/4119",0.8,5.71091854419411,6.01927691876733,4.9219217345729e-06,0.00238431951456238,0.00233365702693359,"MT1E/MT1F/MT1G/MT1H/MT1M/MT1X/MT2A/MT3",8
"GO:0010043","response to zinc ion","13/577","25/4119",0.52,3.71209705372617,5.48918807745229,7.23447453560089e-06,0.00255262504325674,0.00249838636681882,"BGLAP/HAAO/HVCN1/MT1E/MT1F/MT1G/MT1H/MT1M/MT1X/MT2A/MT3/P2RX7/TSPO",13
"GO:0022904","respiratory electron transport chain","9/577","13/4119",0.692307692307692,4.94214104786029,5.74514721977494,8.28041152339255e-06,0.00255262504325674,0.00249838636681882,"COX6A2/COX7A1/MT-CYB/MT-ND1/MT-ND2/MT-ND4/MT-ND4L/MT-ND5/MT-ND6",9
"GO:0042773","ATP synthesis coupled electron transport","9/577","13/4119",0.692307692307692,4.94214104786029,5.74514721977494,8.28041152339255e-06,0.00255262504325674,0.00249838636681882,"COX6A2/COX7A1/MT-CYB/MT-ND1/MT-ND2/MT-ND4/MT-ND4L/MT-ND5/MT-ND6",9
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","9/577","13/4119",0.692307692307692,4.94214104786029,5.74514721977494,8.28041152339255e-06,0.00255262504325674,0.00249838636681882,"COX6A2/COX7A1/MT-CYB/MT-ND1/MT-ND2/MT-ND4/MT-ND4L/MT-ND5/MT-ND6",9
"GO:0071280","cellular response to copper ion","8/577","11/4119",0.727272727272727,5.19174413108555,5.61801234721709,1.58336336225011e-05,0.00447432096782509,0.00437924972032859,"MT1E/MT1F/MT1G/MT1H/MT1M/MT1X/MT2A/MT3",8
"GO:0006091","generation of precursor metabolites and energy","27/577","85/4119",0.317647058823529,2.26757059843001,4.76563166000148,1.84676415958129e-05,0.00481721328087704,0.0047148561904128,"ACACB/ACSM1/ADCY10/COX6A2/COX7A1/DDIT4/FLCN/GYS2/MT-ATP8/MT-CYB/MT-ND1/MT-ND2/MT-ND4/MT-ND4L/MT-ND5/MT-ND6/MT3/NR1D1/NUPR1/OAS1/P2RX7/PDK4/PPP1R3G/PRDM16/PYGM/UCN/ZBTB20",27
"GO:0044281","small molecule metabolic process","92/577","451/4119",0.203991130820399,1.45622091481668,4.14338794125507,4.84682806374326e-05,0.0117397099743953,0.0114902623195357,"ABCA1/ACACB/ACOT6/ACSBG1/ACSM1/ADCY10/AGT/ALDH3B1/ALDH4A1/ANKRD23/APOA1/APOBR/APOD/APOE/AQP8/ATF3/BCAT2/BGLAP/CEL/CPT1B/CYP21A2/CYP27B1/CYP2D6/CYP2J2/CYP2S1/CYP39A1/DDIT4/DHRS3/DPEP2/ELOVL3/EPHX1/FGFR4/FLCN/FTCD/FUT1/FUT7/GDPD3/GHRL/GNB3/HAAO/HSD11B2/HSD17B1/HSD17B7/HSD3B7/HSPA1A/HSPA1B/INPPL1/ITPKB/LCAT/LDLR/LPIN3/LRAT/LRP5/MAN2B1/MAPKAPK2/MT-ATP8/MT-ND1/MT-ND2/MT-ND4/MT-ND4L/MT-ND5/MT-ND6/MYH3/NAGS/NPC1L1/NPC2/NR1D1/NUPR1/OAS1/P2RX7/PDK4/PLA2G4B/PLIN5/PLOD3/PPP1R3G/PRODH/PTGDS/PTH1R/RDH16/RENBP/SERINC5/SLC16A9/SLC25A18/SLC5A3/SNAI1/SOX9/SPR/SULT1A2/TK1/TSPO/UCP3/ZBTB20",92
"GO:0009060","aerobic respiration","17/577","45/4119",0.377777777777778,2.69682264586944,4.61890463397461,5.89888686702153e-05,0.0125019533537938,0.0122363094024466,"COX6A2/COX7A1/DDIT4/FLCN/MT-ATP8/MT-CYB/MT-ND1/MT-ND2/MT-ND4/MT-ND4L/MT-ND5/MT-ND6/NUPR1/P2RX7/PDK4/UCN/ZBTB20",17
"GO:0046034","ATP metabolic process","17/577","45/4119",0.377777777777778,2.69682264586944,4.61890463397461,5.89888686702153e-05,0.0125019533537938,0.0122363094024466,"ADCY10/DDIT4/FLCN/HSPA1A/HSPA1B/MT-ATP8/MT-ND1/MT-ND2/MT-ND4/MT-ND4L/MT-ND5/MT-ND6/MYH3/NUPR1/P2RX7/TSPO/ZBTB20",17
"GO:0045333","cellular respiration","19/577","54/4119",0.351851851851852,2.51174658193722,4.51286559806524,6.86645923110049e-05,0.0136965666192128,0.0134055392914303,"COX6A2/COX7A1/DDIT4/FLCN/MT-ATP8/MT-CYB/MT-ND1/MT-ND2/MT-ND4/MT-ND4L/MT-ND5/MT-ND6/NUPR1/OAS1/P2RX7/PDK4/PRDM16/UCN/ZBTB20",19
"GO:0046686","response to cadmium ion","10/577","19/4119",0.526315789473684,3.75718325275928,4.86135462802934,7.55967869091269e-05,0.0142415946893805,0.0139389864985074,"HAAO/MT-CYB/MT1E/MT1F/MT1G/MT1H/MT1M/MT1X/MT2A/MT3",10
