fromNode	toNode	weight	direction	fromAltName	toAltName
IL1RL1	SOCS3	0.132570544201513	undirected	IL1RL1	SOCS3
IL1RL1	S100A8	0.104341632811516	undirected	IL1RL1	S100A8
IL1RL1	S100A9	0.115255529328251	undirected	IL1RL1	S100A9
IL1RL1	CD93	0.105293977171688	undirected	IL1RL1	CD93
IL1RL1	SERPINH1	0.119703071122231	undirected	IL1RL1	SERPINH1
IL1RL1	GPR4	0.108059551424552	undirected	IL1RL1	GPR4
IL1RL1	ZFP36	0.101706102922625	undirected	IL1RL1	ZFP36
IL1RL1	ITGA5	0.104907071200664	undirected	IL1RL1	ITGA5
IL1RL1	IL4R	0.136900380191431	undirected	IL1RL1	IL4R
IL1RL1	CDKN1A	0.119313383942335	undirected	IL1RL1	CDKN1A
IL1RL1	YBX3	0.148442046185683	undirected	IL1RL1	YBX3
IL1RL1	IFITM2	0.114890154946356	undirected	IL1RL1	IFITM2
IL1RL1	IL1R1	0.105783392570836	undirected	IL1RL1	IL1R1
IL1RL1	NUPR1	0.101324748604878	undirected	IL1RL1	NUPR1
IL1RL1	TIMP1	0.101057078220698	undirected	IL1RL1	TIMP1
IL1RL1	ICAM1	0.138290057865587	undirected	IL1RL1	ICAM1
IL1RL1	TNFRSF12A	0.107218027307181	undirected	IL1RL1	TNFRSF12A
IL1RL1	IFITM3	0.135517853949387	undirected	IL1RL1	IFITM3
IL1RL1	LRRC32	0.112550953580771	undirected	IL1RL1	LRRC32
IL1RL1	A4GALT	0.100757739898256	undirected	IL1RL1	A4GALT
IL1RL1	CEBPD	0.118234462205524	undirected	IL1RL1	CEBPD
IL1RL1	RAB20	0.110577455907429	undirected	IL1RL1	RAB20
IL1RL1	TNFRSF1B	0.122381744648023	undirected	IL1RL1	TNFRSF1B
IL1RL1	NFKB2	0.103582635303359	undirected	IL1RL1	NFKB2
IL1RL1	CLIC1	0.144616111702525	undirected	IL1RL1	CLIC1
IL1RL1	TEAD2	0.103354614153728	undirected	IL1RL1	TEAD2
IL1RL1	CDK2	0.124964996994448	undirected	IL1RL1	CDK2
IL1RL1	ACSL5	0.132201103953527	undirected	IL1RL1	ACSL5
IL1RL1	PDLIM4	0.10092817122633	undirected	IL1RL1	PDLIM4
IL1RL1	CDC42EP5	0.103751539289199	undirected	IL1RL1	CDC42EP5
IL1RL1	PPP1R18	0.12007600568388	undirected	IL1RL1	PPP1R18
IL1RL1	PNP	0.124040210491412	undirected	IL1RL1	PNP
IL1RL1	LTBR	0.144477462686354	undirected	IL1RL1	LTBR
IL1RL1	PXDC1	0.105258246073429	undirected	IL1RL1	PXDC1
IL1RL1	B4GALT1	0.128625411493026	undirected	IL1RL1	B4GALT1
IL1RL1	PYGL	0.10141099650607	undirected	IL1RL1	PYGL
IL1RL1	SYDE1	0.1160272978297	undirected	IL1RL1	SYDE1
IL1RL1	BCL6	0.110129810521675	undirected	IL1RL1	BCL6
IL1RL1	DTX3L	0.101766565508202	undirected	IL1RL1	DTX3L
IL1RL1	CEBPB	0.122647917101493	undirected	IL1RL1	CEBPB
IL1RL1	MYD88	0.123122044445496	undirected	IL1RL1	MYD88
IL1RL1	PARP9	0.103419856677932	undirected	IL1RL1	PARP9
IL1RL1	IL6R	0.110922351958202	undirected	IL1RL1	IL6R
IL1RL1	NXN	0.120971699476167	undirected	IL1RL1	NXN
IL1RL1	ARPC1B	0.103094586896225	undirected	IL1RL1	ARPC1B
IL1RL1	VASP	0.115411589449762	undirected	IL1RL1	VASP
IL1RL1	TNFRSF10B	0.150541355358477	undirected	IL1RL1	TNFRSF10B
IL1RL1	TRIM21	0.101552748671141	undirected	IL1RL1	TRIM21
SERPINA3	STC1	0.104888427627913	undirected	SERPINA3	STC1
SERPINA3	SOCS3	0.117543591984549	undirected	SERPINA3	SOCS3
SERPINA3	S100A8	0.10468915867868	undirected	SERPINA3	S100A8
SERPINA3	CD163	0.10462157673227	undirected	SERPINA3	CD163
SERPINA3	CHI3L2	0.140188258842203	undirected	SERPINA3	CHI3L2
SERPINA3	APOL4	0.134852254584259	undirected	SERPINA3	APOL4
SERPINA3	CD44	0.121026525398827	undirected	SERPINA3	CD44
SERPINA3	C4A	0.123988206545924	undirected	SERPINA3	C4A
SERPINA3	CLEC5A	0.127987005188486	undirected	SERPINA3	CLEC5A
SERPINA3	C4B	0.147347863660608	undirected	SERPINA3	C4B
SERPINA3	CHI3L1	0.160361179075218	undirected	SERPINA3	CHI3L1
SERPINA3	C1orf87	0.147724052196916	undirected	SERPINA3	C1orf87
SERPINA3	BCL2A1	0.124347482846098	undirected	SERPINA3	BCL2A1
SERPINA3	VENTX	0.124519457035905	undirected	SERPINA3	VENTX
SERPINA3	HSPB1	0.114349028624233	undirected	SERPINA3	HSPB1
SERPINA3	ANGPTL4	0.157145450410633	undirected	SERPINA3	ANGPTL4
SERPINA3	ANGPT2	0.101594744779233	undirected	SERPINA3	ANGPT2
SERPINA3	IL4R	0.130819082577107	undirected	SERPINA3	IL4R
SERPINA3	ADAMTS9	0.12075340667398	undirected	SERPINA3	ADAMTS9
