fromNode	toNode	weight	direction	fromAltName	toAltName
CBLN4	NXPH2	0.116087055973602	undirected	CBLN4	NXPH2
CBLN4	SOWAHB	0.123606491035403	undirected	CBLN4	SOWAHB
CBLN4	CTXN3	0.190701867144385	undirected	CBLN4	CTXN3
CBLN4	TESPA1	0.173868891852826	undirected	CBLN4	TESPA1
CBLN4	PCSK1	0.137072460119135	undirected	CBLN4	PCSK1
CBLN4	NELL1	0.140819854743336	undirected	CBLN4	NELL1
CBLN4	SLC17A6	0.171499636116014	undirected	CBLN4	SLC17A6
CBLN4	MEPE	0.12764159202652	undirected	CBLN4	MEPE
CBLN4	KIAA1239	0.147072909543633	undirected	CBLN4	KIAA1239
CBLN4	C11orf87	0.281076241351278	undirected	CBLN4	C11orf87
CBLN4	CNTN5	0.200057732589704	undirected	CBLN4	CNTN5
CBLN4	FBLN7	0.179361818341816	undirected	CBLN4	FBLN7
CBLN4	GAD2	0.135468699558351	undirected	CBLN4	GAD2
CBLN4	PCDH8	0.109860450316918	undirected	CBLN4	PCDH8
CBLN4	OLFM3	0.23414553677791	undirected	CBLN4	OLFM3
CBLN4	RAB27B	0.183852458450458	undirected	CBLN4	RAB27B
CBLN4	RGS4	0.171989262903927	undirected	CBLN4	RGS4
CBLN4	FBXO40	0.148250805019513	undirected	CBLN4	FBXO40
CBLN4	SLC4A10	0.200428931133869	undirected	CBLN4	SLC4A10
CBLN4	KCNV1	0.204141764787255	undirected	CBLN4	KCNV1
CBLN4	PTPN3	0.150731770558522	undirected	CBLN4	PTPN3
CBLN4	GABRG2	0.265784641711972	undirected	CBLN4	GABRG2
CBLN4	GABRB2	0.257642605315533	undirected	CBLN4	GABRB2
CBLN4	GABRA1	0.240153452520269	undirected	CBLN4	GABRA1
CBLN4	C3orf80	0.21061337608918	undirected	CBLN4	C3orf80
CBLN4	CPNE4	0.175640240633879	undirected	CBLN4	CPNE4
CBLN4	RAB3C	0.203953746007993	undirected	CBLN4	RAB3C
CBLN4	SVOP	0.130413190904274	undirected	CBLN4	SVOP
CBLN4	CHGB	0.138069260548726	undirected	CBLN4	CHGB
CBLN4	TBR1	0.116635671288641	undirected	CBLN4	TBR1
CBLN4	PRSS16	0.139951738743989	undirected	CBLN4	PRSS16
CBLN4	ADCYAP1	0.18132776503985	undirected	CBLN4	ADCYAP1
CBLN4	RXFP1	0.133479473111406	undirected	CBLN4	RXFP1
CBLN4	PARM1	0.188833936638317	undirected	CBLN4	PARM1
CBLN4	PRMT8	0.171288999973714	undirected	CBLN4	PRMT8
CBLN4	C17orf102	0.156675163710311	undirected	CBLN4	C17orf102
CBLN4	C21orf128	0.168165634447779	undirected	CBLN4	C21orf128
CBLN4	PTH2R	0.183911189439205	undirected	CBLN4	PTH2R
CBLN4	GPR22	0.209447568005107	undirected	CBLN4	GPR22
CBLN4	MCHR1	0.13022153224149	undirected	CBLN4	MCHR1
CBLN4	NRG1	0.141035704300492	undirected	CBLN4	NRG1
CBLN4	VSTM2A	0.205343470858385	undirected	CBLN4	VSTM2A
CBLN4	RTP1	0.135413895607839	undirected	CBLN4	RTP1
CBLN4	ENC1	0.203369709785161	undirected	CBLN4	ENC1
CBLN4	KCNS2	0.144596383896055	undirected	CBLN4	KCNS2
CBLN4	EPHA5	0.139969938068695	undirected	CBLN4	EPHA5
CBLN4	SOSTDC1	0.107421928179885	undirected	CBLN4	SOSTDC1
CBLN4	KCNQ5	0.161495302406716	undirected	CBLN4	KCNQ5
CBLN4	TRHDE	0.232018826034448	undirected	CBLN4	TRHDE
CBLN4	KCNH5	0.145725592377118	undirected	CBLN4	KCNH5
CBLN4	SYT1	0.194793505961263	undirected	CBLN4	SYT1
CBLN4	GREM2	0.192467154959877	undirected	CBLN4	GREM2
CBLN4	GAD1	0.184328409718553	undirected	CBLN4	GAD1
CBLN4	MAP7D2	0.229529732544395	undirected	CBLN4	MAP7D2
CBLN4	CALHM1	0.124482247705888	undirected	CBLN4	CALHM1
CBLN4	GABBR2	0.15219856519788	undirected	CBLN4	GABBR2
CBLN4	CBLN2	0.194593907750756	undirected	CBLN4	CBLN2
CBLN4	NELL2	0.174643286075734	undirected	CBLN4	NELL2
CBLN4	PCP4L1	0.134625343543017	undirected	CBLN4	PCP4L1
CBLN4	HCN1	0.227276145845492	undirected	CBLN4	HCN1
CBLN4	TYRP1	0.171245174079869	undirected	CBLN4	TYRP1
CBLN4	INA	0.183984713267752	undirected	CBLN4	INA
CBLN4	HTR5A	0.186038127392859	undirected	CBLN4	HTR5A
CBLN4	ANKRD34C	0.181600827002461	undirected	CBLN4	ANKRD34C
CBLN4	RSPO3	0.14164398859371	undirected	CBLN4	RSPO3
CBLN4	NCALD	0.137048685692697	undirected	CBLN4	NCALD
CBLN4	GABRA6	0.153482245029581	undirected	CBLN4	GABRA6
CBLN4	ELAVL2	0.264029540521901	undirected	CBLN4	ELAVL2
CBLN4	SYT13	0.216515777703524	undirected	CBLN4	SYT13
CBLN4	CHRM3	0.141772010901092	undirected	CBLN4	CHRM3
CBLN4	BDNF	0.116579409366202	undirected	CBLN4	BDNF
CBLN4	TRPC5	0.104858161709554	undirected	CBLN4	TRPC5
CBLN4	SH3GL2	0.187720493364764	undirected	CBLN4	SH3GL2
CBLN4	STAT4	0.195799242990955	undirected	CBLN4	STAT4
CBLN4	KCNB2	0.131726038514508	undirected	CBLN4	KCNB2
CBLN4	CDH18	0.142339355410708	undirected	CBLN4	CDH18
CBLN4	RBFOX1	0.242879609304751	undirected	CBLN4	RBFOX1
CBLN4	KCNA1	0.121444379492029	undirected	CBLN4	KCNA1
CBLN4	FRMPD4	0.164621231636735	undirected	CBLN4	FRMPD4
CBLN4	MLIP	0.167744489524821	undirected	CBLN4	MLIP
CBLN4	SULT4A1	0.176886616462968	undirected	CBLN4	SULT4A1
CBLN4	NMNAT2	0.129547353316821	undirected	CBLN4	NMNAT2
CBLN4	PLXNA4	0.10188381823626	undirected	CBLN4	PLXNA4
CBLN4	DLGAP1	0.230305338303823	undirected	CBLN4	DLGAP1
CBLN4	CNR1	0.173367406215902	undirected	CBLN4	CNR1
CBLN4	VSTM5	0.102979618082953	undirected	CBLN4	VSTM5
CBLN4	ENTPD3	0.168645606006151	undirected	CBLN4	ENTPD3
CBLN4	GJD2	0.17426869768245	undirected	CBLN4	GJD2
CBLN4	COL24A1	0.147170767842545	undirected	CBLN4	COL24A1
CBLN4	KIAA1549L	0.186159552119439	undirected	CBLN4	KIAA1549L
CBLN4	AMPH	0.124161684548027	undirected	CBLN4	AMPH
CBLN4	PTPRT	0.114189280338953	undirected	CBLN4	PTPRT
CBLN4	PRSS12	0.185534128835955	undirected	CBLN4	PRSS12
CBLN4	DYDC2	0.121381465563818	undirected	CBLN4	DYDC2
CBLN4	DLX1	0.149963202298452	undirected	CBLN4	DLX1
CBLN4	CAP2	0.190866814861671	undirected	CBLN4	CAP2
CBLN4	MARCH4	0.103418940757261	undirected	CBLN4	MARCH4
CBLN4	SRRM4	0.107378482756463	undirected	CBLN4	SRRM4
CBLN4	SNAP25	0.19033073192009	undirected	CBLN4	SNAP25
CBLN4	C18orf42	0.165529020619662	undirected	CBLN4	C18orf42
CBLN4	SCN3B	0.116366198471044	undirected	CBLN4	SCN3B
CBLN4	KNG1	0.130916774881448	undirected	CBLN4	KNG1
CBLN4	PRLHR	0.113159912856331	undirected	CBLN4	PRLHR
CBLN4	STXBP5L	0.240574069376513	undirected	CBLN4	STXBP5L
CBLN4	MYT1L	0.194714545749162	undirected	CBLN4	MYT1L
CBLN4	EPHA4	0.195499375570725	undirected	CBLN4	EPHA4
CBLN4	NRIP3	0.1349871327448	undirected	CBLN4	NRIP3
CBLN4	STMN2	0.180595544326859	undirected	CBLN4	STMN2
CBLN4	RASGRP1	0.119145946389318	undirected	CBLN4	RASGRP1
CBLN4	C1orf173	0.128648520233964	undirected	CBLN4	C1orf173
CBLN4	RIMS3	0.104705704787954	undirected	CBLN4	RIMS3
CBLN4	TENM2	0.144947616376506	undirected	CBLN4	TENM2
CBLN4	CNTN6	0.16181881535281	undirected	CBLN4	CNTN6
CBLN4	WNT2	0.153457539357801	undirected	CBLN4	WNT2
CBLN4	C2orf50	0.104052971371664	undirected	CBLN4	C2orf50
CBLN4	AGBL4	0.178569955494328	undirected	CBLN4	AGBL4
CBLN4	PLCB1	0.241950104852554	undirected	CBLN4	PLCB1
CBLN4	INSM2	0.161835722563648	undirected	CBLN4	INSM2
CBLN4	PCSK2	0.174199621259149	undirected	CBLN4	PCSK2
CBLN4	FAM132B	0.127484905051152	undirected	CBLN4	FAM132B
CBLN4	PDYN	0.1203922545372	undirected	CBLN4	PDYN
CBLN4	VWC2L	0.160210649666123	undirected	CBLN4	VWC2L
CBLN4	TMEM130	0.136906481418455	undirected	CBLN4	TMEM130
CBLN4	FGF7	0.110794493336586	undirected	CBLN4	FGF7
CBLN4	ATRNL1	0.232319700157895	undirected	CBLN4	ATRNL1
CBLN4	ATP2B2	0.148664715108397	undirected	CBLN4	ATP2B2
CBLN4	SPHKAP	0.140945927170783	undirected	CBLN4	SPHKAP
CBLN4	GRIN3A	0.135145246728205	undirected	CBLN4	GRIN3A
CBLN4	CAMKV	0.116184354254958	undirected	CBLN4	CAMKV
CBLN4	FRAS1	0.108408659484932	undirected	CBLN4	FRAS1
CBLN4	GABRB3	0.227239935828759	undirected	CBLN4	GABRB3
CBLN4	ARHGAP20	0.140191129517422	undirected	CBLN4	ARHGAP20
CBLN4	GJD4	0.121879756931435	undirected	CBLN4	GJD4
CBLN4	DIRAS2	0.115971646053874	undirected	CBLN4	DIRAS2
CBLN4	SV2B	0.146952472545255	undirected	CBLN4	SV2B
CBLN4	CADPS	0.167479269517904	undirected	CBLN4	CADPS
CBLN4	WBSCR17	0.101340852127268	undirected	CBLN4	WBSCR17
CBLN4	SCN1A	0.21691310228832	undirected	CBLN4	SCN1A
CBLN4	FGF12	0.120206002378542	undirected	CBLN4	FGF12
CBLN4	GRIN2A	0.116413383186323	undirected	CBLN4	GRIN2A
