fromNode	toNode	weight	direction	fromAltName	toAltName
HSD11B2	EPN3	0.100368306415355	undirected	HSD11B2	EPN3
HSD11B2	LAMA5	0.108193989824216	undirected	HSD11B2	LAMA5
CABP1	CPLX1	0.105551272873545	undirected	CABP1	CPLX1
CABP1	TOX2	0.100031647829433	undirected	CABP1	TOX2
RP11-433C9.2	TNFRSF25	0.117243242501776	undirected	RP11-433C9.2	TNFRSF25
RP11-433C9.2	FGF17	0.107843039793629	undirected	RP11-433C9.2	FGF17
SNCB	SNCG	0.100956975547327	undirected	SNCB	SNCG
CPLX1	STAC2	0.10757826592808	undirected	CPLX1	STAC2
CPLX1	PANX2	0.107910831760387	undirected	CPLX1	PANX2
STAC2	PANX2	0.100367030489392	undirected	STAC2	PANX2
TNFRSF25	FGF17	0.13869976827157	undirected	TNFRSF25	FGF17
TNFRSF25	GOLGA7B.1	0.115839271791133	undirected	TNFRSF25	GOLGA7B.1
TNFRSF25	LAMA5	0.101643382692224	undirected	TNFRSF25	LAMA5
TNFRSF25	PIF1	0.100411032275109	undirected	TNFRSF25	PIF1
TNFRSF25	ZGLP1	0.119280329090674	undirected	TNFRSF25	ZGLP1
TNFRSF25	GNB3	0.11419307601793	undirected	TNFRSF25	GNB3
TNFRSF25	CORO6	0.106935258993838	undirected	TNFRSF25	CORO6
TNFRSF25	DQX1	0.127184028711695	undirected	TNFRSF25	DQX1
TNFRSF25	HDAC10	0.105777753980136	undirected	TNFRSF25	HDAC10
FGF17	ZGLP1	0.111497649669179	undirected	FGF17	ZGLP1
FGF17	GNB3	0.10647250114889	undirected	FGF17	GNB3
FGF17	DQX1	0.109540116705367	undirected	FGF17	DQX1
FGF17	HDAC10	0.100263056008822	undirected	FGF17	HDAC10
SRRM3	ZFR2	0.118358288294213	undirected	SRRM3	ZFR2
CAMSAP3	STX1B	0.115552653225931	undirected	CAMSAP3	STX1B
CAMSAP3	PPFIA3	0.11074751036804	undirected	CAMSAP3	PPFIA3
C1orf233	MUC12	0.102521570816158	undirected	C1orf233	MUC12
C1orf233	NANOS3	0.125683767643157	undirected	C1orf233	NANOS3
C1orf233	FXYD7	0.124645476093986	undirected	C1orf233	FXYD7
MUC12	NANOS3	0.107847412421295	undirected	MUC12	NANOS3
MUC12	FXYD7	0.108958005627372	undirected	MUC12	FXYD7
NANOS3	FXYD7	0.123063503168549	undirected	NANOS3	FXYD7
