fromNode	toNode	weight	direction	fromAltName	toAltName
NPAS4	PGM2L1	0.10073575051698	undirected	NPAS4	PGM2L1
NPAS4	NAP1L5	0.101420883813438	undirected	NPAS4	NAP1L5
NPAS4	SLC39A10	0.115636360846028	undirected	NPAS4	SLC39A10
NPAS4	NRXN3	0.116505576142559	undirected	NPAS4	NRXN3
NPAS4	FBXL2	0.114382131114811	undirected	NPAS4	FBXL2
NPAS4	FAM49A	0.105692397123991	undirected	NPAS4	FAM49A
NPAS4	PPP3CB	0.104402189833877	undirected	NPAS4	PPP3CB
NPAS4	GRIA3	0.105723590452091	undirected	NPAS4	GRIA3
FREM3	OTOGL	0.108794387819561	undirected	FREM3	OTOGL
FREM3	SERTM1	0.149042581647706	undirected	FREM3	SERTM1
FREM3	LINGO2	0.128218650639377	undirected	FREM3	LINGO2
FREM3	SYT4	0.137734664488766	undirected	FREM3	SYT4
FREM3	VIP	0.116301645176354	undirected	FREM3	VIP
FREM3	GLRA3	0.150917583191593	undirected	FREM3	GLRA3
FREM3	FAM19A2	0.181560528874586	undirected	FREM3	FAM19A2
FREM3	GDA	0.163636116725028	undirected	FREM3	GDA
FREM3	UNC5D	0.140716981483286	undirected	FREM3	UNC5D
FREM3	PGM2L1	0.190259591002929	undirected	FREM3	PGM2L1
FREM3	CHML	0.102692523045593	undirected	FREM3	CHML
FREM3	HAPLN1	0.125403474619959	undirected	FREM3	HAPLN1
FREM3	KCNT2	0.176467896715237	undirected	FREM3	KCNT2
FREM3	NAP1L5	0.140895262802716	undirected	FREM3	NAP1L5
FREM3	IGF1	0.136337023279927	undirected	FREM3	IGF1
FREM3	SLC44A5	0.118425807112994	undirected	FREM3	SLC44A5
FREM3	CCDC68	0.11197150299096	undirected	FREM3	CCDC68
FREM3	GRIK2	0.128963916837052	undirected	FREM3	GRIK2
FREM3	HPRT1	0.117408172617421	undirected	FREM3	HPRT1
FREM3	NXPH1	0.142234453283151	undirected	FREM3	NXPH1
FREM3	SGTB	0.185423217364961	undirected	FREM3	SGTB
FREM3	FLRT3	0.134027661052343	undirected	FREM3	FLRT3
FREM3	EPHA3	0.147663283620454	undirected	FREM3	EPHA3
FREM3	DPP10	0.16338729760573	undirected	FREM3	DPP10
FREM3	ATP6V1A	0.133902415077043	undirected	FREM3	ATP6V1A
FREM3	SLC39A10	0.178374384777937	undirected	FREM3	SLC39A10
FREM3	LGI2	0.129172681181104	undirected	FREM3	LGI2
FREM3	NRXN3	0.197847601876085	undirected	FREM3	NRXN3
FREM3	ELOVL4	0.123122852845404	undirected	FREM3	ELOVL4
FREM3	SLC16A14	0.137602280194284	undirected	FREM3	SLC16A14
FREM3	FBXL2	0.180524597443357	undirected	FREM3	FBXL2
FREM3	NREP	0.101792397442797	undirected	FREM3	NREP
FREM3	FAM49A	0.155799659044864	undirected	FREM3	FAM49A
FREM3	LRRTM3	0.137647549994848	undirected	FREM3	LRRTM3
FREM3	OXCT1	0.152901200140065	undirected	FREM3	OXCT1
FREM3	CCDC85A	0.180206502914591	undirected	FREM3	CCDC85A
FREM3	MFSD4	0.152995890278737	undirected	FREM3	MFSD4
FREM3	SERPINI1	0.158548299163033	undirected	FREM3	SERPINI1
FREM3	PPP3CB	0.158287463948835	undirected	FREM3	PPP3CB
FREM3	BCAT1	0.109954514190187	undirected	FREM3	BCAT1
FREM3	PLCXD3	0.121243747658727	undirected	FREM3	PLCXD3
FREM3	DCAF6	0.166134031633352	undirected	FREM3	DCAF6
FREM3	DMXL2	0.140938951345089	undirected	FREM3	DMXL2
FREM3	MARK1	0.145717898524114	undirected	FREM3	MARK1
FREM3	SLIT2	0.112844847569928	undirected	FREM3	SLIT2
FREM3	GRIA3	0.186820575873518	undirected	FREM3	GRIA3
FREM3	CELF2	0.129246486789718	undirected	FREM3	CELF2
CRH	OTOGL	0.114384032856736	undirected	CRH	OTOGL
CRH	SERTM1	0.154410633728155	undirected	CRH	SERTM1
CRH	LINGO2	0.10792903745489	undirected	CRH	LINGO2
CRH	SYT4	0.174885313136224	undirected	CRH	SYT4
CRH	VIP	0.129036160866552	undirected	CRH	VIP
CRH	GLRA3	0.108343040231296	undirected	CRH	GLRA3
CRH	PTHLH	0.106886558287158	undirected	CRH	PTHLH
CRH	PPEF1	0.131815847118674	undirected	CRH	PPEF1
CRH	FAM19A2	0.157203789455689	undirected	CRH	FAM19A2
CRH	GDA	0.189481897799197	undirected	CRH	GDA
CRH	UNC5D	0.118499641921167	undirected	CRH	UNC5D
CRH	OSTN	0.10157514858239	undirected	CRH	OSTN
CRH	ADTRP	0.111351901164093	undirected	CRH	ADTRP
CRH	PGM2L1	0.193029564134946	undirected	CRH	PGM2L1
CRH	PTPRR	0.126339884117445	undirected	CRH	PTPRR
CRH	CHML	0.121574183958341	undirected	CRH	CHML
CRH	HAPLN1	0.123049881210013	undirected	CRH	HAPLN1
CRH	KCNT2	0.166805289776612	undirected	CRH	KCNT2
CRH	HCRTR2	0.101259434087767	undirected	CRH	HCRTR2
CRH	NAP1L5	0.185653607156798	undirected	CRH	NAP1L5
CRH	IGF1	0.146077386094309	undirected	CRH	IGF1
CRH	SLC44A5	0.122828549051805	undirected	CRH	SLC44A5
CRH	CCDC68	0.100398211550546	undirected	CRH	CCDC68
CRH	PAK7	0.114538740479759	undirected	CRH	PAK7
CRH	CHSY3	0.102915062898381	undirected	CRH	CHSY3
CRH	GALNT14	0.119156959787505	undirected	CRH	GALNT14
CRH	GRIK2	0.120908903324661	undirected	CRH	GRIK2
CRH	HPRT1	0.141019615896959	undirected	CRH	HPRT1
CRH	NXPH1	0.164765002224501	undirected	CRH	NXPH1
CRH	SGTB	0.158395119468383	undirected	CRH	SGTB
CRH	FLRT3	0.14547228466969	undirected	CRH	FLRT3
CRH	EPHA3	0.141635978595665	undirected	CRH	EPHA3
CRH	DPP10	0.173907770050759	undirected	CRH	DPP10
CRH	ATP6V1A	0.156603116910647	undirected	CRH	ATP6V1A
CRH	GRIK1	0.108139890448445	undirected	CRH	GRIK1
CRH	SLC39A10	0.190748402791388	undirected	CRH	SLC39A10
CRH	LGI2	0.125591630836179	undirected	CRH	LGI2
CRH	B3GALT2	0.102429088984935	undirected	CRH	B3GALT2
CRH	NRXN3	0.211076648123689	undirected	CRH	NRXN3
CRH	ELOVL4	0.137438051937208	undirected	CRH	ELOVL4
CRH	SLC16A14	0.13100226225173	undirected	CRH	SLC16A14
CRH	FBXL2	0.204447159663379	undirected	CRH	FBXL2
CRH	NREP	0.123600647041731	undirected	CRH	NREP
CRH	SAMD5	0.107955251490449	undirected	CRH	SAMD5
CRH	FAM49A	0.188060522218769	undirected	CRH	FAM49A
CRH	LRRTM3	0.160707755542882	undirected	CRH	LRRTM3
CRH	OXCT1	0.163865076588767	undirected	CRH	OXCT1
CRH	CCDC85A	0.150141504500173	undirected	CRH	CCDC85A
CRH	MFSD4	0.136193401620413	undirected	CRH	MFSD4
CRH	SERPINI1	0.184775958920397	undirected	CRH	SERPINI1
CRH	PPP3CB	0.185706313238571	undirected	CRH	PPP3CB
CRH	BCAT1	0.117346683608111	undirected	CRH	BCAT1
CRH	PLCXD3	0.126985267560027	undirected	CRH	PLCXD3
CRH	DCAF6	0.167703819129678	undirected	CRH	DCAF6
CRH	DMXL2	0.158919533262052	undirected	CRH	DMXL2
CRH	MARK1	0.153879804313664	undirected	CRH	MARK1
CRH	GRIA3	0.192464518520846	undirected	CRH	GRIA3
CRH	CELF2	0.101908387553591	undirected	CRH	CELF2
SCARA5	SERTM1	0.102682169050085	undirected	SCARA5	SERTM1
SCARA5	GDA	0.127008960773562	undirected	SCARA5	GDA
SCARA5	PGM2L1	0.13587209089242	undirected	SCARA5	PGM2L1
SCARA5	DPP10	0.109829226655055	undirected	SCARA5	DPP10
SCARA5	ATP6V1A	0.100181716755243	undirected	SCARA5	ATP6V1A
SCARA5	SLC39A10	0.107096483324699	undirected	SCARA5	SLC39A10
SCARA5	NRXN3	0.130351490086271	undirected	SCARA5	NRXN3
SCARA5	FBXL2	0.107582287571193	undirected	SCARA5	FBXL2
SCARA5	FAM49A	0.108387533551549	undirected	SCARA5	FAM49A
SCARA5	OXCT1	0.118121661177739	undirected	SCARA5	OXCT1
SCARA5	SERPINI1	0.104585418907158	undirected	SCARA5	SERPINI1
SCARA5	PPP3CB	0.106194035390748	undirected	SCARA5	PPP3CB
SCARA5	DCAF6	0.109101796499939	undirected	SCARA5	DCAF6
SCARA5	DMXL2	0.105602844144838	undirected	SCARA5	DMXL2
SCARA5	GRIA3	0.111333520216288	undirected	SCARA5	GRIA3
KLHL14	OTOGL	0.129023350132691	undirected	KLHL14	OTOGL
KLHL14	SERTM1	0.192372718267418	undirected	KLHL14	SERTM1
KLHL14	LINGO2	0.122012412579871	undirected	KLHL14	LINGO2
KLHL14	SYT4	0.189973514607536	undirected	KLHL14	SYT4
KLHL14	VIP	0.133925001649056	undirected	KLHL14	VIP
KLHL14	GLRA3	0.121220226568976	undirected	KLHL14	GLRA3
KLHL14	PTHLH	0.107218262473581	undirected	KLHL14	PTHLH
KLHL14	PPEF1	0.12887349335201	undirected	KLHL14	PPEF1
KLHL14	FAM19A2	0.185344293686507	undirected	KLHL14	FAM19A2
KLHL14	GDA	0.212486928962951	undirected	KLHL14	GDA
KLHL14	UNC5D	0.132519461660884	undirected	KLHL14	UNC5D
KLHL14	PGM2L1	0.235447264609037	undirected	KLHL14	PGM2L1
KLHL14	PTPRR	0.130674508896198	undirected	KLHL14	PTPRR
KLHL14	CHML	0.130221421725672	undirected	KLHL14	CHML
KLHL14	HAPLN1	0.137237331828462	undirected	KLHL14	HAPLN1
KLHL14	KCNT2	0.188142821030376	undirected	KLHL14	KCNT2
KLHL14	NAP1L5	0.192959594678443	undirected	KLHL14	NAP1L5
KLHL14	IGF1	0.155944264884416	undirected	KLHL14	IGF1
KLHL14	SLC44A5	0.137682849743472	undirected	KLHL14	SLC44A5
KLHL14	CCDC68	0.121055604983518	undirected	KLHL14	CCDC68
KLHL14	PAK7	0.112713335930804	undirected	KLHL14	PAK7
KLHL14	CHSY3	0.100484501909512	undirected	KLHL14	CHSY3
KLHL14	GRIK2	0.12663873155002	undirected	KLHL14	GRIK2
KLHL14	HPRT1	0.14539463979935	undirected	KLHL14	HPRT1
KLHL14	NXPH1	0.176825034115735	undirected	KLHL14	NXPH1
KLHL14	SGTB	0.191546194642129	undirected	KLHL14	SGTB
KLHL14	FLRT3	0.165903038648698	undirected	KLHL14	FLRT3
KLHL14	EPHA3	0.168791991443958	undirected	KLHL14	EPHA3
KLHL14	DPP10	0.212115920284754	undirected	KLHL14	DPP10
KLHL14	ATP6V1A	0.185446632815869	undirected	KLHL14	ATP6V1A
KLHL14	GRIK1	0.1031451984028	undirected	KLHL14	GRIK1
KLHL14	SLC39A10	0.219667652641116	undirected	KLHL14	SLC39A10
KLHL14	LGI2	0.156037343032233	undirected	KLHL14	LGI2
KLHL14	NRXN3	0.23756363059551	undirected	KLHL14	NRXN3
KLHL14	ELOVL4	0.137873611861181	undirected	KLHL14	ELOVL4
KLHL14	SLC16A14	0.148377681955689	undirected	KLHL14	SLC16A14
KLHL14	FBXL2	0.217485384564377	undirected	KLHL14	FBXL2
KLHL14	NREP	0.138606621848527	undirected	KLHL14	NREP
KLHL14	SAMD5	0.106813184146668	undirected	KLHL14	SAMD5
KLHL14	FAM49A	0.212465821063215	undirected	KLHL14	FAM49A
KLHL14	LRRTM3	0.174763797686762	undirected	KLHL14	LRRTM3
KLHL14	OXCT1	0.197553994878163	undirected	KLHL14	OXCT1
KLHL14	CCDC85A	0.171075040374955	undirected	KLHL14	CCDC85A
KLHL14	MFSD4	0.147058330996757	undirected	KLHL14	MFSD4
KLHL14	SERPINI1	0.209786322202207	undirected	KLHL14	SERPINI1
KLHL14	PPP3CB	0.207381438848011	undirected	KLHL14	PPP3CB
KLHL14	BCAT1	0.129434755128295	undirected	KLHL14	BCAT1
KLHL14	PLCXD3	0.147374846022753	undirected	KLHL14	PLCXD3
KLHL14	DCAF6	0.20400583938811	undirected	KLHL14	DCAF6
KLHL14	DMXL2	0.174361702137311	undirected	KLHL14	DMXL2
KLHL14	MARK1	0.170297508929435	undirected	KLHL14	MARK1
KLHL14	GRIA3	0.2110111757717	undirected	KLHL14	GRIA3
KLHL14	CELF2	0.118098285335955	undirected	KLHL14	CELF2
KRT5	OTOGL	0.105107589600749	undirected	KRT5	OTOGL
KRT5	SERTM1	0.150962864242394	undirected	KRT5	SERTM1
KRT5	LINGO2	0.117942585639539	undirected	KRT5	LINGO2
KRT5	NMU	0.100698942598947	undirected	KRT5	NMU
KRT5	SYT4	0.177211580849572	undirected	KRT5	SYT4
KRT5	VIP	0.113853651617841	undirected	KRT5	VIP
KRT5	GLRA3	0.126071924491555	undirected	KRT5	GLRA3
KRT5	PTHLH	0.112353613400272	undirected	KRT5	PTHLH
KRT5	FAM19A2	0.165309421014007	undirected	KRT5	FAM19A2
KRT5	GDA	0.195556316329694	undirected	KRT5	GDA
KRT5	UNC5D	0.122592333903293	undirected	KRT5	UNC5D
KRT5	OSTN	0.102552801659828	undirected	KRT5	OSTN
KRT5	PGM2L1	0.19568379848178	undirected	KRT5	PGM2L1
KRT5	PTPRR	0.112827339490372	undirected	KRT5	PTPRR
KRT5	CHML	0.111007784855975	undirected	KRT5	CHML
KRT5	HAPLN1	0.129188145228953	undirected	KRT5	HAPLN1
KRT5	KCNT2	0.179210896616369	undirected	KRT5	KCNT2
KRT5	NAP1L5	0.173563139641227	undirected	KRT5	NAP1L5
KRT5	IGF1	0.153454745931863	undirected	KRT5	IGF1
KRT5	SLC44A5	0.109356340577545	undirected	KRT5	SLC44A5
KRT5	PAK7	0.116135252388719	undirected	KRT5	PAK7
KRT5	SPIN2A	0.101223307474194	undirected	KRT5	SPIN2A
KRT5	GRIK2	0.123290764058586	undirected	KRT5	GRIK2
KRT5	HPRT1	0.139308619925086	undirected	KRT5	HPRT1
KRT5	NXPH1	0.161651131563385	undirected	KRT5	NXPH1
KRT5	SGTB	0.180141993313828	undirected	KRT5	SGTB
KRT5	FLRT3	0.136913896404908	undirected	KRT5	FLRT3
KRT5	EPHA3	0.133296348827147	undirected	KRT5	EPHA3
KRT5	DPP10	0.163739138032436	undirected	KRT5	DPP10
KRT5	ATP6V1A	0.162951328725648	undirected	KRT5	ATP6V1A
KRT5	GRIK1	0.102385200742883	undirected	KRT5	GRIK1
KRT5	SLC39A10	0.20013618845036	undirected	KRT5	SLC39A10
KRT5	LGI2	0.123301598102484	undirected	KRT5	LGI2
KRT5	NRXN3	0.227814548614095	undirected	KRT5	NRXN3
KRT5	ELOVL4	0.163393316810995	undirected	KRT5	ELOVL4
KRT5	SLC16A14	0.142441804869574	undirected	KRT5	SLC16A14
KRT5	FBXL2	0.222886046013565	undirected	KRT5	FBXL2
KRT5	FAM49A	0.184506871306204	undirected	KRT5	FAM49A
KRT5	LRRTM3	0.163520268975072	undirected	KRT5	LRRTM3
KRT5	OXCT1	0.172556457867636	undirected	KRT5	OXCT1
KRT5	CCDC85A	0.174916544221058	undirected	KRT5	CCDC85A
KRT5	MFSD4	0.150020926062037	undirected	KRT5	MFSD4
KRT5	SERPINI1	0.179305469774773	undirected	KRT5	SERPINI1
KRT5	PPP3CB	0.197287026970297	undirected	KRT5	PPP3CB
KRT5	BCAT1	0.14221257292972	undirected	KRT5	BCAT1
KRT5	DYNLT3	0.10571879929198	undirected	KRT5	DYNLT3
KRT5	PLCXD3	0.131272297944967	undirected	KRT5	PLCXD3
KRT5	DCAF6	0.160286905075664	undirected	KRT5	DCAF6
KRT5	DMXL2	0.166650251449324	undirected	KRT5	DMXL2
KRT5	MARK1	0.149091371722276	undirected	KRT5	MARK1
KRT5	SLIT2	0.131313539656195	undirected	KRT5	SLIT2
KRT5	GRIA3	0.196130228884786	undirected	KRT5	GRIA3
KRT5	CELF2	0.114343593711938	undirected	KRT5	CELF2
ABCC12	LINGO2	0.115123733826755	undirected	ABCC12	LINGO2
ABCC12	SYT4	0.138615743618452	undirected	ABCC12	SYT4
