fromNode	toNode	weight	direction	fromAltName	toAltName
RP11-831H9.16	MYO18A	0.100081802871208	undirected	RP11-831H9.16	MYO18A
AC024580.1	GNL3L	0.102622377584786	undirected	AC024580.1	GNL3L
AC024580.1	SERINC5	0.111045663671243	undirected	AC024580.1	SERINC5
AC024580.1	MAVS	0.105914444956909	undirected	AC024580.1	MAVS
CDHR5	CECR2	0.108279711283882	undirected	CDHR5	CECR2
CECR2	SLC34A3	0.112042736088466	undirected	CECR2	SLC34A3
CECR2	GREB1L	0.110110231052737	undirected	CECR2	GREB1L
CECR2	PVRIG	0.120477735747202	undirected	CECR2	PVRIG
CECR2	TCP11L2	0.117348055008445	undirected	CECR2	TCP11L2
CECR2	TBC1D10C	0.114486655269434	undirected	CECR2	TBC1D10C
CECR2	AL133216.1	0.135486700382519	undirected	CECR2	AL133216.1
CECR2	SERINC5	0.132448043933041	undirected	CECR2	SERINC5
CECR2	ZNF70	0.112453829719551	undirected	CECR2	ZNF70
CECR2	INE1	0.103315387033288	undirected	CECR2	INE1
CECR2	MAVS	0.104635144445429	undirected	CECR2	MAVS
CECR2	CD27	0.144727114707247	undirected	CECR2	CD27
CECR2	TAS2R5	0.102134873212246	undirected	CECR2	TAS2R5
CECR2	VMAC	0.141045008458353	undirected	CECR2	VMAC
CECR2	MYO18A	0.13804486664436	undirected	CECR2	MYO18A
CECR2	JMJD7-PLA2G4B	0.121022090710434	undirected	CECR2	JMJD7-PLA2G4B
AC005841.1	JMJD7-PLA2G4B	0.105947074151767	undirected	AC005841.1	JMJD7-PLA2G4B
TRIM56	MAVS	0.103902742603143	undirected	TRIM56	MAVS
GREB1L	TCP11L2	0.10548852478073	undirected	GREB1L	TCP11L2
GNL3L	SERINC5	0.117026291159999	undirected	GNL3L	SERINC5
GNL3L	MAVS	0.113913040301111	undirected	GNL3L	MAVS
GNL3L	MYO18A	0.102504717629048	undirected	GNL3L	MYO18A
PVRIG	TCP11L2	0.107554613971783	undirected	PVRIG	TCP11L2
PVRIG	SERINC5	0.110234349189451	undirected	PVRIG	SERINC5
PVRIG	MYO18A	0.104590949615519	undirected	PVRIG	MYO18A
TCP11L2	CD27	0.107009175429055	undirected	TCP11L2	CD27
TCP11L2	VMAC	0.10621231999291	undirected	TCP11L2	VMAC
TBC1D10C	SERINC5	0.119705717654871	undirected	TBC1D10C	SERINC5
TBC1D10C	MAVS	0.111165168831974	undirected	TBC1D10C	MAVS
TBC1D10C	MYO18A	0.110178660916792	undirected	TBC1D10C	MYO18A
AL133216.1	SERINC5	0.105545958527592	undirected	AL133216.1	SERINC5
SERINC5	ZNF70	0.118325188686095	undirected	SERINC5	ZNF70
SERINC5	MAVS	0.114673998434586	undirected	SERINC5	MAVS
SERINC5	CD27	0.127289918892116	undirected	SERINC5	CD27
SERINC5	VMAC	0.131391689596346	undirected	SERINC5	VMAC
SERINC5	MYO18A	0.125438757946317	undirected	SERINC5	MYO18A
SERINC5	JMJD7-PLA2G4B	0.108868802400142	undirected	SERINC5	JMJD7-PLA2G4B
ZNF70	MAVS	0.115875780757844	undirected	ZNF70	MAVS
ZNF70	MYO18A	0.1014624086506	undirected	ZNF70	MYO18A
MAVS	CD27	0.101841742629528	undirected	MAVS	CD27
MAVS	VMAC	0.10898996235292	undirected	MAVS	VMAC
MAVS	MYO18A	0.10494193173798	undirected	MAVS	MYO18A
MAVS	JMJD7-PLA2G4B	0.101129440706564	undirected	MAVS	JMJD7-PLA2G4B
CD27	MYO18A	0.128805213653238	undirected	CD27	MYO18A
VMAC	MYO18A	0.119864804525063	undirected	VMAC	MYO18A
MYO18A	JMJD7-PLA2G4B	0.101537482694383	undirected	MYO18A	JMJD7-PLA2G4B
