fromNode	toNode	weight	direction	fromAltName	toAltName
NEUROD6	HTR2C	0.14692765313717	undirected	NEUROD6	HTR2C
NEUROD6	KRT222	0.221553392865847	undirected	NEUROD6	KRT222
NEUROD6	KCNC2	0.1543049475113	undirected	NEUROD6	KCNC2
NEUROD6	STYK1	0.118338247304947	undirected	NEUROD6	STYK1
NEUROD6	GABRA4	0.132047075967515	undirected	NEUROD6	GABRA4
NEUROD6	EGR3	0.111258186004424	undirected	NEUROD6	EGR3
NEUROD6	PTER	0.108841764425282	undirected	NEUROD6	PTER
NEUROD6	ELAVL4	0.17682213834003	undirected	NEUROD6	ELAVL4
NEUROD6	GLRA2	0.135819338914863	undirected	NEUROD6	GLRA2
NEUROD6	NEK2	0.118185800816958	undirected	NEUROD6	NEK2
NEUROD6	FSTL5	0.137816178994321	undirected	NEUROD6	FSTL5
NEUROD6	ELMOD1	0.12240036570431	undirected	NEUROD6	ELMOD1
NEUROD6	CDH9	0.131493045422407	undirected	NEUROD6	CDH9
NEUROD6	SCN2A	0.221410516838482	undirected	NEUROD6	SCN2A
NEUROD6	DACH2	0.126853161817018	undirected	NEUROD6	DACH2
NEUROD6	NPY5R	0.104021342529549	undirected	NEUROD6	NPY5R
NEUROD6	NDST3	0.119943488464887	undirected	NEUROD6	NDST3
NEUROD6	CAMK4	0.116766646917197	undirected	NEUROD6	CAMK4
NEUROD6	LPPR4	0.173771943483738	undirected	NEUROD6	LPPR4
NEUROD6	ZCCHC12	0.107148121839871	undirected	NEUROD6	ZCCHC12
NEUROD6	SLC2A13	0.187655983845624	undirected	NEUROD6	SLC2A13
NEUROD6	ST8SIA3	0.161515594532523	undirected	NEUROD6	ST8SIA3
NEUROD6	SYNPR	0.110347273622177	undirected	NEUROD6	SYNPR
NEUROD6	GABRA5	0.108982584177325	undirected	NEUROD6	GABRA5
NEUROD6	DGKB	0.116275292913769	undirected	NEUROD6	DGKB
NEUROD6	B4GALT6	0.178919621179664	undirected	NEUROD6	B4GALT6
NEUROD6	SCG2	0.102795758758306	undirected	NEUROD6	SCG2
NEUROD6	ARPP21	0.133081748211321	undirected	NEUROD6	ARPP21
NEUROD6	HOMER1	0.175100713799997	undirected	NEUROD6	HOMER1
NEUROD6	CNKSR2	0.169991412841516	undirected	NEUROD6	CNKSR2
NEUROD6	KIAA2022	0.173716522053346	undirected	NEUROD6	KIAA2022
NEUROD6	UNC80	0.154998493944388	undirected	NEUROD6	UNC80
NEUROD6	TMEM196	0.161345981861684	undirected	NEUROD6	TMEM196
NEUROD6	RALYL	0.14506230538904	undirected	NEUROD6	RALYL
NEUROD6	HOOK1	0.12156757714994	undirected	NEUROD6	HOOK1
NEUROD6	KCND2	0.130417905032847	undirected	NEUROD6	KCND2
NEUROD6	SMIM18	0.119765056392323	undirected	NEUROD6	SMIM18
NEUROD6	TMEM200A	0.130508902838434	undirected	NEUROD6	TMEM200A
NEUROD6	NOL4	0.129523514432873	undirected	NEUROD6	NOL4
NEUROD6	CACNB4	0.145939193916256	undirected	NEUROD6	CACNB4
NEUROD6	GULP1	0.131858033726279	undirected	NEUROD6	GULP1
NEUROD6	RNF128	0.141568280364021	undirected	NEUROD6	RNF128
NEUROD6	CHL1	0.205640311127588	undirected	NEUROD6	CHL1
NEUROD6	GALNTL6	0.134112963858245	undirected	NEUROD6	GALNTL6
NEUROD6	PTPRO	0.108514529920285	undirected	NEUROD6	PTPRO
NEUROD6	KHDRBS2	0.136977998062209	undirected	NEUROD6	KHDRBS2
NEUROD6	TUSC3	0.145057945290237	undirected	NEUROD6	TUSC3
