fromNode	toNode	weight	direction	fromAltName	toAltName
TMEM155	POSTN	0.106402218814548	undirected	TMEM155	POSTN
TMEM155	ST6GALNAC5	0.139761875095809	undirected	TMEM155	ST6GALNAC5
TMEM155	SLC27A2	0.106403002137468	undirected	TMEM155	SLC27A2
TMEM155	FAM19A1	0.178116907359671	undirected	TMEM155	FAM19A1
TMEM155	ZMAT4	0.164568164438009	undirected	TMEM155	ZMAT4
TMEM155	SNX10	0.179383250164511	undirected	TMEM155	SNX10
TMEM155	SPTSSB	0.168107323699792	undirected	TMEM155	SPTSSB
TMEM155	CRYM	0.138170528810431	undirected	TMEM155	CRYM
TMEM155	VSNL1	0.180822323018104	undirected	TMEM155	VSNL1
TMEM155	FGF9	0.132950443914777	undirected	TMEM155	FGF9
TMEM155	NSG1	0.16194149649323	undirected	TMEM155	NSG1
TMEM155	GFRA2	0.120199220573916	undirected	TMEM155	GFRA2
TMEM155	HSPB3	0.153624800362251	undirected	TMEM155	HSPB3
TMEM155	CACNG3	0.108102705613725	undirected	TMEM155	CACNG3
TMEM155	SDR16C5	0.119297307738159	undirected	TMEM155	SDR16C5
TMEM155	CYP4X1	0.112441381734392	undirected	TMEM155	CYP4X1
TMEM155	C12orf68	0.125418726846003	undirected	TMEM155	C12orf68
TMEM155	RP11-826N14.2	0.10306501584555	undirected	TMEM155	RP11-826N14.2
TMEM155	CCK	0.193746989929051	undirected	TMEM155	CCK
TMEM155	NRN1	0.206322658189286	undirected	TMEM155	NRN1
TMEM155	UBE2QL1	0.20039483922524	undirected	TMEM155	UBE2QL1
TMEM155	SMPX	0.123975234354655	undirected	TMEM155	SMPX
TMEM155	C2orf80	0.168565511107631	undirected	TMEM155	C2orf80
TMEM155	BCL2L10	0.111392770153658	undirected	TMEM155	BCL2L10
TMEM155	C1orf115	0.145740876486848	undirected	TMEM155	C1orf115
TMEM155	BEX5	0.167354807875963	undirected	TMEM155	BEX5
TMEM155	GAP43	0.169189489028495	undirected	TMEM155	GAP43
TMEM155	BASP1	0.175742915404105	undirected	TMEM155	BASP1
TMEM155	FBXO16	0.137880813303714	undirected	TMEM155	FBXO16
TMEM155	RIT2	0.19548228505745	undirected	TMEM155	RIT2
TMEM155	TSPAN13	0.169285919201577	undirected	TMEM155	TSPAN13
TMEM155	OLFM1	0.134282202825939	undirected	TMEM155	OLFM1
TMEM155	ICA1	0.109485321987716	undirected	TMEM155	ICA1
TMEM155	CHN1	0.162354034119523	undirected	TMEM155	CHN1
TMEM155	CELF4	0.146063834917857	undirected	TMEM155	CELF4
TMEM155	GRM7	0.133777447926672	undirected	TMEM155	GRM7
TMEM155	RP11-553A10.1	0.141323824511479	undirected	TMEM155	RP11-553A10.1
TMEM155	ASAH2B	0.185392627561932	undirected	TMEM155	ASAH2B
TMEM155	CA10	0.161627842393934	undirected	TMEM155	CA10
TMEM155	CTXN2	0.135930447203784	undirected	TMEM155	CTXN2
TMEM155	SUSD4	0.164406294966307	undirected	TMEM155	SUSD4
TMEM155	SMKR1	0.122408286594541	undirected	TMEM155	SMKR1
TMEM155	ULBP2	0.106097788762413	undirected	TMEM155	ULBP2
TMEM155	TAGLN3	0.114524511089168	undirected	TMEM155	TAGLN3
TMEM155	LDB2	0.161738698918333	undirected	TMEM155	LDB2
TMEM155	RNF175	0.166978144885642	undirected	TMEM155	RNF175
TMEM155	QPCT	0.150428108146765	undirected	TMEM155	QPCT
TMEM155	YWHAH	0.167361723017131	undirected	TMEM155	YWHAH
TMEM155	BCL11A	0.121293898157479	undirected	TMEM155	BCL11A
TMEM155	MDH1	0.185594050526627	undirected	TMEM155	MDH1
TMEM155	FAXC	0.170593476608083	undirected	TMEM155	FAXC
TMEM155	GNB5	0.226892388030904	undirected	TMEM155	GNB5
TMEM155	SMYD2	0.172026166641863	undirected	TMEM155	SMYD2
TMEM155	ATP6V1G2	0.136888784174306	undirected	TMEM155	ATP6V1G2
TMEM155	NTNG1	0.117652437389552	undirected	TMEM155	NTNG1
TMEM155	UCHL1	0.178524525121999	undirected	TMEM155	UCHL1
TMEM155	C10orf35	0.107417774938248	undirected	TMEM155	C10orf35
TMEM155	UBE2T	0.18471613594081	undirected	TMEM155	UBE2T
TMEM155	LYSMD2	0.166553584941106	undirected	TMEM155	LYSMD2
TMEM155	JAKMIP1	0.140953264592578	undirected	TMEM155	JAKMIP1
TMEM155	FHL2	0.166366159294728	undirected	TMEM155	FHL2
TMEM155	BEX1	0.168003555320235	undirected	TMEM155	BEX1
TMEM155	DDX25	0.196067208444922	undirected	TMEM155	DDX25
TMEM155	RHEBL1	0.153627168887805	undirected	TMEM155	RHEBL1
AL450307.1	FAM19A1	0.102742984078317	undirected	AL450307.1	FAM19A1
POSTN	SNX10	0.115101236911084	undirected	POSTN	SNX10
POSTN	VSNL1	0.107768962290511	undirected	POSTN	VSNL1
POSTN	RIT2	0.101759380927364	undirected	POSTN	RIT2
POSTN	CHN1	0.101600902168618	undirected	POSTN	CHN1
POSTN	GNB5	0.117947382040995	undirected	POSTN	GNB5
ST6GALNAC5	TCERG1L	0.104317186856628	undirected	ST6GALNAC5	TCERG1L
ST6GALNAC5	SLC27A2	0.155345078573022	undirected	ST6GALNAC5	SLC27A2
ST6GALNAC5	FAM19A1	0.205527654975291	undirected	ST6GALNAC5	FAM19A1
ST6GALNAC5	ZMAT4	0.155949328497997	undirected	ST6GALNAC5	ZMAT4
ST6GALNAC5	SNX10	0.199688873207867	undirected	ST6GALNAC5	SNX10
ST6GALNAC5	SPTSSB	0.146081817363876	undirected	ST6GALNAC5	SPTSSB
ST6GALNAC5	CRYM	0.100555310602205	undirected	ST6GALNAC5	CRYM
ST6GALNAC5	VSNL1	0.184102057529522	undirected	ST6GALNAC5	VSNL1
ST6GALNAC5	FGF9	0.155836653357555	undirected	ST6GALNAC5	FGF9
ST6GALNAC5	NSG1	0.110051127881479	undirected	ST6GALNAC5	NSG1
ST6GALNAC5	LYPD6B	0.103041917930907	undirected	ST6GALNAC5	LYPD6B
ST6GALNAC5	HSPB3	0.126205909495061	undirected	ST6GALNAC5	HSPB3
ST6GALNAC5	CACNG3	0.124604453836908	undirected	ST6GALNAC5	CACNG3
ST6GALNAC5	SDR16C5	0.152315474665463	undirected	ST6GALNAC5	SDR16C5
ST6GALNAC5	CYP4X1	0.160992462693027	undirected	ST6GALNAC5	CYP4X1
ST6GALNAC5	RP11-826N14.2	0.142218487217564	undirected	ST6GALNAC5	RP11-826N14.2
ST6GALNAC5	ESRP1	0.12528896706823	undirected	ST6GALNAC5	ESRP1
ST6GALNAC5	CCK	0.119739957175241	undirected	ST6GALNAC5	CCK
ST6GALNAC5	NRN1	0.123481905004206	undirected	ST6GALNAC5	NRN1
ST6GALNAC5	UBE2QL1	0.113668693275926	undirected	ST6GALNAC5	UBE2QL1
ST6GALNAC5	C2orf80	0.16946495264794	undirected	ST6GALNAC5	C2orf80
ST6GALNAC5	BCL2L10	0.122594566157498	undirected	ST6GALNAC5	BCL2L10
ST6GALNAC5	C1orf115	0.166247510490853	undirected	ST6GALNAC5	C1orf115
ST6GALNAC5	BEX5	0.135291491681662	undirected	ST6GALNAC5	BEX5
ST6GALNAC5	GAP43	0.132144414591726	undirected	ST6GALNAC5	GAP43
ST6GALNAC5	BASP1	0.123121275309164	undirected	ST6GALNAC5	BASP1
ST6GALNAC5	FBXO16	0.13069095116432	undirected	ST6GALNAC5	FBXO16
ST6GALNAC5	RIT2	0.145702686438794	undirected	ST6GALNAC5	RIT2
ST6GALNAC5	TSPAN13	0.170007786685639	undirected	ST6GALNAC5	TSPAN13
ST6GALNAC5	HOPX	0.138841118711119	undirected	ST6GALNAC5	HOPX
ST6GALNAC5	OLFM1	0.118140957183879	undirected	ST6GALNAC5	OLFM1
ST6GALNAC5	ICA1	0.119412628446075	undirected	ST6GALNAC5	ICA1
ST6GALNAC5	CHN1	0.180492462458184	undirected	ST6GALNAC5	CHN1
ST6GALNAC5	CELF4	0.142676371767818	undirected	ST6GALNAC5	CELF4
ST6GALNAC5	KCNA2	0.11369481086304	undirected	ST6GALNAC5	KCNA2
