fromNode	toNode	weight	direction	fromAltName	toAltName
CNGB1	KCNH1	0.104587768956344	undirected	CNGB1	KCNH1
CNGB1	SCN8A	0.103008056612509	undirected	CNGB1	SCN8A
C1QL3	HS6ST3	0.251951074121339	undirected	C1QL3	HS6ST3
C1QL3	GRM5	0.246811436394523	undirected	C1QL3	GRM5
C1QL3	SIRPB1	0.115254724994333	undirected	C1QL3	SIRPB1
C1QL3	HTR1A	0.22174973474115	undirected	C1QL3	HTR1A
C1QL3	CDKL5	0.19946132802713	undirected	C1QL3	CDKL5
C1QL3	SV2C	0.120598434372669	undirected	C1QL3	SV2C
C1QL3	PPM1E	0.268180208654433	undirected	C1QL3	PPM1E
C1QL3	PCDHAC2	0.266137032814411	undirected	C1QL3	PCDHAC2
C1QL3	PLCXD2	0.237575272728806	undirected	C1QL3	PLCXD2
C1QL3	GCNT4	0.185428868236754	undirected	C1QL3	GCNT4
C1QL3	HTR3B	0.195404617180846	undirected	C1QL3	HTR3B
C1QL3	RGS7BP	0.18393115212118	undirected	C1QL3	RGS7BP
C1QL3	PCDHGC5	0.215238849805141	undirected	C1QL3	PCDHGC5
C1QL3	PROKR2	0.262783094087676	undirected	C1QL3	PROKR2
C1QL3	WNT1	0.113047888978461	undirected	C1QL3	WNT1
C1QL3	KIAA0087	0.148375544758687	undirected	C1QL3	KIAA0087
C1QL3	FRRS1L	0.20535614656866	undirected	C1QL3	FRRS1L
C1QL3	C4orf50	0.229461937154639	undirected	C1QL3	C4orf50
C1QL3	KCNH1	0.268434652811177	undirected	C1QL3	KCNH1
C1QL3	CCDC177.1	0.214154574386434	undirected	C1QL3	CCDC177.1
C1QL3	HTR2A	0.230307922661976	undirected	C1QL3	HTR2A
C1QL3	MYLK3	0.117792653208426	undirected	C1QL3	MYLK3
C1QL3	SCN8A	0.284134943693496	undirected	C1QL3	SCN8A
C1QL3	FLG	0.151147841349698	undirected	C1QL3	FLG
C1QL3	TACR1	0.158725181341815	undirected	C1QL3	TACR1
C1QL3	NCR3LG1	0.245026729507726	undirected	C1QL3	NCR3LG1
C1QL3	PCDHAC1	0.254475033716938	undirected	C1QL3	PCDHAC1
C1QL3	NYAP2	0.213286192226476	undirected	C1QL3	NYAP2
C1QL3	KLHL34	0.167287399783169	undirected	C1QL3	KLHL34
C1QL3	PLEKHM3	0.207715805873666	undirected	C1QL3	PLEKHM3
C1QL3	NPBWR2	0.142409251651789	undirected	C1QL3	NPBWR2
C1QL3	TNR	0.215055187289948	undirected	C1QL3	TNR
C1QL3	PCDHA6	0.209150202349361	undirected	C1QL3	PCDHA6
C1QL3	CLVS2	0.216764658648422	undirected	C1QL3	CLVS2
C1QL3	ZKSCAN8	0.104462128903994	undirected	C1QL3	ZKSCAN8
C1QL3	PCDHA5	0.249777958833768	undirected	C1QL3	PCDHA5
C1QL3	RP11-422N16.3	0.180100297678242	undirected	C1QL3	RP11-422N16.3
C1QL3	AKAP5	0.141650585747565	undirected	C1QL3	AKAP5
C1QL3	PCDHGC4	0.243462093474398	undirected	C1QL3	PCDHGC4
C1QL3	ANKRD33B	0.20315346159354	undirected	C1QL3	ANKRD33B
C1QL3	CCBE1	0.127974624430674	undirected	C1QL3	CCBE1
C1QL3	PCDHA11	0.235380882631652	undirected	C1QL3	PCDHA11
C1QL3	HRH2	0.210686332414415	undirected	C1QL3	HRH2
C1QL3	TMEM233	0.176649048358111	undirected	C1QL3	TMEM233
C1QL3	SLCO4C1	0.22715377829933	undirected	C1QL3	SLCO4C1
C1QL3	SHANK1	0.117440994476528	undirected	C1QL3	SHANK1
C1QL3	KLHL11	0.215020114376793	undirected	C1QL3	KLHL11
C1QL3	DCC	0.196467471085605	undirected	C1QL3	DCC
C1QL3	FAM163B	0.137676441339655	undirected	C1QL3	FAM163B
C1QL3	SMCR8	0.214819203538698	undirected	C1QL3	SMCR8
C1QL3	GDF7	0.138286705073318	undirected	C1QL3	GDF7
C1QL3	XKR7	0.225958299042648	undirected	C1QL3	XKR7
C1QL3	OPRD1	0.166653866040505	undirected	C1QL3	OPRD1
C1QL3	SIAH3	0.195787652202341	undirected	C1QL3	SIAH3
C1QL3	PCDHA9	0.169464267241	undirected	C1QL3	PCDHA9
C1QL3	SMIM17	0.146095359988153	undirected	C1QL3	SMIM17
C1QL3	GRIN2B	0.22146015418713	undirected	C1QL3	GRIN2B
C1QL3	SHC3	0.237749493117467	undirected	C1QL3	SHC3
C1QL3	ADD2	0.204872507840156	undirected	C1QL3	ADD2
C1QL3	CHRNB3	0.129318473236031	undirected	C1QL3	CHRNB3
C1QL3	TRIM71	0.120516473982078	undirected	C1QL3	TRIM71
C1QL3	DCAF12L2	0.210021751016672	undirected	C1QL3	DCAF12L2
C1QL3	B3GALT1	0.164951406721677	undirected	C1QL3	B3GALT1
C1QL3	PLEKHD1	0.119115959068041	undirected	C1QL3	PLEKHD1
C1QL3	ZDHHC20	0.101589165351489	undirected	C1QL3	ZDHHC20
C1QL3	PCDHA12	0.238711975205456	undirected	C1QL3	PCDHA12
