fromNode	toNode	weight	direction	fromAltName	toAltName
OGN	PLN	0.106059781025181	undirected	OGN	PLN
OGN	TBX18	0.101424038410073	undirected	OGN	TBX18
PLN	CASQ2	0.108361176748262	undirected	PLN	CASQ2
PLN	TBX18	0.117885990052431	undirected	PLN	TBX18
COL3A1	TBX18	0.106209545745617	undirected	COL3A1	TBX18
COL3A1	COL1A2	0.117345352791166	undirected	COL3A1	COL1A2
COL3A1	GPX8	0.112013300417284	undirected	COL3A1	GPX8
COL3A1	FN1	0.115361938903007	undirected	COL3A1	FN1
COL3A1	EBF1	0.109011053286191	undirected	COL3A1	EBF1
COL3A1	JAG1	0.125331980383424	undirected	COL3A1	JAG1
MGP	ACTA2	0.116125996066013	undirected	MGP	ACTA2
MGP	TBX18	0.106000154656178	undirected	MGP	TBX18
MGP	CNN1	0.107088238090327	undirected	MGP	CNN1
ACTA2	CNN1	0.105868312029832	undirected	ACTA2	CNN1
CASQ2	TBX18	0.115272005753019	undirected	CASQ2	TBX18
TBX18	FMOD	0.104033699832476	undirected	TBX18	FMOD
TBX18	ECM2	0.103044177704871	undirected	TBX18	ECM2
TBX18	COL1A2	0.104463105983743	undirected	TBX18	COL1A2
TBX18	GPX8	0.10351433728668	undirected	TBX18	GPX8
TBX18	EBF1	0.112948924620475	undirected	TBX18	EBF1
TBX18	JAG1	0.102129579465512	undirected	TBX18	JAG1
COL1A2	GPX8	0.105165727584927	undirected	COL1A2	GPX8
COL1A2	FOXC1	0.103676963958824	undirected	COL1A2	FOXC1
COL1A2	DCN	0.10157224777337	undirected	COL1A2	DCN
COL1A2	FN1	0.121934917439414	undirected	COL1A2	FN1
COL1A2	EBF1	0.118357805072554	undirected	COL1A2	EBF1
COL1A2	SLC22A3	0.101280346238727	undirected	COL1A2	SLC22A3
COL1A2	PAQR5	0.101382368397255	undirected	COL1A2	PAQR5
COL1A2	JAG1	0.110006034615377	undirected	COL1A2	JAG1
COL1A2	LEF1	0.105592706094321	undirected	COL1A2	LEF1
VGLL3	FN1	0.100047659390133	undirected	VGLL3	FN1
VGLL3	JAG1	0.124174325129989	undirected	VGLL3	JAG1
GPX8	EBF1	0.104396680896204	undirected	GPX8	EBF1
GPX8	JAG1	0.123585127053755	undirected	GPX8	JAG1
FOXC1	FN1	0.106491250195591	undirected	FOXC1	FN1
FOXC1	SEMA3G	0.109510298576872	undirected	FOXC1	SEMA3G
FAM26E	EBF1	0.105716925481529	undirected	FAM26E	EBF1
BMP6	FN1	0.102263828791375	undirected	BMP6	FN1
BMP6	JAG1	0.101298897191018	undirected	BMP6	JAG1
DCN	EBF1	0.102751600671385	undirected	DCN	EBF1
FN1	EBF1	0.108537294625146	undirected	FN1	EBF1
FN1	JAG1	0.106876409496881	undirected	FN1	JAG1
FN1	LEF1	0.100308481623892	undirected	FN1	LEF1
FBLN2	EBF1	0.100952903662867	undirected	FBLN2	EBF1
EBF1	SLC22A3	0.102857177211235	undirected	EBF1	SLC22A3
EBF1	JAG1	0.105319687460331	undirected	EBF1	JAG1
EBF1	LEF1	0.100790479803541	undirected	EBF1	LEF1
LEPR	JAG1	0.103593119796152	undirected	LEPR	JAG1
PDE5A	JAG1	0.103899264520543	undirected	PDE5A	JAG1
