nodeName	altName	nodeAttr[nodesPresent, ]
HSPA6	HSPA6	black
RGS1	RGS1	black
VSIG4	VSIG4	black
FCGBP	FCGBP	black
HAMP	HAMP	black
HLA-DQB1	HLA-DQB1	black
SFN	SFN	black
RNASE2	RNASE2	black
SCIN	SCIN	black
C1QC	C1QC	black
FPR1	FPR1	black
SLC11A1	SLC11A1	black
SERPINA1	SERPINA1	black
C1QB	C1QB	black
MS4A6A	MS4A6A	black
SIGLEC9	SIGLEC9	black
HLA-DQA1	HLA-DQA1	black
C1QA	C1QA	black
SIGLEC14	SIGLEC14	black
TYMP	TYMP	black
FCGR3A	FCGR3A	black
PTPN7	PTPN7	black
SNX20	SNX20	black
APLNR	APLNR	black
SLC1A5	SLC1A5	black
MSR1	MSR1	black
LILRA4	LILRA4	black
IL1B	IL1B	black
FYB	FYB	black
ALOX5AP	ALOX5AP	black
FCGR2A	FCGR2A	black
GPR183	GPR183	black
CCR5	CCR5	black
CD14	CD14	black
SIGLEC8	SIGLEC8	black
GPR84	GPR84	black
PIRT	PIRT	black
C3	C3	black
STAB1	STAB1	black
MS4A4A	MS4A4A	black
KLHL6	KLHL6	black
SPTLC3	SPTLC3	black
FCGR1A	FCGR1A	black
RHBDF2	RHBDF2	black
CD180	CD180	black
LILRB1	LILRB1	black
CD86	CD86	black
TMEM150B	TMEM150B	black
CX3CR1	CX3CR1	black
CEBPA	CEBPA	black
ITGB2	ITGB2	black
MYBPH	MYBPH	black
LAIR1	LAIR1	black
C3AR1	C3AR1	black
BATF	BATF	black
RBM47	RBM47	black
SIRPB2	SIRPB2	black
EBI3	EBI3	black
LRRC25	LRRC25	black
CCR1	CCR1	black
FCER1G	FCER1G	black
HMOX1	HMOX1	black
SASH3	SASH3	black
HCK	HCK	black
IRF8	IRF8	black
SIGLEC10	SIGLEC10	black
PARVG	PARVG	black
HCLS1	HCLS1	black
CD37	CD37	black
ODF3B	ODF3B	black
SPI1	SPI1	black
C21orf62	C21orf62	black
APOC4	APOC4	black
IL18	IL18	black
