nodeName	altName	nodeAttr[nodesPresent, ]
IL1RL1	IL1RL1	blue
SERPINA3	SERPINA3	blue
CSF3	CSF3	blue
STC1	STC1	blue
SOCS3	SOCS3	blue
S100A8	S100A8	blue
GPRC5A	GPRC5A	blue
CD163	CD163	blue
S100A9	S100A9	blue
CHI3L2	CHI3L2	blue
APOL4	APOL4	blue
IL8	IL8	blue
IL6	IL6	blue
SLPI	SLPI	blue
SERPINE1	SERPINE1	blue
COL8A1	COL8A1	blue
CLEC4E	CLEC4E	blue
CXCL1	CXCL1	blue
PCK1	PCK1	blue
SELE	SELE	blue
ADH1B	ADH1B	blue
CD44	CD44	blue
COL1A1	COL1A1	blue
SLC1A7	SLC1A7	blue
C4A	C4A	blue
IL18R1	IL18R1	blue
SERPINA5	SERPINA5	blue
HSPA1A	HSPA1A	blue
CLEC5A	CLEC5A	blue
MPZL2	MPZL2	blue
C7	C7	blue
SLC16A12	SLC16A12	blue
MMRN1	MMRN1	blue
C4B	C4B	blue
CHI3L1	CHI3L1	blue
STEAP4	STEAP4	blue
CD93	CD93	blue
COL6A3	COL6A3	blue
C10orf10	C10orf10	blue
SERPINH1	SERPINH1	blue
GDF15	GDF15	blue
CCL2	CCL2	blue
C1orf87	C1orf87	blue
KCNE4	KCNE4	blue
PLA1A	PLA1A	blue
BCL2A1	BCL2A1	blue
C2CD4B	C2CD4B	blue
TNFRSF10D	TNFRSF10D	blue
GPR4	GPR4	blue
SECTM1	SECTM1	blue
FOSL1	FOSL1	blue
VENTX	VENTX	blue
LRG1	LRG1	blue
HSPB1	HSPB1	blue
FOS	FOS	blue
ZFP36	ZFP36	blue
ANGPTL4	ANGPTL4	blue
SLCO4A1	SLCO4A1	blue
CXCL2	CXCL2	blue
ITGA5	ITGA5	blue
ADM	ADM	blue
ANGPT2	ANGPT2	blue
KRT19	KRT19	blue
PDLIM1	PDLIM1	blue
EGFLAM	EGFLAM	blue
IL4R	IL4R	blue
HBB	HBB	blue
MLPH	MLPH	blue
TGFBI	TGFBI	blue
FPR3	FPR3	blue
ADAMTS9	ADAMTS9	blue
GJA4	GJA4	blue
CDKN1A	CDKN1A	blue
SAMD11	SAMD11	blue
MYO1G	MYO1G	blue
EMP1	EMP1	blue
YBX3	YBX3	blue
IFITM2	IFITM2	blue
IL1R1	IL1R1	blue
S100A4	S100A4	blue
GABRE	GABRE	blue
NUPR1	NUPR1	blue
FAM129A	FAM129A	blue
RNASE3	RNASE3	blue
AEBP1	AEBP1	blue
MSX2	MSX2	blue
THBS1	THBS1	blue
SRPX2	SRPX2	blue
TBX15	TBX15	blue
TGM2	TGM2	blue
TIMP1	TIMP1	blue
LYVE1	LYVE1	blue
C11orf96	C11orf96	blue
ICAM1	ICAM1	blue
SLC52A3	SLC52A3	blue
MAFF	MAFF	blue
FAM167B	FAM167B	blue
MT-ND6	MT-ND6	blue
TNFRSF12A	TNFRSF12A	blue
PLEKHG4B	PLEKHG4B	blue
MLKL	MLKL	blue
PLAC8	PLAC8	blue
GFAP	GFAP	blue
HEYL	HEYL	blue
ADAMTS1	ADAMTS1	blue
ANXA2	ANXA2	blue
CXCL3	CXCL3	blue
CDA	CDA	blue
IFITM3	IFITM3	blue
RUNX3	RUNX3	blue
MMEL1	MMEL1	blue
SLC51B	SLC51B	blue
APOLD1	APOLD1	blue
CFH	CFH	blue
DNAJB1	DNAJB1	blue
BNC2	BNC2	blue
IFITM1	IFITM1	blue
RHOD	RHOD	blue
COL4A1	COL4A1	blue
GBP2	GBP2	blue
THBD	THBD	blue
SIK1	SIK1	blue
