nodeName	altName	nodeAttr[nodesPresent, ]
CBLN4	CBLN4	brown
NXPH2	NXPH2	brown
SLC30A3	SLC30A3	brown
MCHR2	MCHR2	brown
SOWAHB	SOWAHB	brown
CTXN3	CTXN3	brown
TESPA1	TESPA1	brown
PCSK1	PCSK1	brown
NELL1	NELL1	brown
SLC17A7	SLC17A7	brown
SLC17A6	SLC17A6	brown
MEPE	MEPE	brown
VGF	VGF	brown
PENK	PENK	brown
SLC32A1	SLC32A1	brown
CHRM4	CHRM4	brown
KIAA1239	KIAA1239	brown
C11orf87	C11orf87	brown
CNTN5	CNTN5	brown
FBLN7	FBLN7	brown
GAD2	GAD2	brown
PCDH8	PCDH8	brown
IL1RAPL2	IL1RAPL2	brown
OLFM3	OLFM3	brown
RAB27B	RAB27B	brown
RGS4	RGS4	brown
FBXO40	FBXO40	brown
SLC4A10	SLC4A10	brown
KCNV1	KCNV1	brown
MTUS2	MTUS2	brown
PTPN3	PTPN3	brown
GPR26	GPR26	brown
EGR2	EGR2	brown
GABRG2	GABRG2	brown
GABRB2	GABRB2	brown
GABRA1	GABRA1	brown
OR14I1	OR14I1	brown
C3orf80	C3orf80	brown
CPNE4	CPNE4	brown
CREG2	CREG2	brown
RAB3C	RAB3C	brown
SVOP	SVOP	brown
CHGB	CHGB	brown
TBR1	TBR1	brown
PRSS16	PRSS16	brown
ADCYAP1	ADCYAP1	brown
RXFP1	RXFP1	brown
CNTNAP5	CNTNAP5	brown
PARM1	PARM1	brown
PRMT8	PRMT8	brown
C17orf102	C17orf102	brown
C21orf128	C21orf128	brown
PTH2R	PTH2R	brown
GPR22	GPR22	brown
MCHR1	MCHR1	brown
NRG1	NRG1	brown
VSTM2A	VSTM2A	brown
RTP1	RTP1	brown
HECW1	HECW1	brown
ENC1	ENC1	brown
FSTL4	FSTL4	brown
KCNS2	KCNS2	brown
EPHA5	EPHA5	brown
SOSTDC1	SOSTDC1	brown
ADRA1D	ADRA1D	brown
KCNQ5	KCNQ5	brown
FADS6	FADS6	brown
TRHDE	TRHDE	brown
COL19A1	COL19A1	brown
KCNH5	KCNH5	brown
SYT1	SYT1	brown
GREM2	GREM2	brown
GAD1	GAD1	brown
MAP7D2	MAP7D2	brown
SH2D5	SH2D5	brown
CALHM1	CALHM1	brown
GABBR2	GABBR2	brown
NEFM	NEFM	brown
CBLN2	CBLN2	brown
NELL2	NELL2	brown
PCP4L1	PCP4L1	brown
HCN1	HCN1	brown
TYRP1	TYRP1	brown
INA	INA	brown
HTR5A	HTR5A	brown
ANKRD34C	ANKRD34C	brown
RSPO3	RSPO3	brown
RTN4RL1	RTN4RL1	brown
NCALD	NCALD	brown
GABRA6	GABRA6	brown
ELAVL2	ELAVL2	brown
SYT13	SYT13	brown
CHRM3	CHRM3	brown
BDNF	BDNF	brown
SLC7A4	SLC7A4	brown
TRPC5	TRPC5	brown
FAM163A	FAM163A	brown
SH3GL2	SH3GL2	brown
STAT4	STAT4	brown
KCNB2	KCNB2	brown
SEMA3E	SEMA3E	brown
SLC6A17	SLC6A17	brown
