nodeName	altName	nodeAttr[nodesPresent, ]
CCDC144A	CCDC144A	cyan
CDH7	CDH7	cyan
SYT10	SYT10	cyan
GPR52	GPR52	cyan
FGF10	FGF10	cyan
PAK3	PAK3	cyan
KIAA0408	KIAA0408	cyan
DLEU2L	DLEU2L	cyan
KCNA3	KCNA3	cyan
ZBTB41	ZBTB41	cyan
KIAA1524	KIAA1524	cyan
COL25A1	COL25A1	cyan
ALG10B	ALG10B	cyan
FUT9	FUT9	cyan
RPS6KA6	RPS6KA6	cyan
GPRIN3	GPRIN3	cyan
THSD7A	THSD7A	cyan
ACVR1C	ACVR1C	cyan
SLC16A7	SLC16A7	cyan
PCLO	PCLO	cyan
NBEAL1	NBEAL1	cyan
LRRC9	LRRC9	cyan
TTC39B	TTC39B	cyan
SGCZ	SGCZ	cyan
FAM126B	FAM126B	cyan
DGKI	DGKI	cyan
MPP6	MPP6	cyan
KLF8	KLF8	cyan
RALGPS2	RALGPS2	cyan
DCHS2	DCHS2	cyan
PCDHB3	PCDHB3	cyan
STXBP5	STXBP5	cyan
DGKH	DGKH	cyan
PHIP	PHIP	cyan
AP1S3	AP1S3	cyan
ISPD	ISPD	cyan
