nodeName	altName	nodeAttr[nodesPresent, ]
CP	CP	green
TMPRSS3	TMPRSS3	green
FOXJ1	FOXJ1	green
GJB6	GJB6	green
C10orf105	C10orf105	green
MT1A	MT1A	green
BAG3	BAG3	green
TNFRSF11B	TNFRSF11B	green
TPSD1	TPSD1	green
RGR	RGR	green
IGFN1	IGFN1	green
RPE65	RPE65	green
SLC14A1	SLC14A1	green
GJB2	GJB2	green
ITGB4	ITGB4	green
CXorf30	CXorf30	green
CYP4B1	CYP4B1	green
P2RY1	P2RY1	green
HIF3A	HIF3A	green
C6orf223	C6orf223	green
MUC6	MUC6	green
LPAR3	LPAR3	green
SYTL4	SYTL4	green
GLI1	GLI1	green
CTB-50L17.14	CTB-50L17.14	green
GLI2	GLI2	green
HGF	HGF	green
PLIN4	PLIN4	green
MT1X	MT1X	green
OSMR	OSMR	green
TUBA1C	TUBA1C	green
LRRC71	LRRC71	green
P2RY2	P2RY2	green
CYP4F11	CYP4F11	green
MT1G	MT1G	green
RNF43	RNF43	green
MT1F	MT1F	green
CA12	CA12	green
DLEC1	DLEC1	green
SLC7A2	SLC7A2	green
TFCP2L1	TFCP2L1	green
ACBD7	ACBD7	green
MT2A	MT2A	green
C2orf62	C2orf62	green
RELL1	RELL1	green
FAM151A	FAM151A	green
EVC2	EVC2	green
DDIT4L	DDIT4L	green
HPR	HPR	green
TEAD3	TEAD3	green
GEM	GEM	green
F3	F3	green
MTRNR2L9	MTRNR2L9	green
SLC39A12	SLC39A12	green
PRELP	PRELP	green
HMCN2	HMCN2	green
ANGPTL1	ANGPTL1	green
SMTNL1	SMTNL1	green
CABLES1	CABLES1	green
MT1M	MT1M	green
FLJ00418	FLJ00418	green
SLC1A2	SLC1A2	green
SLC13A5	SLC13A5	green
PAPLN	PAPLN	green
LRRC3	LRRC3	green
ENTPD2	ENTPD2	green
AC135048.1	AC135048.1	green
PRODH	PRODH	green
ALDH1L1	ALDH1L1	green
TFAP2C	TFAP2C	green
SDS	SDS	green
NWD1	NWD1	green
FZD2	FZD2	green
PLIN5	PLIN5	green
RAB42	RAB42	green
SIX5	SIX5	green
MRVI1	MRVI1	green
RANBP3L	RANBP3L	green
VIM	VIM	green
EFEMP1	EFEMP1	green
SDR42E2	SDR42E2	green
SLC6A11	SLC6A11	green
FLNA	FLNA	green
SLC7A10	SLC7A10	green
C10orf54	C10orf54	green
PHKG1	PHKG1	green
PRKX	PRKX	green
C1orf110	C1orf110	green
WNT7B	WNT7B	green
SLC2A4	SLC2A4	green
ZNF98	ZNF98	green
OXTR	OXTR	green
BCMO1	BCMO1	green
TNFRSF1A	TNFRSF1A	green
FGFRL1	FGFRL1	green
POU3F4	POU3F4	green
ADORA2B	ADORA2B	green
GRIN2C	GRIN2C	green
PCDHGC3	PCDHGC3	green
MFAP5	MFAP5	green
CASS4	CASS4	green
PRSS35	PRSS35	green
GJA1	GJA1	green
SLC44A3	SLC44A3	green
RGL3	RGL3	green
ACOT6	ACOT6	green
METTL7B	METTL7B	green
PPP1R3G	PPP1R3G	green
C8orf12	C8orf12	green
GADD45G	GADD45G	green
PHYHD1	PHYHD1	green
FAM179A	FAM179A	green
SFTPA2	SFTPA2	green
MGAM	MGAM	green
RFX4	RFX4	green
SMO	SMO	green
MRO	MRO	green
NQO1	NQO1	green
KCNJ16	KCNJ16	green
CXCR7	CXCR7	green
MT1E	MT1E	green
SLC16A9	SLC16A9	green
AHNAK	AHNAK	green
MICB	MICB	green
PCDHGA3	PCDHGA3	green
SDC4	SDC4	green
C11orf70	C11orf70	green
AGBL2	AGBL2	green
GAREML	GAREML	green
VAV3	VAV3	green
LGALS3	LGALS3	green
FAM189A2	FAM189A2	green
CRYBB2	CRYBB2	green
FZD7	FZD7	green
