nodeName	altName	nodeAttr[nodesPresent, ]
HSD11B2	HSD11B2	greenyellow
EPN3	EPN3	greenyellow
CABP1	CABP1	greenyellow
RP11-433C9.2	RP11-433C9.2	greenyellow
SNCB	SNCB	greenyellow
CPLX1	CPLX1	greenyellow
STAC2	STAC2	greenyellow
TNFRSF25	TNFRSF25	greenyellow
FGF17	FGF17	greenyellow
GOLGA7B.1	GOLGA7B.1	greenyellow
SRRM3	SRRM3	greenyellow
SNCG	SNCG	greenyellow
LAMA5	LAMA5	greenyellow
PANX2	PANX2	greenyellow
CAMSAP3	CAMSAP3	greenyellow
PIF1	PIF1	greenyellow
C1orf233	C1orf233	greenyellow
ZGLP1	ZGLP1	greenyellow
STX1B	STX1B	greenyellow
GNB3	GNB3	greenyellow
ZFR2	ZFR2	greenyellow
TOX2	TOX2	greenyellow
PPFIA3	PPFIA3	greenyellow
CORO6	CORO6	greenyellow
MUC12	MUC12	greenyellow
NANOS3	NANOS3	greenyellow
DQX1	DQX1	greenyellow
FXYD7	FXYD7	greenyellow
HDAC10	HDAC10	greenyellow
