nodeName	altName	nodeAttr[nodesPresent, ]
NPAS4	NPAS4	magenta
FREM3	FREM3	magenta
CRH	CRH	magenta
SCARA5	SCARA5	magenta
KLHL14	KLHL14	magenta
KRT5	KRT5	magenta
ABCC12	ABCC12	magenta
PTGER3	PTGER3	magenta
OTOGL	OTOGL	magenta
PNOC	PNOC	magenta
SERTM1	SERTM1	magenta
LINGO2	LINGO2	magenta
NMU	NMU	magenta
SYT4	SYT4	magenta
DRGX	DRGX	magenta
VIP	VIP	magenta
GLRA3	GLRA3	magenta
DUSP4	DUSP4	magenta
PTHLH	PTHLH	magenta
METTL21C	METTL21C	magenta
PPEF1	PPEF1	magenta
FAM19A2	FAM19A2	magenta
SLN	SLN	magenta
GDA	GDA	magenta
UNC5D	UNC5D	magenta
OSTN	OSTN	magenta
EGR1	EGR1	magenta
NPFFR2	NPFFR2	magenta
ADTRP	ADTRP	magenta
ATOH7	ATOH7	magenta
PGM2L1	PGM2L1	magenta
ZNF860	ZNF860	magenta
PTPRR	PTPRR	magenta
FLT3	FLT3	magenta
NR4A3	NR4A3	magenta
EGFL6	EGFL6	magenta
THEMIS	THEMIS	magenta
PDGFD	PDGFD	magenta
WNT16	WNT16	magenta
RHO	RHO	magenta
CHML	CHML	magenta
HAPLN1	HAPLN1	magenta
TAC3	TAC3	magenta
RFX8	RFX8	magenta
PDE6H	PDE6H	magenta
DUSP27	DUSP27	magenta
CAPSL	CAPSL	magenta
PRLR	PRLR	magenta
FFAR4	FFAR4	magenta
NOV	NOV	magenta
CYP26A1	CYP26A1	magenta
RAD51AP2	RAD51AP2	magenta
IQCF3	IQCF3	magenta
ARHGAP28	ARHGAP28	magenta
GGNBP1	GGNBP1	magenta
ABCD2	ABCD2	magenta
PRPH2	PRPH2	magenta
ASB5	ASB5	magenta
SPAG6	SPAG6	magenta
PCDH11Y	PCDH11Y	magenta
HTR1F	HTR1F	magenta
SLC6A5	SLC6A5	magenta
COL12A1	COL12A1	magenta
OPRM1	OPRM1	magenta
KCNT2	KCNT2	magenta
HCRTR2	HCRTR2	magenta
GPR3	GPR3	magenta
LDHAL6A	LDHAL6A	magenta
IL7R	IL7R	magenta
NAP1L5	NAP1L5	magenta
KLB	KLB	magenta
IGF1	IGF1	magenta
TRPA1	TRPA1	magenta
PPP1R14C	PPP1R14C	magenta
EDN3	EDN3	magenta
COL10A1	COL10A1	magenta
GSTT2B	GSTT2B	magenta
SLC44A5	SLC44A5	magenta
GRHL1	GRHL1	magenta
AQP9	AQP9	magenta
DEPDC1	DEPDC1	magenta
SLC10A4	SLC10A4	magenta
GNG2	GNG2	magenta
DNAH5	DNAH5	magenta
GSTT2	GSTT2	magenta
CLDN16	CLDN16	magenta
CTD-2014B16.3	CTD-2014B16.3	magenta
CCDC68	CCDC68	magenta
C5orf47	C5orf47	magenta
OXGR1	OXGR1	magenta
PAK7	PAK7	magenta
AFP	AFP	magenta
SPIN2A	SPIN2A	magenta
GNRHR	GNRHR	magenta
CHSY3	CHSY3	magenta
MAEL	MAEL	magenta
GALNT14	GALNT14	magenta
GRP	GRP	magenta
GRIK2	GRIK2	magenta
BHLHE22	BHLHE22	magenta
HPRT1	HPRT1	magenta
NXPH1	NXPH1	magenta
DUSP6	DUSP6	magenta
GRIA1	GRIA1	magenta
KLF10	KLF10	magenta
SGTB	SGTB	magenta
C1orf146	C1orf146	magenta
DCDC1	DCDC1	magenta
FLRT3	FLRT3	magenta
CELF5	CELF5	magenta
EPHA3	EPHA3	magenta
SAMD3	SAMD3	magenta
GYPE	GYPE	magenta
DPP10	DPP10	magenta
ATP6V1A	ATP6V1A	magenta
GRIK1	GRIK1	magenta
SLC39A10	SLC39A10	magenta
LGI2	LGI2	magenta
B3GALT2	B3GALT2	magenta
NRXN3	NRXN3	magenta
CBLN1	CBLN1	magenta
ELOVL4	ELOVL4	magenta
LYZL4	LYZL4	magenta
WI2-2118C23.1	WI2-2118C23.1	magenta
CD52	CD52	magenta
SLC16A14	SLC16A14	magenta
FBXL2	FBXL2	magenta
NREP	NREP	magenta
SAMD5	SAMD5	magenta
KMO	KMO	magenta
NTN4	NTN4	magenta
CCDC89	CCDC89	magenta
FAM49A	FAM49A	magenta
LRRTM3	LRRTM3	magenta
CCDC158	CCDC158	magenta
ARG1	ARG1	magenta
KIT	KIT	magenta
OXCT1	OXCT1	magenta
ADAMTS5	ADAMTS5	magenta
GPR151	GPR151	magenta
ST6GAL2	ST6GAL2	magenta
CCDC85A	CCDC85A	magenta
TRPC4	TRPC4	magenta
MFSD4	MFSD4	magenta
SERPINI1	SERPINI1	magenta
AC006014.1	AC006014.1	magenta
SUSD5	SUSD5	magenta
ANKRD55	ANKRD55	magenta
GTF2H2	GTF2H2	magenta
ALDH1A2	ALDH1A2	magenta
CSMD1	CSMD1	magenta
TRIP13	TRIP13	magenta
RGPD5	RGPD5	magenta
PPP3CB	PPP3CB	magenta
AC016722.2	AC016722.2	magenta
WNT4	WNT4	magenta
GPCPD1	GPCPD1	magenta
RDH12	RDH12	magenta
ABRACL	ABRACL	magenta
GPM6A	GPM6A	magenta
BCAT1	BCAT1	magenta
PCYOX1L	PCYOX1L	magenta
TPTE2	TPTE2	magenta
DYNLT3	DYNLT3	magenta
CTHRC1	CTHRC1	magenta
DNAH14	DNAH14	magenta
TARBP1	TARBP1	magenta
CLRN3	CLRN3	magenta
FOXP2	FOXP2	magenta
CDKN3	CDKN3	magenta
CPNE8	CPNE8	magenta
THSD7B	THSD7B	magenta
PLCXD3	PLCXD3	magenta
DCAF6	DCAF6	magenta
LYRM9	LYRM9	magenta
MAP3K15	MAP3K15	magenta
DMXL2	DMXL2	magenta
MARK1	MARK1	magenta
SLIT2	SLIT2	magenta
OTUB2	OTUB2	magenta
GRIA3	GRIA3	magenta
MYO1B	MYO1B	magenta
SLC35F1	SLC35F1	magenta
CELF2	CELF2	magenta
NUDT4	NUDT4	magenta
VIT	VIT	magenta
