nodeName	altName	nodeAttr[nodesPresent, ]
NEUROD6	NEUROD6	pink
HTR2C	HTR2C	pink
TAC1	TAC1	pink
KRT222	KRT222	pink
KCNC2	KCNC2	pink
STYK1	STYK1	pink
CALB1	CALB1	pink
ANKRD30B	ANKRD30B	pink
ZBBX	ZBBX	pink
GABRA4	GABRA4	pink
C6orf141	C6orf141	pink
EGR3	EGR3	pink
DCLK3	DCLK3	pink
ANO3	ANO3	pink
MYB	MYB	pink
RP11-766F14.2	RP11-766F14.2	pink
PTER	PTER	pink
ELAVL4	ELAVL4	pink
CDH12	CDH12	pink
COCH	COCH	pink
ANKRD34B	ANKRD34B	pink
EPHX4	EPHX4	pink
GLRA2	GLRA2	pink
NEK2	NEK2	pink
NPY2R	NPY2R	pink
FSTL5	FSTL5	pink
PKP2	PKP2	pink
ELMOD1	ELMOD1	pink
CDH9	CDH9	pink
PTPN20B	PTPN20B	pink
SCN2A	SCN2A	pink
BRDT	BRDT	pink
DACH2	DACH2	pink
NPY5R	NPY5R	pink
MME	MME	pink
AL953854.2	AL953854.2	pink
FRMPD2	FRMPD2	pink
IL13RA2	IL13RA2	pink
AC093726.4	AC093726.4	pink
NDST3	NDST3	pink
CAMK4	CAMK4	pink
CR769776.1	CR769776.1	pink
KCNG3	KCNG3	pink
LPPR4	LPPR4	pink
OCA2	OCA2	pink
ST8SIA2	ST8SIA2	pink
ZCCHC12	ZCCHC12	pink
GPR88	GPR88	pink
PCP4	PCP4	pink
SLC2A13	SLC2A13	pink
ST8SIA3	ST8SIA3	pink
PCDH11X	PCDH11X	pink
SYNPR	SYNPR	pink
GABRA5	GABRA5	pink
DGKB	DGKB	pink
EFCAB1	EFCAB1	pink
ANKRD20A4	ANKRD20A4	pink
TLL1	TLL1	pink
SLC17A8	SLC17A8	pink
HS6ST2	HS6ST2	pink
B4GALT6	B4GALT6	pink
KCNA4	KCNA4	pink
RP11-664D7.4	RP11-664D7.4	pink
SCG2	SCG2	pink
MAP10	MAP10	pink
SYTL5	SYTL5	pink
CD36	CD36	pink
PTGFR	PTGFR	pink
ARPP21	ARPP21	pink
CLGN	CLGN	pink
BMP3	BMP3	pink
HOMER1	HOMER1	pink
CNKSR2	CNKSR2	pink
