nodeName	altName	nodeAttr[nodesPresent, ]
TMEM155	TMEM155	purple
AL450307.1	AL450307.1	purple
POSTN	POSTN	purple
ST6GALNAC5	ST6GALNAC5	purple
TCERG1L	TCERG1L	purple
SLC27A2	SLC27A2	purple
FAM19A1	FAM19A1	purple
ZMAT4	ZMAT4	purple
SNX10	SNX10	purple
SPTSSB	SPTSSB	purple
CRYM	CRYM	purple
GAL	GAL	purple
VSNL1	VSNL1	purple
FGF9	FGF9	purple
NSG1	NSG1	purple
GFRA2	GFRA2	purple
LYPD6B	LYPD6B	purple
HSPB3	HSPB3	purple
CACNG3	CACNG3	purple
SDR16C5	SDR16C5	purple
OR2W3	OR2W3	purple
CYP4X1	CYP4X1	purple
C12orf68	C12orf68	purple
RP11-826N14.2	RP11-826N14.2	purple
ESRP1	ESRP1	purple
CCK	CCK	purple
NRN1	NRN1	purple
CKMT1A	CKMT1A	purple
UBE2QL1	UBE2QL1	purple
WNT10B	WNT10B	purple
CYP4Z1	CYP4Z1	purple
PTPRN	PTPRN	purple
SMPX	SMPX	purple
C2orf80	C2orf80	purple
BCL2L10	BCL2L10	purple
C1orf115	C1orf115	purple
BEX5	BEX5	purple
GAP43	GAP43	purple
BASP1	BASP1	purple
FBXO16	FBXO16	purple
RIT2	RIT2	purple
TSPAN13	TSPAN13	purple
HOPX	HOPX	purple
THY1	THY1	purple
OLFM1	OLFM1	purple
ICA1	ICA1	purple
CHN1	CHN1	purple
CELF4	CELF4	purple
KCNA2	KCNA2	purple
GRM7	GRM7	purple
RP11-553A10.1	RP11-553A10.1	purple
PAH	PAH	purple
SYT12	SYT12	purple
ASAH2B	ASAH2B	purple
CA10	CA10	purple
CTXN2	CTXN2	purple
GNG3	GNG3	purple
MARCH11	MARCH11	purple
SUSD4	SUSD4	purple
AC019171.1	AC019171.1	purple
SMKR1	SMKR1	purple
ULBP2	ULBP2	purple
TAGLN3	TAGLN3	purple
LDB2	LDB2	purple
RNF175	RNF175	purple
DOC2A	DOC2A	purple
DPYS	DPYS	purple
QPCT	QPCT	purple
RND1	RND1	purple
YWHAH	YWHAH	purple
BCL11A	BCL11A	purple
CD163L1	CD163L1	purple
MDH1	MDH1	purple
FAXC	FAXC	purple
GNB5	GNB5	purple
CGREF1	CGREF1	purple
OR2L13	OR2L13	purple
SMYD2	SMYD2	purple
ATP6V1G2	ATP6V1G2	purple
NTNG1	NTNG1	purple
UCHL1	UCHL1	purple
C10orf35	C10orf35	purple
UBE2T	UBE2T	purple
LYSMD2	LYSMD2	purple
JAKMIP1	JAKMIP1	purple
FHL2	FHL2	purple
BEX1	BEX1	purple
DDX25	DDX25	purple
RHEBL1	RHEBL1	purple
BCAS4	BCAS4	purple
