nodeName	altName	nodeAttr[nodesPresent, ]
CNGB1	CNGB1	red
C1QL3	C1QL3	red
HS6ST3	HS6ST3	red
GRM5	GRM5	red
SIRPB1	SIRPB1	red
HTR1A	HTR1A	red
CDKL5	CDKL5	red
SV2C	SV2C	red
ZBED6	ZBED6	red
PPM1E	PPM1E	red
RGS8	RGS8	red
PCDHAC2	PCDHAC2	red
PLCXD2	PLCXD2	red
GCNT4	GCNT4	red
HTR3B	HTR3B	red
RGS7BP	RGS7BP	red
PCDHGC5	PCDHGC5	red
PROKR2	PROKR2	red
WNT1	WNT1	red
KIAA0087	KIAA0087	red
FRRS1L	FRRS1L	red
C4orf50	C4orf50	red
KCNH1	KCNH1	red
CCDC177.1	CCDC177.1	red
CRYBG3.1	CRYBG3.1	red
HTR2A	HTR2A	red
MYLK3	MYLK3	red
SCN8A	SCN8A	red
FLG	FLG	red
TACR1	TACR1	red
NCR3LG1	NCR3LG1	red
PCDHAC1	PCDHAC1	red
NYAP2	NYAP2	red
KLHL34	KLHL34	red
PLEKHM3	PLEKHM3	red
NPBWR2	NPBWR2	red
TNR	TNR	red
PCDHA6	PCDHA6	red
CLVS2	CLVS2	red
ZKSCAN8	ZKSCAN8	red
PCDHA5	PCDHA5	red
RP11-422N16.3	RP11-422N16.3	red
AKAP5	AKAP5	red
PCDHGC4	PCDHGC4	red
ANKRD33B	ANKRD33B	red
CCBE1	CCBE1	red
PCDHA11	PCDHA11	red
HRH2	HRH2	red
TMEM233	TMEM233	red
SLCO4C1	SLCO4C1	red
SHANK1	SHANK1	red
KLHL11	KLHL11	red
DCC	DCC	red
FAM163B	FAM163B	red
SMCR8	SMCR8	red
GDF7	GDF7	red
XKR7	XKR7	red
OPRD1	OPRD1	red
SIAH3	SIAH3	red
PCDHA9	PCDHA9	red
SHISA6	SHISA6	red
SMIM17	SMIM17	red
GRIN2B	GRIN2B	red
SHC3	SHC3	red
ADD2	ADD2	red
CHRNB3	CHRNB3	red
CRYGN	CRYGN	red
TRIM71	TRIM71	red
DCAF12L2	DCAF12L2	red
B3GALT1	B3GALT1	red
PLEKHD1	PLEKHD1	red
ADRA1B	ADRA1B	red
KIAA0754	KIAA0754	red
FAM196B	FAM196B	red
ZDHHC20	ZDHHC20	red
PCDHA12	PCDHA12	red
PCDHA13	PCDHA13	red
MTX3	MTX3	red
PCDHA10	PCDHA10	red
NT5C1A	NT5C1A	red
SLIT1	SLIT1	red
AC021860.1	AC021860.1	red
SOCS7	SOCS7	red
RAB39A	RAB39A	red
ERN1	ERN1	red
HNF4A	HNF4A	red
DOC2B	DOC2B	red
AC026310.1	AC026310.1	red
KCNB1	KCNB1	red
KLHL28	KLHL28	red
C22orf24	C22orf24	red
C1orf111	C1orf111	red
HTR4	HTR4	red
SLC24A2	SLC24A2	red
OR1F1	OR1F1	red
ITGB8	ITGB8	red
LHFPL4	LHFPL4	red
SYN3	SYN3	red
SLC7A14	SLC7A14	red
RAD54L2	RAD54L2	red
ZFP92	ZFP92	red
GPRIN2	GPRIN2	red
IRS4	IRS4	red
ZNF221	ZNF221	red
AC026740.1	AC026740.1	red
MORN3	MORN3	red
MKL2	MKL2	red
ZNF366	ZNF366	red
IGFBPL1	IGFBPL1	red
IGSF9B	IGSF9B	red
TMEFF1	TMEFF1	red
C11orf42	C11orf42	red
PCDHA7	PCDHA7	red
FAM160A1	FAM160A1	red
PNPLA3	PNPLA3	red
SLX4IP	SLX4IP	red
C1orf132	C1orf132	red
SLC9A7	SLC9A7	red
TCHH	TCHH	red
PCDHA3	PCDHA3	red
GPR63	GPR63	red
GLP2R	GLP2R	red
EFR3B	EFR3B	red
GOLGA8R	GOLGA8R	red
MAGEL2	MAGEL2	red
USP37	USP37	red
TUBB3	TUBB3	red
CDYL2	CDYL2	red
EHF	EHF	red
TRIM58	TRIM58	red
AC096677.1	AC096677.1	red
ADCY7	ADCY7	red
RP11-259P6.1	RP11-259P6.1	red
RAP1GAP2	RAP1GAP2	red
PCDHGA6	PCDHGA6	red
FBN2	FBN2	red
NOX5	NOX5	red
AAK1	AAK1	red
RNF150	RNF150	red
RHOF	RHOF	red
CYP7B1	CYP7B1	red
GPR179	GPR179	red
FAM155A	FAM155A	red
KIAA1211	KIAA1211	red
TRIM72	TRIM72	red
AC079210.1	AC079210.1	red
BSN	BSN	red
APOOL	APOOL	red
CACNG5	CACNG5	red
NEU3	NEU3	red
PHACTR1	PHACTR1	red
RTEL1	RTEL1	red
GPLD1	GPLD1	red
