nodeName	altName	nodeAttr[nodesPresent, ]
VWA7	VWA7	salmon
SCRT1	SCRT1	salmon
GRIN1	GRIN1	salmon
AMER3	AMER3	salmon
KCNT1	KCNT1	salmon
DLGAP3	DLGAP3	salmon
ABCG4	ABCG4	salmon
AGAP2	AGAP2	salmon
PITPNM3	PITPNM3	salmon
SYNPO	SYNPO	salmon
PLEKHG5	PLEKHG5	salmon
RIMS4	RIMS4	salmon
FBXO41	FBXO41	salmon
CDHR2	CDHR2	salmon
JPH4	JPH4	salmon
SPTBN2	SPTBN2	salmon
JPH3	JPH3	salmon
NEURL	NEURL	salmon
CASKIN1	CASKIN1	salmon
SNPH	SNPH	salmon
TMEM63C	TMEM63C	salmon
PTK2B	PTK2B	salmon
GRAMD1B	GRAMD1B	salmon
LUZP1	LUZP1	salmon
KCNC3	KCNC3	salmon
PDXP	PDXP	salmon
NCS1	NCS1	salmon
PITPNM1	PITPNM1	salmon
SEMA6B	SEMA6B	salmon
CNTNAP1	CNTNAP1	salmon
NYAP1	NYAP1	salmon
ELFN2	ELFN2	salmon
SPTBN4	SPTBN4	salmon
KNDC1	KNDC1	salmon
RASL10B	RASL10B	salmon
