nodeName	altName	nodeAttr[nodesPresent, ]
ADAMTS18	ADAMTS18	turquoise
GIPR	GIPR	turquoise
HLA-DQA2	HLA-DQA2	turquoise
IP6K3	IP6K3	turquoise
TMEM88B	TMEM88B	turquoise
SLC5A11	SLC5A11	turquoise
NKX6-2	NKX6-2	turquoise
CPA2	CPA2	turquoise
ACY3	ACY3	turquoise
CD22	CD22	turquoise
KLK6	KLK6	turquoise
FXYD4	FXYD4	turquoise
NIPAL4	NIPAL4	turquoise
DMBT1	DMBT1	turquoise
TSPAN8	TSPAN8	turquoise
ADAMTS4	ADAMTS4	turquoise
CARNS1	CARNS1	turquoise
LRP2	LRP2	turquoise
LSMEM2	LSMEM2	turquoise
SH2D1B	SH2D1B	turquoise
ADRA2B	ADRA2B	turquoise
AC008060.7	AC008060.7	turquoise
SLC45A3	SLC45A3	turquoise
HOXD1	HOXD1	turquoise
MAG	MAG	turquoise
S1PR5	S1PR5	turquoise
BTBD16	BTBD16	turquoise
ADAMTS14	ADAMTS14	turquoise
FA2H	FA2H	turquoise
MOBP	MOBP	turquoise
CFTR	CFTR	turquoise
DMRTA2	DMRTA2	turquoise
GPIHBP1	GPIHBP1	turquoise
MBP	MBP	turquoise
SMIM6	SMIM6	turquoise
ZFP57	ZFP57	turquoise
TREH	TREH	turquoise
C18orf56	C18orf56	turquoise
GJB1	GJB1	turquoise
HIST1H4E	HIST1H4E	turquoise
TMEM125	TMEM125	turquoise
FOLH1	FOLH1	turquoise
TF	TF	turquoise
FFAR1	FFAR1	turquoise
TMEM235	TMEM235	turquoise
CR1	CR1	turquoise
PIEZO2	PIEZO2	turquoise
GPR62	GPR62	turquoise
LRRC63	LRRC63	turquoise
GALNT6	GALNT6	turquoise
PPP1R14A	PPP1R14A	turquoise
PPAP2C	PPAP2C	turquoise
NGFR	NGFR	turquoise
PRIMA1	PRIMA1	turquoise
CLCA2	CLCA2	turquoise
MOG	MOG	turquoise
CTNNA3	CTNNA3	turquoise
SPP1	SPP1	turquoise
ST18	ST18	turquoise
ANLN	ANLN	turquoise
MYRF	MYRF	turquoise
HLA-DOB	HLA-DOB	turquoise
RBP7	RBP7	turquoise
ANKRD18A	ANKRD18A	turquoise
SH3TC2	SH3TC2	turquoise
CRYAB	CRYAB	turquoise
C21orf37	C21orf37	turquoise
ICOSLG	ICOSLG	turquoise
KCNH8	KCNH8	turquoise
DUOX2	DUOX2	turquoise
CERCAM	CERCAM	turquoise
TMEM144	TMEM144	turquoise
SMIM5	SMIM5	turquoise
TRPV5	TRPV5	turquoise
HAPLN2	HAPLN2	turquoise
EVI2A	EVI2A	turquoise
CYP4F3	CYP4F3	turquoise
TMEM63A	TMEM63A	turquoise
TRIM59	TRIM59	turquoise
GLDN	GLDN	turquoise
OPALIN	OPALIN	turquoise
CDC42EP1	CDC42EP1	turquoise
BOK	BOK	turquoise
NINJ2	NINJ2	turquoise
ERMN	ERMN	turquoise
THNSL2	THNSL2	turquoise
DMRT2	DMRT2	turquoise
P2RX7	P2RX7	turquoise
UGT8	UGT8	turquoise
MAL	MAL	turquoise
SLC26A9	SLC26A9	turquoise
POU2AF1	POU2AF1	turquoise
ASPA	ASPA	turquoise
PLP1	PLP1	turquoise
CHST6	CHST6	turquoise
PCSK6	PCSK6	turquoise
LPAR1	LPAR1	turquoise
CMTM5	CMTM5	turquoise
HSD17B3	HSD17B3	turquoise
PRR18	PRR18	turquoise
BCAS1	BCAS1	turquoise
GNG8	GNG8	turquoise
ABCA8	ABCA8	turquoise
TMC6	TMC6	turquoise
USH1C	USH1C	turquoise
HSPA2	HSPA2	turquoise
PTPRH	PTPRH	turquoise
SLC26A7	SLC26A7	turquoise
CA14	CA14	turquoise
CCR7	CCR7	turquoise
BIRC5	BIRC5	turquoise
FITM1	FITM1	turquoise
ERBB3	ERBB3	turquoise
TGFB3	TGFB3	turquoise
GREM1	GREM1	turquoise
SGK2	SGK2	turquoise
DOCK5	DOCK5	turquoise
AP001468.1	AP001468.1	turquoise
LGR5	LGR5	turquoise
SOX10	SOX10	turquoise
CXorf28	CXorf28	turquoise
TSPAN15	TSPAN15	turquoise
C10orf90	C10orf90	turquoise
CDH19	CDH19	turquoise
LDB3	LDB3	turquoise
ENPP2	ENPP2	turquoise
CLDN11	CLDN11	turquoise
CXCR4	CXCR4	turquoise
PI16	PI16	turquoise
GJC2	GJC2	turquoise
TMEM139	TMEM139	turquoise
TRH	TRH	turquoise
PLEKHH1	PLEKHH1	turquoise
FAM107B	FAM107B	turquoise
C5orf27	C5orf27	turquoise
CCDC17	CCDC17	turquoise
CAPN3	CAPN3	turquoise
AL078585.1	AL078585.1	turquoise
RTKN	RTKN	turquoise
LDLRAP1	LDLRAP1	turquoise
CAPN13	CAPN13	turquoise
PAIP2B	PAIP2B	turquoise
EN2	EN2	turquoise
NPY	NPY	turquoise
OPRK1	OPRK1	turquoise
GDNF	GDNF	turquoise
EFHD1	EFHD1	turquoise
CLCA4	CLCA4	turquoise
ABCA6	ABCA6	turquoise
CNDP1	CNDP1	turquoise
C10orf128	C10orf128	turquoise
C21orf91	C21orf91	turquoise
DFNB31	DFNB31	turquoise
KIF1C	KIF1C	turquoise
CDKN1C	CDKN1C	turquoise
MGC10955	MGC10955	turquoise
SLC31A2	SLC31A2	turquoise
SLCO1A2	SLCO1A2	turquoise
PAPL	PAPL	turquoise
HHIP	HHIP	turquoise
CNP	CNP	turquoise
DAO	DAO	turquoise
GPR37	GPR37	turquoise
PLLP	PLLP	turquoise
CDK18	CDK18	turquoise
TP53TG5	TP53TG5	turquoise
DUOXA1	DUOXA1	turquoise
DBNDD2	DBNDD2	turquoise
RASGRP3	RASGRP3	turquoise
PLXNB3	PLXNB3	turquoise
FRMD4B	FRMD4B	turquoise
COL4A5	COL4A5	turquoise
NCMAP	NCMAP	turquoise
TP53INP2	TP53INP2	turquoise
CNTN2	CNTN2	turquoise
AC069547.1	AC069547.1	turquoise
RHOG	RHOG	turquoise
TMEM98	TMEM98	turquoise
CYB5R2	CYB5R2	turquoise
CCDC122	CCDC122	turquoise
TRPV1	TRPV1	turquoise
FLNC	FLNC	turquoise
HPN	HPN	turquoise
DNAJC22	DNAJC22	turquoise
TFEB	TFEB	turquoise
LIPE	LIPE	turquoise
SLC4A9	SLC4A9	turquoise
PLEKHG3	PLEKHG3	turquoise
C9orf139	C9orf139	turquoise
TYMS	TYMS	turquoise
TTYH2	TTYH2	turquoise
NDE1	NDE1	turquoise
KEL	KEL	turquoise
DNAH17	DNAH17	turquoise
VWA1	VWA1	turquoise
FAM222A	FAM222A	turquoise
RNASE1	RNASE1	turquoise
RCAN3	RCAN3	turquoise
CDH1	CDH1	turquoise
MID1IP1	MID1IP1	turquoise
GAL3ST1	GAL3ST1	turquoise
HIPK2	HIPK2	turquoise
CLMN	CLMN	turquoise
DAAM2	DAAM2	turquoise
SHISA2	SHISA2	turquoise
FAM178B	FAM178B	turquoise
C9orf173	C9orf173	turquoise
LACC1	LACC1	turquoise
SYNE3	SYNE3	turquoise
PAQR6	PAQR6	turquoise
DYSF	DYSF	turquoise
RP11-12J10.3	RP11-12J10.3	turquoise
SPOCD1	SPOCD1	turquoise
BEST1	BEST1	turquoise
HIST1H2AC	HIST1H2AC	turquoise
CYP27A1	CYP27A1	turquoise
CHADL	CHADL	turquoise
TMEM171	TMEM171	turquoise
KIAA1755	KIAA1755	turquoise
SHROOM4	SHROOM4	turquoise
HMSD	HMSD	turquoise
ADARB2	ADARB2	turquoise
PHLDB1	PHLDB1	turquoise
DEPDC7	DEPDC7	turquoise
ELOVL1	ELOVL1	turquoise
GAS1	GAS1	turquoise
ENOSF1	ENOSF1	turquoise
PRR5L	PRR5L	turquoise
SEPP1	SEPP1	turquoise
ABCA2	ABCA2	turquoise
ATP10B	ATP10B	turquoise
LGALS4	LGALS4	turquoise
MYOT	MYOT	turquoise
TMEM37	TMEM37	turquoise
TACR3	TACR3	turquoise
TBX19	TBX19	turquoise
C5orf64	C5orf64	turquoise
MAP4K4	MAP4K4	turquoise
ENPP6	ENPP6	turquoise
TRPM6	TRPM6	turquoise
ZDHHC11	ZDHHC11	turquoise
CPM	CPM	turquoise
COL9A2	COL9A2	turquoise
CHST9	CHST9	turquoise
NHLH2	NHLH2	turquoise
ADA	ADA	turquoise
CRB2	CRB2	turquoise
MBOAT1	MBOAT1	turquoise
KIF6	KIF6	turquoise
TJAP1	TJAP1	turquoise
CTSL2	CTSL2	turquoise
EVI2B	EVI2B	turquoise
HIST1H2BC	HIST1H2BC	turquoise
CCNB3	CCNB3	turquoise
SFRP1	SFRP1	turquoise
CAPN9	CAPN9	turquoise
ITGA2	ITGA2	turquoise
EFNA1	EFNA1	turquoise
MCOLN2	MCOLN2	turquoise
SLC6A9	SLC6A9	turquoise
RP11-41O4.1	RP11-41O4.1	turquoise
PIP4K2A	PIP4K2A	turquoise
GLTP	GLTP	turquoise
SHC4	SHC4	turquoise
CREB5	CREB5	turquoise
AGMO	AGMO	turquoise
ALB	ALB	turquoise
LHPP	LHPP	turquoise
VRK2	VRK2	turquoise
SOX8	SOX8	turquoise
PLD1	PLD1	turquoise
SEPT4	SEPT4	turquoise
