nodeName	altName	nodeAttr[nodesPresent, ]
NPC1L1	NPC1L1	yellow
AQP1	AQP1	yellow
KIF19	KIF19	yellow
CYP4F12	CYP4F12	yellow
C7orf61	C7orf61	yellow
AZGP1	AZGP1	yellow
MTRNR2L2	MTRNR2L2	yellow
TNC	TNC	yellow
SEPT12	SEPT12	yellow
CYP21A2	CYP21A2	yellow
ELF4	ELF4	yellow
CLDN9	CLDN9	yellow
SELL	SELL	yellow
MAGEC3	MAGEC3	yellow
AL031663.2	AL031663.2	yellow
MEF2B	MEF2B	yellow
NME8	NME8	yellow
EMR2	EMR2	yellow
LMOD1	LMOD1	yellow
TBX6	TBX6	yellow
LTA	LTA	yellow
OTOS	OTOS	yellow
CDR1	CDR1	yellow
WISP2	WISP2	yellow
HSPG2	HSPG2	yellow
RP11-419C5.2	RP11-419C5.2	yellow
SMTN	SMTN	yellow
WFIKKN2	WFIKKN2	yellow
SOD3	SOD3	yellow
SLC7A9	SLC7A9	yellow
DDIT4	DDIT4	yellow
CSF1	CSF1	yellow
TMPRSS6	TMPRSS6	yellow
A-575C2.4.1	A-575C2.4.1	yellow
ATOH8	ATOH8	yellow
AC020907.1	AC020907.1	yellow
CEL	CEL	yellow
DNAAF3	DNAAF3	yellow
SERPINF2	SERPINF2	yellow
PRAM1	PRAM1	yellow
C10orf85	C10orf85	yellow
ACP5	ACP5	yellow
P2RX1	P2RX1	yellow
KLK14	KLK14	yellow
C4orf48	C4orf48	yellow
COL4A6	COL4A6	yellow
RARRES3	RARRES3	yellow
TMPRSS5	TMPRSS5	yellow
NPIPL1	NPIPL1	yellow
FXYD3	FXYD3	yellow
PDK4	PDK4	yellow
CHST3	CHST3	yellow
SRMS	SRMS	yellow
ITPKB	ITPKB	yellow
RP11-59H1.3	RP11-59H1.3	yellow
ACSM1	ACSM1	yellow
HIST1H1C	HIST1H1C	yellow
ERAP2	ERAP2	yellow
IGSF9	IGSF9	yellow
ATAD3C	ATAD3C	yellow
MMP23B	MMP23B	yellow
MEF2BNB-MEF2B	MEF2BNB-MEF2B	yellow
DDX11	DDX11	yellow
TCAP	TCAP	yellow
PLOD3	PLOD3	yellow
LPIN3	LPIN3	yellow
