fromNode	toNode	weight	direction	fromAltName	toAltName
IL1RL1	ACTG2	0.125577833687424	undirected	IL1RL1	ACTG2
IL1RL1	HSPA6	0.191612343878083	undirected	IL1RL1	HSPA6
IL1RL1	DES	0.123055053092946	undirected	IL1RL1	DES
IL1RL1	CSF3	0.184779329328333	undirected	IL1RL1	CSF3
IL1RL1	PLN	0.107745880730812	undirected	IL1RL1	PLN
IL1RL1	STC1	0.244098458129914	undirected	IL1RL1	STC1
IL1RL1	SOCS3	0.274775663961208	undirected	IL1RL1	SOCS3
IL1RL1	S100A8	0.231223627381421	undirected	IL1RL1	S100A8
IL1RL1	GPRC5A	0.212785606554449	undirected	IL1RL1	GPRC5A
IL1RL1	CD163	0.21981514453992	undirected	IL1RL1	CD163
IL1RL1	MYH11	0.118445456140833	undirected	IL1RL1	MYH11
IL1RL1	S100A9	0.223660715044042	undirected	IL1RL1	S100A9
IL1RL1	APOL4	0.179018155003104	undirected	IL1RL1	APOL4
IL1RL1	MARCO	0.122290148539456	undirected	IL1RL1	MARCO
IL1RL1	CP	0.254964977974023	undirected	IL1RL1	CP
IL1RL1	COL3A1	0.112287179586271	undirected	IL1RL1	COL3A1
IL1RL1	IL8	0.157737903543426	undirected	IL1RL1	IL8
IL1RL1	IL6	0.194739444325178	undirected	IL1RL1	IL6
IL1RL1	LTF	0.120826547657475	undirected	IL1RL1	LTF
IL1RL1	SLPI	0.156716420186432	undirected	IL1RL1	SLPI
IL1RL1	SERPINE1	0.171377278884354	undirected	IL1RL1	SERPINE1
IL1RL1	HLA-DQB1	0.140520130994061	undirected	IL1RL1	HLA-DQB1
IL1RL1	COL8A1	0.139864799464935	undirected	IL1RL1	COL8A1
IL1RL1	CLEC4E	0.191331965259374	undirected	IL1RL1	CLEC4E
IL1RL1	CES1	0.138975614325301	undirected	IL1RL1	CES1
IL1RL1	CXCL1	0.192975637661105	undirected	IL1RL1	CXCL1
IL1RL1	MGP	0.128733855105499	undirected	IL1RL1	MGP
IL1RL1	PCK1	0.162837261975313	undirected	IL1RL1	PCK1
IL1RL1	SELE	0.147648021465478	undirected	IL1RL1	SELE
IL1RL1	ADH1B	0.216906528104902	undirected	IL1RL1	ADH1B
IL1RL1	COL1A1	0.167119589694827	undirected	IL1RL1	COL1A1
IL1RL1	SLC1A7	0.156686134916288	undirected	IL1RL1	SLC1A7
IL1RL1	IL18R1	0.174647308570985	undirected	IL1RL1	IL18R1
IL1RL1	TMPRSS3	0.187815420307048	undirected	IL1RL1	TMPRSS3
IL1RL1	ACTA2	0.102707572436926	undirected	IL1RL1	ACTA2
IL1RL1	MPZL2	0.249246226441821	undirected	IL1RL1	MPZL2
IL1RL1	C7	0.184705234336729	undirected	IL1RL1	C7
IL1RL1	KRT18	0.161539688276305	undirected	IL1RL1	KRT18
IL1RL1	SLC16A12	0.156049305068611	undirected	IL1RL1	SLC16A12
IL1RL1	MMRN1	0.163218119623771	undirected	IL1RL1	MMRN1
IL1RL1	CHI3L1	0.208681520334259	undirected	IL1RL1	CHI3L1
IL1RL1	STEAP4	0.195180858729625	undirected	IL1RL1	STEAP4
IL1RL1	MYOCD	0.140693003549517	undirected	IL1RL1	MYOCD
IL1RL1	CD93	0.250139380039729	undirected	IL1RL1	CD93
IL1RL1	GJB6	0.151929778900654	undirected	IL1RL1	GJB6
IL1RL1	C10orf10	0.267444620433333	undirected	IL1RL1	C10orf10
IL1RL1	SERPINH1	0.262293642033953	undirected	IL1RL1	SERPINH1
IL1RL1	GDF15	0.165557710292135	undirected	IL1RL1	GDF15
IL1RL1	CCL2	0.165087058138893	undirected	IL1RL1	CCL2
IL1RL1	C1orf87	0.181705851927521	undirected	IL1RL1	C1orf87
IL1RL1	KCNE4	0.254954435643536	undirected	IL1RL1	KCNE4
IL1RL1	PLA1A	0.239353001997762	undirected	IL1RL1	PLA1A
IL1RL1	BCL2A1	0.223335665278616	undirected	IL1RL1	BCL2A1
IL1RL1	CASQ2	0.100093207783899	undirected	IL1RL1	CASQ2
IL1RL1	MYL9	0.14155808177651	undirected	IL1RL1	MYL9
IL1RL1	C2CD4B	0.149806238867275	undirected	IL1RL1	C2CD4B
IL1RL1	FOXC2	0.144582058003363	undirected	IL1RL1	FOXC2
IL1RL1	TNFRSF10D	0.283464541467809	undirected	IL1RL1	TNFRSF10D
IL1RL1	GPR4	0.31302446542526	undirected	IL1RL1	GPR4
IL1RL1	SIX1	0.143878531167677	undirected	IL1RL1	SIX1
IL1RL1	SECTM1	0.227995447031808	undirected	IL1RL1	SECTM1
IL1RL1	FOSL1	0.202917962225062	undirected	IL1RL1	FOSL1
IL1RL1	MT1A	0.262488055256895	undirected	IL1RL1	MT1A
IL1RL1	LRG1	0.227480782501275	undirected	IL1RL1	LRG1
IL1RL1	TBX18	0.123898342276174	undirected	IL1RL1	TBX18
IL1RL1	CXCL10	0.120386860361733	undirected	IL1RL1	CXCL10
IL1RL1	COL14A1	0.112809503881868	undirected	IL1RL1	COL14A1
IL1RL1	BAG3	0.276614888150352	undirected	IL1RL1	BAG3
IL1RL1	FOS	0.156349054136549	undirected	IL1RL1	FOS
IL1RL1	ZFP36	0.237126087580093	undirected	IL1RL1	ZFP36
IL1RL1	FHL5	0.136112965925852	undirected	IL1RL1	FHL5
IL1RL1	ANGPTL4	0.242156613313111	undirected	IL1RL1	ANGPTL4
IL1RL1	SIX3	0.137925183230741	undirected	IL1RL1	SIX3
IL1RL1	JPH2	0.154629938122909	undirected	IL1RL1	JPH2
IL1RL1	TNFRSF11B	0.247917605463598	undirected	IL1RL1	TNFRSF11B
IL1RL1	SLCO4A1	0.266394288821967	undirected	IL1RL1	SLCO4A1
IL1RL1	CXCL2	0.160495884316629	undirected	IL1RL1	CXCL2
