fromNode	toNode	weight	direction	fromAltName	toAltName
MTRNR2L12	SFN	0.120696588205201	undirected	MTRNR2L12	SFN
MTRNR2L12	HP	0.104513253376299	undirected	MTRNR2L12	HP
MTRNR2L12	NPC1L1	0.176515995987164	undirected	MTRNR2L12	NPC1L1
MTRNR2L12	OR7A5	0.115695975614218	undirected	MTRNR2L12	OR7A5
MTRNR2L12	SERPINA5	0.123255548567657	undirected	MTRNR2L12	SERPINA5
MTRNR2L12	HSPA1A	0.133821131264059	undirected	MTRNR2L12	HSPA1A
MTRNR2L12	FOXJ1	0.161802945032122	undirected	MTRNR2L12	FOXJ1
MTRNR2L12	C10orf105	0.140656109544714	undirected	MTRNR2L12	C10orf105
MTRNR2L12	C7orf61	0.19341755120127	undirected	MTRNR2L12	C7orf61
MTRNR2L12	HSPB1	0.199181951621013	undirected	MTRNR2L12	HSPB1
MTRNR2L12	LILRA4	0.107428122605882	undirected	MTRNR2L12	LILRA4
MTRNR2L12	TPSD1	0.116870217837125	undirected	MTRNR2L12	TPSD1
MTRNR2L12	TUSC5	0.103165580842613	undirected	MTRNR2L12	TUSC5
MTRNR2L12	AZGP1	0.150050911781465	undirected	MTRNR2L12	AZGP1
MTRNR2L12	MTRNR2L2	0.162266578011419	undirected	MTRNR2L12	MTRNR2L2
MTRNR2L12	HSD11B2	0.120847656367368	undirected	MTRNR2L12	HSD11B2
MTRNR2L12	HSPA1B	0.101255375109866	undirected	MTRNR2L12	HSPA1B
MTRNR2L12	SAMD11	0.181152024749498	undirected	MTRNR2L12	SAMD11
MTRNR2L12	ADRA2B	0.141980120263985	undirected	MTRNR2L12	ADRA2B
MTRNR2L12	HIF3A	0.172937344971682	undirected	MTRNR2L12	HIF3A
MTRNR2L12	NUPR1	0.216836098037998	undirected	MTRNR2L12	NUPR1
MTRNR2L12	MUC6	0.126944777555655	undirected	MTRNR2L12	MUC6
MTRNR2L12	HIST1H4E	0.168058446936123	undirected	MTRNR2L12	HIST1H4E
MTRNR2L12	TMEM150B	0.174505737366441	undirected	MTRNR2L12	TMEM150B
MTRNR2L12	CYP21A2	0.161432949471326	undirected	MTRNR2L12	CYP21A2
MTRNR2L12	MYBPH	0.127404323256283	undirected	MTRNR2L12	MYBPH
MTRNR2L12	CLDN9	0.208192809499289	undirected	MTRNR2L12	CLDN9
MTRNR2L12	NGFR	0.142933765441279	undirected	MTRNR2L12	NGFR
MTRNR2L12	GLI1	0.113961522325847	undirected	MTRNR2L12	GLI1
MTRNR2L12	FAM167B	0.203920420396345	undirected	MTRNR2L12	FAM167B
MTRNR2L12	MT-ND6	0.106004957437881	undirected	MTRNR2L12	MT-ND6
MTRNR2L12	CTB-50L17.14	0.11551351130692	undirected	MTRNR2L12	CTB-50L17.14
MTRNR2L12	PLEKHG4B	0.102530113244374	undirected	MTRNR2L12	PLEKHG4B
MTRNR2L12	C1orf172	0.10082487706294	undirected	MTRNR2L12	C1orf172
MTRNR2L12	SPP1	0.148027344844415	undirected	MTRNR2L12	SPP1
MTRNR2L12	AL355312.1	0.117844366485792	undirected	MTRNR2L12	AL355312.1
MTRNR2L12	AL031663.2	0.19369818402948	undirected	MTRNR2L12	AL031663.2
MTRNR2L12	MEF2B	0.189634021359725	undirected	MTRNR2L12	MEF2B
MTRNR2L12	PLIN4	0.207981946440327	undirected	MTRNR2L12	PLIN4
MTRNR2L12	RCVRN	0.115401475013322	undirected	MTRNR2L12	RCVRN
MTRNR2L12	AL117190.3	0.125302274704778	undirected	MTRNR2L12	AL117190.3
MTRNR2L12	MT1X	0.181749944502839	undirected	MTRNR2L12	MT1X
MTRNR2L12	DUOX2	0.144491054109662	undirected	MTRNR2L12	DUOX2
MTRNR2L12	TBX6	0.200680720554	undirected	MTRNR2L12	TBX6
MTRNR2L12	LTA	0.161089751541921	undirected	MTRNR2L12	LTA
MTRNR2L12	OTOS	0.177590472058424	undirected	MTRNR2L12	OTOS
MTRNR2L12	DNAJB1	0.103695020555335	undirected	MTRNR2L12	DNAJB1
MTRNR2L12	CDR1	0.147080726528042	undirected	MTRNR2L12	CDR1
MTRNR2L12	TUBA1C	0.102341261929888	undirected	MTRNR2L12	TUBA1C
MTRNR2L12	LRRC71	0.130543126386036	undirected	MTRNR2L12	LRRC71
MTRNR2L12	RP11-419C5.2	0.108307556273805	undirected	MTRNR2L12	RP11-419C5.2
MTRNR2L12	P2RX7	0.16403476294242	undirected	MTRNR2L12	P2RX7
MTRNR2L12	SMTN	0.218334971696916	undirected	MTRNR2L12	SMTN
MTRNR2L12	MT1G	0.106298842967805	undirected	MTRNR2L12	MT1G
MTRNR2L12	MS4A14	0.182033661307071	undirected	MTRNR2L12	MS4A14
MTRNR2L12	SBSN	0.127999642756283	undirected	MTRNR2L12	SBSN
MTRNR2L12	SLC7A9	0.146146417571558	undirected	MTRNR2L12	SLC7A9
MTRNR2L12	FITM1	0.148250748071638	undirected	MTRNR2L12	FITM1
MTRNR2L12	DDIT4	0.198412129986535	undirected	MTRNR2L12	DDIT4
MTRNR2L12	MT1F	0.125404078888285	undirected	MTRNR2L12	MT1F
MTRNR2L12	CSF1	0.250154428512769	undirected	MTRNR2L12	CSF1
MTRNR2L12	TMPRSS6	0.128486933116194	undirected	MTRNR2L12	TMPRSS6
MTRNR2L12	A-575C2.4.1	0.160313102076044	undirected	MTRNR2L12	A-575C2.4.1
MTRNR2L12	HES7	0.106895994297114	undirected	MTRNR2L12	HES7
MTRNR2L12	ATOH8	0.246284337980719	undirected	MTRNR2L12	ATOH8
MTRNR2L12	NPW	0.112990589539556	undirected	MTRNR2L12	NPW
MTRNR2L12	AC020907.1	0.1839891257437	undirected	MTRNR2L12	AC020907.1
MTRNR2L12	ZC3H12A	0.167188033778479	undirected	MTRNR2L12	ZC3H12A
MTRNR2L12	CCDC17	0.168531388759225	undirected	MTRNR2L12	CCDC17
MTRNR2L12	CEL	0.182961006509399	undirected	MTRNR2L12	CEL
MTRNR2L12	SERPINF2	0.217037440997813	undirected	MTRNR2L12	SERPINF2
MTRNR2L12	SEC14L4	0.118937162964579	undirected	MTRNR2L12	SEC14L4
MTRNR2L12	TFCP2L1	0.115938406948637	undirected	MTRNR2L12	TFCP2L1
MTRNR2L12	PRAM1	0.230177304183533	undirected	MTRNR2L12	PRAM1
MTRNR2L12	RP11-433C9.2	0.102364604898084	undirected	MTRNR2L12	RP11-433C9.2
MTRNR2L12	MT2A	0.20987214507155	undirected	MTRNR2L12	MT2A
MTRNR2L12	C10orf85	0.162290819929987	undirected	MTRNR2L12	C10orf85
MTRNR2L12	HBA1	0.10382163086667	undirected	MTRNR2L12	HBA1
MTRNR2L12	ITGAX	0.150862859972988	undirected	MTRNR2L12	ITGAX
MTRNR2L12	TRIP10	0.220856297391446	undirected	MTRNR2L12	TRIP10
MTRNR2L12	CTC-203F4.1	0.129407334445284	undirected	MTRNR2L12	CTC-203F4.1
MTRNR2L12	APOBR	0.201803229833874	undirected	MTRNR2L12	APOBR
MTRNR2L12	TEKT4	0.108510321139298	undirected	MTRNR2L12	TEKT4
MTRNR2L12	ACP5	0.151743223171664	undirected	MTRNR2L12	ACP5
MTRNR2L12	FKBP5	0.175175982496661	undirected	MTRNR2L12	FKBP5
MTRNR2L12	KLK14	0.202868806135317	undirected	MTRNR2L12	KLK14
MTRNR2L12	C4orf48	0.163238197715466	undirected	MTRNR2L12	C4orf48
MTRNR2L12	TMPRSS5	0.170591731126211	undirected	MTRNR2L12	TMPRSS5
MTRNR2L12	NPIPL1	0.127724459995478	undirected	MTRNR2L12	NPIPL1
MTRNR2L12	FAM151A	0.166709119478993	undirected	MTRNR2L12	FAM151A
MTRNR2L12	FXYD3	0.177356795221562	undirected	MTRNR2L12	FXYD3
MTRNR2L12	PDK4	0.142279428594374	undirected	MTRNR2L12	PDK4
MTRNR2L12	ESRP2	0.144267349671555	undirected	MTRNR2L12	ESRP2
MTRNR2L12	CHST3	0.227438365428856	undirected	MTRNR2L12	CHST3
MTRNR2L12	DDIT4L	0.12343510896455	undirected	MTRNR2L12	DDIT4L
MTRNR2L12	LRRC3DN	0.215046579104016	undirected	MTRNR2L12	LRRC3DN
MTRNR2L12	ITPKB	0.23744218782858	undirected	MTRNR2L12	ITPKB
MTRNR2L12	RP11-59H1.3	0.11106574641757	undirected	MTRNR2L12	RP11-59H1.3
MTRNR2L12	ESPN	0.110141750431074	undirected	MTRNR2L12	ESPN
MTRNR2L12	ACSM1	0.117580003881508	undirected	MTRNR2L12	ACSM1
MTRNR2L12	AL138781.1	0.154182164116785	undirected	MTRNR2L12	AL138781.1
MTRNR2L12	HIST1H1C	0.200886337064466	undirected	MTRNR2L12	HIST1H1C
MTRNR2L12	SLC23A3	0.168834330506897	undirected	MTRNR2L12	SLC23A3
MTRNR2L12	MTRNR2L9	0.147661669885578	undirected	MTRNR2L12	MTRNR2L9
MTRNR2L12	ATAD3C	0.142622961767877	undirected	MTRNR2L12	ATAD3C
MTRNR2L12	AZU1	0.110005783179893	undirected	MTRNR2L12	AZU1
MTRNR2L12	CABLES1	0.104407266140866	undirected	MTRNR2L12	CABLES1
MTRNR2L12	MT1M	0.151482938640967	undirected	MTRNR2L12	MT1M
MTRNR2L12	MMP23B	0.144175457114069	undirected	MTRNR2L12	MMP23B
MTRNR2L12	CPAMD8	0.122970025814333	undirected	MTRNR2L12	CPAMD8
MTRNR2L12	FLJ00418	0.153628319499799	undirected	MTRNR2L12	FLJ00418
MTRNR2L12	ATHL1	0.214625726526476	undirected	MTRNR2L12	ATHL1
MTRNR2L12	SLC47A2	0.10761588350744	undirected	MTRNR2L12	SLC47A2
MTRNR2L12	SPATC1	0.140648439384218	undirected	MTRNR2L12	SPATC1
MTRNR2L12	SLC13A5	0.102743359217583	undirected	MTRNR2L12	SLC13A5
MTRNR2L12	MEF2BNB-MEF2B	0.169060158680347	undirected	MTRNR2L12	MEF2BNB-MEF2B
MTRNR2L12	SCXA	0.105735936034665	undirected	MTRNR2L12	SCXA
MTRNR2L12	INSL3	0.102286863469141	undirected	MTRNR2L12	INSL3
MTRNR2L12	GNRH2	0.105536801725937	undirected	MTRNR2L12	GNRH2
MTRNR2L12	DDX11	0.107148303211017	undirected	MTRNR2L12	DDX11
MTRNR2L12	TNFRSF25	0.118688548388107	undirected	MTRNR2L12	TNFRSF25
MTRNR2L12	AC135048.1	0.130031202628084	undirected	MTRNR2L12	AC135048.1
MTRNR2L12	TCAP	0.202823125006962	undirected	MTRNR2L12	TCAP
MTRNR2L12	PRODH	0.110274838861262	undirected	MTRNR2L12	PRODH
MTRNR2L12	TFAP2C	0.110626316831974	undirected	MTRNR2L12	TFAP2C
MTRNR2L12	PLOD3	0.205255381202914	undirected	MTRNR2L12	PLOD3
MTRNR2L12	LPIN3	0.179281731926847	undirected	MTRNR2L12	LPIN3
MTRNR2L12	NWD1	0.115761633027614	undirected	MTRNR2L12	NWD1
MTRNR2L12	CLDN15	0.201953325730399	undirected	MTRNR2L12	CLDN15
MTRNR2L12	PLIN5	0.123666386677953	undirected	MTRNR2L12	PLIN5
MTRNR2L12	CRYAA	0.157596368519076	undirected	MTRNR2L12	CRYAA
MTRNR2L12	C11orf35	0.177286878430068	undirected	MTRNR2L12	C11orf35
MTRNR2L12	STXBP2	0.25182871122172	undirected	MTRNR2L12	STXBP2
MTRNR2L12	SLFNL1	0.149256501829074	undirected	MTRNR2L12	SLFNL1
MTRNR2L12	AC096677.1	0.109450766786137	undirected	MTRNR2L12	AC096677.1
MTRNR2L12	LAT	0.167778634011399	undirected	MTRNR2L12	LAT
MTRNR2L12	KLF15	0.229462905694911	undirected	MTRNR2L12	KLF15
MTRNR2L12	RAB25	0.106877380166614	undirected	MTRNR2L12	RAB25
MTRNR2L12	RP11-166B2.1	0.11980572051285	undirected	MTRNR2L12	RP11-166B2.1
MTRNR2L12	ADAM33	0.121693770460317	undirected	MTRNR2L12	ADAM33
MTRNR2L12	AP000350.4	0.121920472807573	undirected	MTRNR2L12	AP000350.4
MTRNR2L12	NUAK2	0.206766630942723	undirected	MTRNR2L12	NUAK2
MTRNR2L12	TCF15	0.148572212709842	undirected	MTRNR2L12	TCF15
MTRNR2L12	MROH6	0.186620898332429	undirected	MTRNR2L12	MROH6
MTRNR2L12	HIST1H2AC	0.137377724043675	undirected	MTRNR2L12	HIST1H2AC
MTRNR2L12	FAM166B	0.10141770413721	undirected	MTRNR2L12	FAM166B
MTRNR2L12	SDR42E2	0.120935567617261	undirected	MTRNR2L12	SDR42E2
MTRNR2L12	SLC6A11	0.111188711929606	undirected	MTRNR2L12	SLC6A11
MTRNR2L12	C19orf35	0.166110530338784	undirected	MTRNR2L12	C19orf35
MTRNR2L12	SLC7A10	0.109561760740757	undirected	MTRNR2L12	SLC7A10
MTRNR2L12	FGF17	0.123088315753713	undirected	MTRNR2L12	FGF17
MTRNR2L12	MUC4	0.119181825560319	undirected	MTRNR2L12	MUC4
MTRNR2L12	OSGIN1	0.153681650912568	undirected	MTRNR2L12	OSGIN1
MTRNR2L12	SH2D7	0.11740159477491	undirected	MTRNR2L12	SH2D7
MTRNR2L12	NUTMG	0.119337980502046	undirected	MTRNR2L12	NUTMG
MTRNR2L12	TNNT1	0.102759767860222	undirected	MTRNR2L12	TNNT1
MTRNR2L12	TJP3	0.168511147897161	undirected	MTRNR2L12	TJP3
MTRNR2L12	SH2D6	0.14718824175862	undirected	MTRNR2L12	SH2D6
MTRNR2L12	WFIKKN1	0.158539778160929	undirected	MTRNR2L12	WFIKKN1
MTRNR2L12	PRKX	0.210880763369075	undirected	MTRNR2L12	PRKX
MTRNR2L12	PPP1R13L	0.245257109774286	undirected	MTRNR2L12	PPP1R13L
MTRNR2L12	GZMM	0.12911235030362	undirected	MTRNR2L12	GZMM
MTRNR2L12	LGALS4	0.150665565591377	undirected	MTRNR2L12	LGALS4
MTRNR2L12	AL137145.1	0.128786748538383	undirected	MTRNR2L12	AL137145.1
MTRNR2L12	MT-ND5	0.12760711968495	undirected	MTRNR2L12	MT-ND5
MTRNR2L12	NTN3	0.123666112501514	undirected	MTRNR2L12	NTN3
MTRNR2L12	GOLGA7B.1	0.100282412101276	undirected	MTRNR2L12	GOLGA7B.1
MTRNR2L12	MT-ND4L	0.150915676585173	undirected	MTRNR2L12	MT-ND4L
MTRNR2L12	TBX19	0.15137504713744	undirected	MTRNR2L12	TBX19
MTRNR2L12	CLEC18A	0.11254394071531	undirected	MTRNR2L12	CLEC18A
MTRNR2L12	BGLAP	0.163197366538069	undirected	MTRNR2L12	BGLAP
MTRNR2L12	RNF122	0.18292859632664	undirected	MTRNR2L12	RNF122
