fromNode	toNode	weight	direction	fromAltName	toAltName
SERPINA3	HLA-DRB5	0.211437841834449	undirected	SERPINA3	HLA-DRB5
SERPINA3	CHI3L2	0.276926970839434	undirected	SERPINA3	CHI3L2
SERPINA3	RGS1	0.257378237586553	undirected	SERPINA3	RGS1
SERPINA3	VSIG4	0.295616083735946	undirected	SERPINA3	VSIG4
SERPINA3	FCGBP	0.302154173300089	undirected	SERPINA3	FCGBP
SERPINA3	HAMP	0.298003755875052	undirected	SERPINA3	HAMP
SERPINA3	RNASE2	0.30092953934986	undirected	SERPINA3	RNASE2
SERPINA3	SCIN	0.300618626180266	undirected	SERPINA3	SCIN
SERPINA3	CD44	0.277478015788017	undirected	SERPINA3	CD44
SERPINA3	C4A	0.28990964923825	undirected	SERPINA3	C4A
SERPINA3	C1QC	0.293935487649017	undirected	SERPINA3	C1QC
SERPINA3	FPR1	0.301780178351098	undirected	SERPINA3	FPR1
SERPINA3	SULT1C2	0.167021418330085	undirected	SERPINA3	SULT1C2
SERPINA3	SLC11A1	0.31390484632524	undirected	SERPINA3	SLC11A1
SERPINA3	SERPINA1	0.311150740761014	undirected	SERPINA3	SERPINA1
SERPINA3	CLEC5A	0.271426826786575	undirected	SERPINA3	CLEC5A
SERPINA3	C1QB	0.297921456532048	undirected	SERPINA3	C1QB
SERPINA3	FCGR2B	0.218740378041961	undirected	SERPINA3	FCGR2B
SERPINA3	C4B	0.310398679196179	undirected	SERPINA3	C4B
SERPINA3	MS4A6A	0.301176694441288	undirected	SERPINA3	MS4A6A
SERPINA3	SIGLEC9	0.298779925409624	undirected	SERPINA3	SIGLEC9
SERPINA3	HLA-DQA1	0.277693449213409	undirected	SERPINA3	HLA-DQA1
SERPINA3	C1QA	0.296729360925939	undirected	SERPINA3	C1QA
SERPINA3	SIGLEC14	0.268716640189834	undirected	SERPINA3	SIGLEC14
SERPINA3	TYMP	0.305932446662667	undirected	SERPINA3	TYMP
SERPINA3	FCGR3A	0.302064408583126	undirected	SERPINA3	FCGR3A
SERPINA3	PTPN7	0.276994607137631	undirected	SERPINA3	PTPN7
SERPINA3	VENTX	0.284353310356006	undirected	SERPINA3	VENTX
SERPINA3	SNX20	0.29935747778175	undirected	SERPINA3	SNX20
SERPINA3	APLNR	0.270019808039814	undirected	SERPINA3	APLNR
SERPINA3	SLC1A5	0.294902598652769	undirected	SERPINA3	SLC1A5
SERPINA3	MSR1	0.291065027242721	undirected	SERPINA3	MSR1
SERPINA3	IL1B	0.269587336189641	undirected	SERPINA3	IL1B
SERPINA3	FYB	0.259093443568027	undirected	SERPINA3	FYB
SERPINA3	ALOX5AP	0.289603892338622	undirected	SERPINA3	ALOX5AP
SERPINA3	FCGR2A	0.307390256626272	undirected	SERPINA3	FCGR2A
SERPINA3	GPR183	0.224432302430818	undirected	SERPINA3	GPR183
SERPINA3	CCR5	0.293306296664475	undirected	SERPINA3	CCR5
SERPINA3	FPR3	0.249439133349192	undirected	SERPINA3	FPR3
SERPINA3	ITGB4	0.285460749422227	undirected	SERPINA3	ITGB4
SERPINA3	CD14	0.298233142301353	undirected	SERPINA3	CD14
SERPINA3	SIGLEC8	0.265643564304348	undirected	SERPINA3	SIGLEC8
SERPINA3	GPR84	0.29118872971491	undirected	SERPINA3	GPR84
SERPINA3	PIRT	0.268419453512913	undirected	SERPINA3	PIRT
SERPINA3	C3	0.28688019097507	undirected	SERPINA3	C3
SERPINA3	STAB1	0.322709163128521	undirected	SERPINA3	STAB1
SERPINA3	MYO1G	0.283155612515617	undirected	SERPINA3	MYO1G
SERPINA3	MS4A4A	0.287777103625051	undirected	SERPINA3	MS4A4A
SERPINA3	KLHL6	0.283900165367243	undirected	SERPINA3	KLHL6
SERPINA3	SPTLC3	0.236408490889702	undirected	SERPINA3	SPTLC3
SERPINA3	FCGR1A	0.303118573166349	undirected	SERPINA3	FCGR1A
SERPINA3	RHBDF2	0.305668478256476	undirected	SERPINA3	RHBDF2
SERPINA3	CD69	0.182495164393417	undirected	SERPINA3	CD69
SERPINA3	CD180	0.296853996720911	undirected	SERPINA3	CD180
SERPINA3	LILRB1	0.285706534100298	undirected	SERPINA3	LILRB1
SERPINA3	LYZ	0.253815451962933	undirected	SERPINA3	LYZ
SERPINA3	CD86	0.281180408315729	undirected	SERPINA3	CD86
SERPINA3	CX3CR1	0.181732762066935	undirected	SERPINA3	CX3CR1
SERPINA3	CEBPA	0.206241460953394	undirected	SERPINA3	CEBPA
SERPINA3	ITGB2	0.293343442001764	undirected	SERPINA3	ITGB2
SERPINA3	ELF4	0.286705216398842	undirected	SERPINA3	ELF4
SERPINA3	LAIR1	0.302614483886033	undirected	SERPINA3	LAIR1
SERPINA3	C3AR1	0.290236912184347	undirected	SERPINA3	C3AR1
SERPINA3	BATF	0.298093301653298	undirected	SERPINA3	BATF
SERPINA3	RBM47	0.300309145103453	undirected	SERPINA3	RBM47
SERPINA3	LPAR4	0.166519776800692	undirected	SERPINA3	LPAR4
SERPINA3	SIRPB2	0.287683250649512	undirected	SERPINA3	SIRPB2
SERPINA3	EBI3	0.289612346836102	undirected	SERPINA3	EBI3
SERPINA3	SELL	0.267883004413155	undirected	SERPINA3	SELL
SERPINA3	LRRC25	0.301154338219345	undirected	SERPINA3	LRRC25
SERPINA3	CCR1	0.297379576104202	undirected	SERPINA3	CCR1
SERPINA3	GFAP	0.310348216818201	undirected	SERPINA3	GFAP
SERPINA3	SIGLEC1	0.257592412337395	undirected	SERPINA3	SIGLEC1
