nodeName	altName	nodeAttr[nodesPresent, ]
SLC17A7	SLC17A7	black
SLC6A7	SLC6A7	black
SCRT2	SCRT2	black
TNNT2	TNNT2	black
EMX1	EMX1	black
NEFH	NEFH	black
GNG13	GNG13	black
VWA7	VWA7	black
EPN3	EPN3	black
RTN4RL2	RTN4RL2	black
FAM163B	FAM163B	black
SSTR3	SSTR3	black
SLC22A9	SLC22A9	black
SCRT1	SCRT1	black
CHGA	CHGA	black
GALNT9	GALNT9	black
VSTM2L	VSTM2L	black
ATP1A3	ATP1A3	black
NGB	NGB	black
CAMK1G	CAMK1G	black
CHD5	CHD5	black
HTR1E	HTR1E	black
CABP1	CABP1	black
RTBDN	RTBDN	black
CPLX2	CPLX2	black
CLEC2L	CLEC2L	black
CRHR2	CRHR2	black
UNC5A	UNC5A	black
GABRD	GABRD	black
ICAM5	ICAM5	black
CPNE9	CPNE9	black
CDK5R2	CDK5R2	black
MSLNL	MSLNL	black
CDH22	CDH22	black
GRIN1	GRIN1	black
YBX2	YBX2	black
CHRM1	CHRM1	black
PACSIN1	PACSIN1	black
EVPL	EVPL	black
CAMK2A	CAMK2A	black
AMER3	AMER3	black
MUC5B	MUC5B	black
AC138647.1	AC138647.1	black
PNMA3	PNMA3	black
KCNK9	KCNK9	black
ALOXE3	ALOXE3	black
DNM1	DNM1	black
SNCB	SNCB	black
MGAT5B	MGAT5B	black
AL117190.2	AL117190.2	black
KCNT1	KCNT1	black
CPNE7	CPNE7	black
SYT2	SYT2	black
GJB5	GJB5	black
DBH	DBH	black
KCNK4	KCNK4	black
ISLR2	ISLR2	black
LTK	LTK	black
CPLX1	CPLX1	black
ANK1	ANK1	black
SYT7	SYT7	black
EIF4E1B	EIF4E1B	black
KCNJ4	KCNJ4	black
CA7	CA7	black
PRKCG	PRKCG	black
MAST1	MAST1	black
PTPRN	PTPRN	black
UTS2R	UTS2R	black
IQSEC3	IQSEC3	black
STAC2	STAC2	black
SYN1	SYN1	black
L1CAM	L1CAM	black
PHYHIP	PHYHIP	black
RBFOX3	RBFOX3	black
HRH3	HRH3	black
PRSS3	PRSS3	black
SYNDIG1L	SYNDIG1L	black
KSR2	KSR2	black
DHRS7C	DHRS7C	black
CACNA1I	CACNA1I	black
GRB7	GRB7	black
GJB3	GJB3	black
DLGAP3	DLGAP3	black
COL23A1	COL23A1	black
RPRML	RPRML	black
TGFBR3L	TGFBR3L	black
ACTL6B	ACTL6B	black
ABCG4	ABCG4	black
CACNG2	CACNG2	black
AGAP2	AGAP2	black
KCNH6	KCNH6	black
KIF17	KIF17	black
OPN4	OPN4	black
PRKAR1B	PRKAR1B	black
PITPNM3	PITPNM3	black
SYNPO	SYNPO	black
CACNG8	CACNG8	black
KIAA1211L	KIAA1211L	black
RAB3A	RAB3A	black
RHOF	RHOF	black
EPHB6	EPHB6	black
ADAM11	ADAM11	black
MICAL2	MICAL2	black
N4BP3	N4BP3	black
PLEKHG5	PLEKHG5	black
NRGN	NRGN	black
BSN	BSN	black
CELF3	CELF3	black
KCNH3	KCNH3	black
FAM189A1	FAM189A1	black
CALY	CALY	black
SRRM3	SRRM3	black
SNCG	SNCG	black
KRT81	KRT81	black
FBXL16	FBXL16	black
LPPR3	LPPR3	black
EEF1A2	EEF1A2	black
OTOF	OTOF	black
NPAS1	NPAS1	black
CADM3	CADM3	black
RIMS4	RIMS4	black
TUBA4A	TUBA4A	black
CACNB3	CACNB3	black
SYT5	SYT5	black
TNNT3	TNNT3	black
SLC8A2	SLC8A2	black
FAM57B	FAM57B	black
FLJ22184	FLJ22184	black
GNG3	GNG3	black
FBXO41	FBXO41	black
CDHR2	CDHR2	black
TFR2	TFR2	black
KCNAB2	KCNAB2	black
ISLR	ISLR	black
F12	F12	black
