nodeName	altName	nodeAttr[nodesPresent, ]
IL1RL1	IL1RL1	blue
ACTG2	ACTG2	blue
HSPA6	HSPA6	blue
DES	DES	blue
CSF3	CSF3	blue
OGN	OGN	blue
PLN	PLN	blue
STC1	STC1	blue
SOCS3	SOCS3	blue
S100A8	S100A8	blue
GPRC5A	GPRC5A	blue
CD163	CD163	blue
MYH11	MYH11	blue
S100A9	S100A9	blue
APOL4	APOL4	blue
MARCO	MARCO	blue
CP	CP	blue
COL3A1	COL3A1	blue
IL8	IL8	blue
IL6	IL6	blue
LTF	LTF	blue
SLPI	SLPI	blue
SERPINE1	SERPINE1	blue
HLA-DQB1	HLA-DQB1	blue
COL8A1	COL8A1	blue
CLEC4E	CLEC4E	blue
CES1	CES1	blue
CXCL1	CXCL1	blue
TTR	TTR	blue
MGP	MGP	blue
PCK1	PCK1	blue
SELE	SELE	blue
ADH1B	ADH1B	blue
COL1A1	COL1A1	blue
SLC1A7	SLC1A7	blue
IL18R1	IL18R1	blue
TMPRSS3	TMPRSS3	blue
ACTA2	ACTA2	blue
MPZL2	MPZL2	blue
C7	C7	blue
KRT18	KRT18	blue
SLC16A12	SLC16A12	blue
MMRN1	MMRN1	blue
CHI3L1	CHI3L1	blue
STEAP4	STEAP4	blue
MYOCD	MYOCD	blue
CD93	CD93	blue
COL6A3	COL6A3	blue
GJB6	GJB6	blue
C10orf10	C10orf10	blue
SERPINH1	SERPINH1	blue
GDF15	GDF15	blue
CCL2	CCL2	blue
C1orf87	C1orf87	blue
KCNE4	KCNE4	blue
PLA1A	PLA1A	blue
BCL2A1	BCL2A1	blue
CASQ2	CASQ2	blue
MYL9	MYL9	blue
C2CD4B	C2CD4B	blue
FOXC2	FOXC2	blue
TNFRSF10D	TNFRSF10D	blue
GPR4	GPR4	blue
SERPIND1	SERPIND1	blue
SIX1	SIX1	blue
SECTM1	SECTM1	blue
FOSL1	FOSL1	blue
MT1A	MT1A	blue
LRG1	LRG1	blue
TBX18	TBX18	blue
CXCL10	CXCL10	blue
COL14A1	COL14A1	blue
BAG3	BAG3	blue
FOS	FOS	blue
CCL4	CCL4	blue
ZFP36	ZFP36	blue
FHL5	FHL5	blue
ANGPTL4	ANGPTL4	blue
SIX3	SIX3	blue
JPH2	JPH2	blue
TNFRSF11B	TNFRSF11B	blue
SLCO4A1	SLCO4A1	blue
CXCL2	CXCL2	blue
RGR	RGR	blue
ITGA5	ITGA5	blue
ADM	ADM	blue
ANGPT2	ANGPT2	blue
KRT19	KRT19	blue
PDLIM1	PDLIM1	blue
EGFLAM	EGFLAM	blue
IGF2	IGF2	blue
IL4R	IL4R	blue
HBB	HBB	blue
MLPH	MLPH	blue
TGFBI	TGFBI	blue
KCNMB1	KCNMB1	blue
GJB2	GJB2	blue
ADAMTS9	ADAMTS9	blue
GJA4	GJA4	blue
CDKN1A	CDKN1A	blue
LCN6	LCN6	blue
FMOD	FMOD	blue
CYP4B1	CYP4B1	blue
DSP	DSP	blue
TAGLN	TAGLN	blue
ATP4A	ATP4A	blue
EMP1	EMP1	blue
ECM2	ECM2	blue
YBX3	YBX3	blue
IFITM2	IFITM2	blue
IL1R1	IL1R1	blue
S100A4	S100A4	blue
GABRE	GABRE	blue
VCAM1	VCAM1	blue
FAM129A	FAM129A	blue
LILRB5	LILRB5	blue
FAM20A	FAM20A	blue
RNASE3	RNASE3	blue
COL1A2	COL1A2	blue
ALX4	ALX4	blue
AEBP1	AEBP1	blue
MSX2	MSX2	blue
THBS1	THBS1	blue
MFAP4	MFAP4	blue
SRPX2	SRPX2	blue
CYP1B1	CYP1B1	blue
MEDAG	MEDAG	blue
KCNJ13	KCNJ13	blue
TBX15	TBX15	blue
TGM2	TGM2	blue
TIMP1	TIMP1	blue
LYVE1	LYVE1	blue
AOC3	AOC3	blue
ASPN	ASPN	blue
C11orf96	C11orf96	blue
ICAM1	ICAM1	blue
MRC1L1	MRC1L1	blue
GJA5	GJA5	blue
VGLL3	VGLL3	blue
GPX8	GPX8	blue
F13A1	F13A1	blue
SLC52A3	SLC52A3	blue
LPAR3	LPAR3	blue
SYTL4	SYTL4	blue
LCN10	LCN10	blue
MAFF	MAFF	blue
INMT	INMT	blue
TNFRSF12A	TNFRSF12A	blue
MLKL	MLKL	blue
GLI2	GLI2	blue
PLAC8	PLAC8	blue
HEYL	HEYL	blue
ADAMTS1	ADAMTS1	blue
ANXA2	ANXA2	blue
GSTM5	GSTM5	blue
CXCL3	CXCL3	blue
HGF	HGF	blue
CD209	CD209	blue
CDA	CDA	blue
IFITM3	IFITM3	blue
RUNX3	RUNX3	blue
CYTIP	CYTIP	blue
OSMR	OSMR	blue
MMEL1	MMEL1	blue
LMOD1	LMOD1	blue
OMD	OMD	blue
AMICA1	AMICA1	blue
APOLD1	APOLD1	blue
CFH	CFH	blue
BNC2	BNC2	blue
IFITM1	IFITM1	blue
RHOD	RHOD	blue
COL4A1	COL4A1	blue
COL6A2	COL6A2	blue
SUSD2	SUSD2	blue
DDR2	DDR2	blue
P2RY2	P2RY2	blue
CYP4F11	CYP4F11	blue
GBP2	GBP2	blue
SLC13A4	SLC13A4	blue
THBD	THBD	blue
SIK1	SIK1	blue
IRF6	IRF6	blue
ARHGEF5	ARHGEF5	blue
GADD45B	GADD45B	blue
IL32	IL32	blue
LRRC32	LRRC32	blue
FBLIM1	FBLIM1	blue
CLEC2B	CLEC2B	blue
CFI	CFI	blue
VNN2	VNN2	blue
C6orf118	C6orf118	blue
SNX31	SNX31	blue
PCSK9	PCSK9	blue
SOD3	SOD3	blue
OLAH	OLAH	blue
S100A11	S100A11	blue
RNF43	RNF43	blue
A4GALT	A4GALT	blue
MMP14	MMP14	blue
MUC1	MUC1	blue
TNFRSF10A	TNFRSF10A	blue
ITIH3	ITIH3	blue
HS3ST3B1	HS3ST3B1	blue
OLFML2A	OLFML2A	blue
CASP4	CASP4	blue
CA12	CA12	blue
FAM65C	FAM65C	blue
NOD2	NOD2	blue
TM4SF1	TM4SF1	blue
IGFBP4	IGFBP4	blue
MRGPRF	MRGPRF	blue
ANPEP	ANPEP	blue
CEBPD	CEBPD	blue
BLOC1S5-TXNDC5	BLOC1S5-TXNDC5	blue
TNFRSF10C	TNFRSF10C	blue
SRGN	SRGN	blue
SLC7A2	SLC7A2	blue
FAM46B	FAM46B	blue
EPHA2	EPHA2	blue
PLEKHA4	PLEKHA4	blue
TGFB1I1	TGFB1I1	blue
ECSCR	ECSCR	blue
HIC1	HIC1	blue
GBP3	GBP3	blue
ALOX15B	ALOX15B	blue
SHISA3	SHISA3	blue
FGL2	FGL2	blue
KLF4	KLF4	blue
TPM2	TPM2	blue
FOXC1	FOXC1	blue
