nodeName	altName	nodeAttr[nodesPresent, ]
MTRNR2L12	MTRNR2L12	brown
SFN	SFN	brown
HP	HP	brown
NPC1L1	NPC1L1	brown
OR7A5	OR7A5	brown
SERPINA5	SERPINA5	brown
HSPA1A	HSPA1A	brown
FOXJ1	FOXJ1	brown
RHOXF1	RHOXF1	brown
C10orf105	C10orf105	brown
C7orf61	C7orf61	brown
HSPB1	HSPB1	brown
LILRA4	LILRA4	brown
TPSD1	TPSD1	brown
TUSC5	TUSC5	brown
AZGP1	AZGP1	brown
MTRNR2L2	MTRNR2L2	brown
HSD11B2	HSD11B2	brown
HSPA1B	HSPA1B	brown
SLC14A1	SLC14A1	brown
SAMD11	SAMD11	brown
ADRA2B	ADRA2B	brown
RRAD	RRAD	brown
G0S2	G0S2	brown
PKD1P1	PKD1P1	brown
HIF3A	HIF3A	brown
NUPR1	NUPR1	brown
MT1H	MT1H	brown
MUC6	MUC6	brown
HIST1H4E	HIST1H4E	brown
TMEM150B	TMEM150B	brown
KIF25	KIF25	brown
CYP21A2	CYP21A2	brown
MYBPH	MYBPH	brown
CLDN9	CLDN9	brown
NGFR	NGFR	brown
GLI1	GLI1	brown
FAM167B	FAM167B	brown
MT-ND6	MT-ND6	brown
CTB-50L17.14	CTB-50L17.14	brown
PLEKHG4B	PLEKHG4B	brown
C1orf172	C1orf172	brown
SPP1	SPP1	brown
AL355312.1	AL355312.1	brown
AL031663.2	AL031663.2	brown
MEF2B	MEF2B	brown
PLIN4	PLIN4	brown
RCVRN	RCVRN	brown
AL117190.3	AL117190.3	brown
MT1X	MT1X	brown
DUOX2	DUOX2	brown
TBX6	TBX6	brown
LTA	LTA	brown
OTOS	OTOS	brown
DNAJB1	DNAJB1	brown
CDR1	CDR1	brown
TUBA1C	TUBA1C	brown
LRRC71	LRRC71	brown
RP11-419C5.2	RP11-419C5.2	brown
P2RX7	P2RX7	brown
SMTN	SMTN	brown
MT1G	MT1G	brown
HBA2	HBA2	brown
MS4A14	MS4A14	brown
SBSN	SBSN	brown
SLC26A7	SLC26A7	brown
ATF3	ATF3	brown
SLC7A9	SLC7A9	brown
BIRC5	BIRC5	brown
FITM1	FITM1	brown
DDIT4	DDIT4	brown
ETV4	ETV4	brown
MT1F	MT1F	brown
CSF1	CSF1	brown
ZNF630	ZNF630	brown
CXCR4	CXCR4	brown
GPR55	GPR55	brown
TMPRSS6	TMPRSS6	brown
A-575C2.4.1	A-575C2.4.1	brown
HES7	HES7	brown
ATOH8	ATOH8	brown
NPW	NPW	brown
AC020907.1	AC020907.1	brown
PRF1	PRF1	brown
ZC3H12A	ZC3H12A	brown
CCDC17	CCDC17	brown
CEL	CEL	brown
SERPINF2	SERPINF2	brown
SEC14L4	SEC14L4	brown
TFCP2L1	TFCP2L1	brown
PRAM1	PRAM1	brown
RP11-433C9.2	RP11-433C9.2	brown
MT2A	MT2A	brown
C10orf85	C10orf85	brown
FATE1	FATE1	brown
HBA1	HBA1	brown
ITGAX	ITGAX	brown
SCNN1G	SCNN1G	brown
TRIP10	TRIP10	brown
CTC-203F4.1	CTC-203F4.1	brown
APOBR	APOBR	brown
TEKT4	TEKT4	brown
ACP5	ACP5	brown
FKBP5	FKBP5	brown
KLK14	KLK14	brown
C4orf48	C4orf48	brown
COL4A6	COL4A6	brown
TMPRSS5	TMPRSS5	brown
NPIPL1	NPIPL1	brown
FAM151A	FAM151A	brown
FXYD3	FXYD3	brown
PDK4	PDK4	brown
ESRP2	ESRP2	brown
CELSR1	CELSR1	brown
CHST3	CHST3	brown
DDIT4L	DDIT4L	brown
LRRC3DN	LRRC3DN	brown
HPR	HPR	brown
ITPKB	ITPKB	brown
RP11-59H1.3	RP11-59H1.3	brown
ESPN	ESPN	brown
ACSM1	ACSM1	brown
AL138781.1	AL138781.1	brown
RP11-1212A22.2	RP11-1212A22.2	brown
HIST1H1C	HIST1H1C	brown
SLC23A3	SLC23A3	brown
MTRNR2L9	MTRNR2L9	brown
ATAD3C	ATAD3C	brown
STRC	STRC	brown
AZU1	AZU1	brown
VWA3B	VWA3B	brown
CABLES1	CABLES1	brown
MT1M	MT1M	brown
MMP23B	MMP23B	brown
CPAMD8	CPAMD8	brown
FLJ00418	FLJ00418	brown
ATHL1	ATHL1	brown
SLC47A2	SLC47A2	brown
SPATC1	SPATC1	brown
SLC13A5	SLC13A5	brown
MEF2BNB-MEF2B	MEF2BNB-MEF2B	brown
SCXA	SCXA	brown
INSL3	INSL3	brown
GNRH2	GNRH2	brown
DDX11	DDX11	brown
TNFRSF25	TNFRSF25	brown
AC135048.1	AC135048.1	brown
TCAP	TCAP	brown
PRODH	PRODH	brown
TFAP2C	TFAP2C	brown
PLOD3	PLOD3	brown
LPIN3	LPIN3	brown
NWD1	NWD1	brown
CLDN15	CLDN15	brown
PLIN5	PLIN5	brown
CRYAA	CRYAA	brown
DDX43	DDX43	brown
C11orf35	C11orf35	brown
STXBP2	STXBP2	brown
SLFNL1	SLFNL1	brown
HIST1H2AE	HIST1H2AE	brown
AC096677.1	AC096677.1	brown
LAT	LAT	brown
KLF15	KLF15	brown
RAB25	RAB25	brown
RP11-166B2.1	RP11-166B2.1	brown
ADAM33	ADAM33	brown
AP000350.4	AP000350.4	brown
NUAK2	NUAK2	brown
TCF15	TCF15	brown
MROH6	MROH6	brown
