nodeName	altName	nodeAttr[nodesPresent, ]
SERPINA3	SERPINA3	green
HLA-DRB5	HLA-DRB5	green
CHI3L2	CHI3L2	green
RGS1	RGS1	green
VSIG4	VSIG4	green
FCGBP	FCGBP	green
HAMP	HAMP	green
RNASE2	RNASE2	green
SCIN	SCIN	green
CD44	CD44	green
C4A	C4A	green
C1QC	C1QC	green
FPR1	FPR1	green
SULT1C2	SULT1C2	green
SLC11A1	SLC11A1	green
SERPINA1	SERPINA1	green
CLEC5A	CLEC5A	green
C1QB	C1QB	green
FCGR2B	FCGR2B	green
C4B	C4B	green
MS4A6A	MS4A6A	green
SIGLEC9	SIGLEC9	green
HLA-DQA1	HLA-DQA1	green
C1QA	C1QA	green
SIGLEC14	SIGLEC14	green
TYMP	TYMP	green
FCGR3A	FCGR3A	green
PTPN7	PTPN7	green
VENTX	VENTX	green
SNX20	SNX20	green
APLNR	APLNR	green
SLC1A5	SLC1A5	green
MSR1	MSR1	green
IL1B	IL1B	green
FYB	FYB	green
ALOX5AP	ALOX5AP	green
FCGR2A	FCGR2A	green
GPR183	GPR183	green
CCR5	CCR5	green
FPR3	FPR3	green
ITGB4	ITGB4	green
CD14	CD14	green
SIGLEC8	SIGLEC8	green
GPR84	GPR84	green
PIRT	PIRT	green
C3	C3	green
STAB1	STAB1	green
MYO1G	MYO1G	green
MS4A4A	MS4A4A	green
KLHL6	KLHL6	green
SPTLC3	SPTLC3	green
FCGR1A	FCGR1A	green
RHBDF2	RHBDF2	green
CD69	CD69	green
CD180	CD180	green
LILRB1	LILRB1	green
LYZ	LYZ	green
CD86	CD86	green
CX3CR1	CX3CR1	green
CEBPA	CEBPA	green
ITGB2	ITGB2	green
ELF4	ELF4	green
LAIR1	LAIR1	green
C3AR1	C3AR1	green
BATF	BATF	green
RBM47	RBM47	green
LPAR4	LPAR4	green
SIRPB2	SIRPB2	green
EBI3	EBI3	green
SELL	SELL	green
LRRC25	LRRC25	green
CCR1	CCR1	green
GFAP	GFAP	green
SIGLEC1	SIGLEC1	green
FCER1G	FCER1G	green
HMOX1	HMOX1	green
SASH3	SASH3	green
HCK	HCK	green
IRF8	IRF8	green
SIGLEC10	SIGLEC10	green
PARVG	PARVG	green
EMR2	EMR2	green
HCLS1	HCLS1	green
CD37	CD37	green
ODF3B	ODF3B	green
SLC51B	SLC51B	green
SPI1	SPI1	green
C21orf62	C21orf62	green
APOC4	APOC4	green
IL18	IL18	green
LILRA2	LILRA2	green
TREM2	TREM2	green
RGS18	RGS18	green
HLA-DRA	HLA-DRA	green
COL8A2	COL8A2	green
FGD2	FGD2	green
P2RY6	P2RY6	green
CD300A	CD300A	green
CSF1R	CSF1R	green
HSPG2	HSPG2	green
NCF4	NCF4	green
NCF2	NCF2	green
WFIKKN2	WFIKKN2	green
RASAL3	RASAL3	green
OSM	OSM	green
TNFAIP8L2	TNFAIP8L2	green
IKZF1	IKZF1	green
RP11-831H9.16	RP11-831H9.16	green
PTPRC	PTPRC	green
LILRA1	LILRA1	green
FOLR2	FOLR2	green
ALOX5	ALOX5	green
SPN	SPN	green
NCKAP1L	NCKAP1L	green
CD74	CD74	green
FCGR1B	FCGR1B	green
NCF1	NCF1	green
ABI3	ABI3	green
LILRA6	LILRA6	green
SYK	SYK	green
GPR65	GPR65	green
TLR7	TLR7	green
TLR2	TLR2	green
LCP1	LCP1	green
SH3TC1	SH3TC1	green
MS4A7	MS4A7	green
LAT2	LAT2	green
PTAFR	PTAFR	green
RUNX1	RUNX1	green
SLC2A5	SLC2A5	green
ZNF728	ZNF728	green
HLA-DRB1	HLA-DRB1	green
TMEM119	TMEM119	green
TYROBP	TYROBP	green
LILRB2	LILRB2	green
LILRB4	LILRB4	green
ARL11	ARL11	green
APOL6	APOL6	green
DLEC1	DLEC1	green
CD33	CD33	green
ADAMTSL4	ADAMTSL4	green
LPAR5	LPAR5	green
C5AR1	C5AR1	green
HPGDS	HPGDS	green
LAPTM5	LAPTM5	green
HLA-DMB	HLA-DMB	green
MSLN	MSLN	green
DNAAF3	DNAAF3	green
RNASE6	RNASE6	green
DOCK2	DOCK2	green
APOC2	APOC2	green
FERMT3	FERMT3	green
CD300C	CD300C	green
GNLY	GNLY	green
HLA-DOA	HLA-DOA	green
TRPV4	TRPV4	green
CLEC7A	CLEC7A	green
C2orf62	C2orf62	green
WDR49	WDR49	green
TMC8	TMC8	green
CLDN7	CLDN7	green
TREML1	TREML1	green
HK2	HK2	green
P2RX1	P2RX1	green
TNFRSF1B	TNFRSF1B	green
RELL1	RELL1	green
RARRES3	RARRES3	green
CSF3R	CSF3R	green
NFAM1	NFAM1	green
ITGAL	ITGAL	green
ADORA3	ADORA3	green
CIITA	CIITA	green
SCIMP	SCIMP	green
CYBA	CYBA	green
LIPG	LIPG	green
CYBB	CYBB	green
RAC2	RAC2	green
CXorf21	CXorf21	green
FAM177B	FAM177B	green
