nodeName	altName	nodeAttr[nodesPresent, ]
CNGB1	CNGB1	red
C1QL3	C1QL3	red
HS6ST3	HS6ST3	red
GRM5	GRM5	red
SIRPB1	SIRPB1	red
HTR1A	HTR1A	red
CDKL5	CDKL5	red
SV2C	SV2C	red
PPM1E	PPM1E	red
PCDHAC2	PCDHAC2	red
PLCXD2	PLCXD2	red
GCNT4	GCNT4	red
CHRM4	CHRM4	red
HTR3B	HTR3B	red
PCDHGC5	PCDHGC5	red
PROKR2	PROKR2	red
WNT1	WNT1	red
C4orf50	C4orf50	red
KCNH1	KCNH1	red
CCDC177.1	CCDC177.1	red
SLC22A6	SLC22A6	red
MYLK3	MYLK3	red
FLG	FLG	red
TACR1	TACR1	red
NCR3LG1	NCR3LG1	red
PCDHAC1	PCDHAC1	red
CNTNAP5	CNTNAP5	red
NYAP2	NYAP2	red
C6orf223	C6orf223	red
KLHL34	KLHL34	red
PLEKHM3	PLEKHM3	red
NPBWR2	NPBWR2	red
TNR	TNR	red
PCDHA6	PCDHA6	red
ZKSCAN8	ZKSCAN8	red
PCDHA5	PCDHA5	red
RP11-422N16.3	RP11-422N16.3	red
PCDHGC4	PCDHGC4	red
ANKRD33B	ANKRD33B	red
CCBE1	CCBE1	red
VWA5B1	VWA5B1	red
PCDHA11	PCDHA11	red
HRH2	HRH2	red
SHANK1	SHANK1	red
KLHL11	KLHL11	red
DCC	DCC	red
SMCR8	SMCR8	red
GDF7	GDF7	red
XKR7	XKR7	red
OPRD1	OPRD1	red
SIAH3	SIAH3	red
PCDHA9	PCDHA9	red
SHISA6	SHISA6	red
SHC3	SHC3	red
FABP1	FABP1	red
CRYGN	CRYGN	red
TRIM71	TRIM71	red
DCAF12L2	DCAF12L2	red
B3GALT1	B3GALT1	red
PLEKHD1	PLEKHD1	red
KIAA0754	KIAA0754	red
FAM196B	FAM196B	red
ZDHHC20	ZDHHC20	red
PCDHA12	PCDHA12	red
ZBTB41	ZBTB41	red
PCDHA13	PCDHA13	red
MTX3	MTX3	red
PCDHA10	PCDHA10	red
NT5C1A	NT5C1A	red
IQGAP3	IQGAP3	red
SLIT1	SLIT1	red
AC021860.1	AC021860.1	red
SOCS7	SOCS7	red
RAB39A	RAB39A	red
ERN1	ERN1	red
DOC2B	DOC2B	red
AC026310.1	AC026310.1	red
BTNL2	BTNL2	red
KLHL28	KLHL28	red
C22orf24	C22orf24	red
C1orf111	C1orf111	red
CD38	CD38	red
GPR45	GPR45	red
LHFPL4	LHFPL4	red
SYN3	SYN3	red
SLC7A14	SLC7A14	red
RAD54L2	RAD54L2	red
ZFP92	ZFP92	red
IRS4	IRS4	red
ZNF221	ZNF221	red
MKL2	MKL2	red
IGFBPL1	IGFBPL1	red
IGSF9B	IGSF9B	red
TMEFF1	TMEFF1	red
C11orf42	C11orf42	red
PCDHA7	PCDHA7	red
HS3ST3A1	HS3ST3A1	red
PNPLA3	PNPLA3	red
SLX4IP	SLX4IP	red
SLC9A7	SLC9A7	red
PCDHA3	PCDHA3	red
GPR63	GPR63	red
C16orf3	C16orf3	red
DNAH2	DNAH2	red
CCDC170	CCDC170	red
EFR3B	EFR3B	red
HMCN2	HMCN2	red
MAGEL2	MAGEL2	red
USP37	USP37	red
SMTNL1	SMTNL1	red
CNTNAP3B	CNTNAP3B	red
TUBB3	TUBB3	red
WBSCR27	WBSCR27	red
GRID2IP	GRID2IP	red
CDYL2	CDYL2	red
EHF	EHF	red
TRIM58	TRIM58	red
GREB1L	GREB1L	red
C9orf173	C9orf173	red
RP11-259P6.1	RP11-259P6.1	red
GPRIN3	GPRIN3	red
RAP1GAP2	RAP1GAP2	red
PCDHGA6	PCDHGA6	red
BDKRB2	BDKRB2	red
AAK1	AAK1	red
RNF150	RNF150	red
THSD7A	THSD7A	red
GPR179	GPR179	red
GPR75	GPR75	red
FAM155A	FAM155A	red
KIAA1211	KIAA1211	red
TRIM72	TRIM72	red
ACOT1	ACOT1	red
HTR1B	HTR1B	red
APOOL	APOOL	red
ASPG	ASPG	red
CACNG5	CACNG5	red
NEU3	NEU3	red
PHACTR1	PHACTR1	red
ULBP3	ULBP3	red
RTEL1	RTEL1	red
SRXN1	SRXN1	red
GPLD1	GPLD1	red
SFTPA2	SFTPA2	red
GPR89B	GPR89B	red
ZBTB16	ZBTB16	red
LRRTM2	LRRTM2	red
SGK494	SGK494	red
AC132872.2	AC132872.2	red
GAL3ST2	GAL3ST2	red
PCDHA4	PCDHA4	red
GABRQ	GABRQ	red
