nodeName	altName	nodeAttr[nodesPresent, ]
NPAS4	NPAS4	turquoise
FREM3	FREM3	turquoise
CRH	CRH	turquoise
CBLN4	CBLN4	turquoise
SCARA5	SCARA5	turquoise
NEUROD6	NEUROD6	turquoise
HTR2C	HTR2C	turquoise
NXPH2	NXPH2	turquoise
KLHL14	KLHL14	turquoise
CCDC144A	CCDC144A	turquoise
SLC30A3	SLC30A3	turquoise
MCHR2	MCHR2	turquoise
CHRNA2	CHRNA2	turquoise
SOWAHB	SOWAHB	turquoise
TAC1	TAC1	turquoise
PADI4	PADI4	turquoise
KRT5	KRT5	turquoise
DNAJC5G	DNAJC5G	turquoise
CTXN3	CTXN3	turquoise
TESPA1	TESPA1	turquoise
PVALB	PVALB	turquoise
TMEM155	TMEM155	turquoise
RGS8	RGS8	turquoise
PCSK1	PCSK1	turquoise
NELL1	NELL1	turquoise
SLC17A6	SLC17A6	turquoise
MEPE	MEPE	turquoise
VGF	VGF	turquoise
PENK	PENK	turquoise
CARTPT	CARTPT	turquoise
KRT222	KRT222	turquoise
ABCC12	ABCC12	turquoise
PTGER3	PTGER3	turquoise
SLC32A1	SLC32A1	turquoise
OTOGL	OTOGL	turquoise
CUX2	CUX2	turquoise
KIAA1239	KIAA1239	turquoise
RGS7BP	RGS7BP	turquoise
C11orf87	C11orf87	turquoise
CNTN5	CNTN5	turquoise
KCNC2	KCNC2	turquoise
STYK1	STYK1	turquoise
FBLN7	FBLN7	turquoise
GAD2	GAD2	turquoise
PCDH8	PCDH8	turquoise
IL1RAPL2	IL1RAPL2	turquoise
CDH7	CDH7	turquoise
PNOC	PNOC	turquoise
AL450307.1	AL450307.1	turquoise
ASAH2	ASAH2	turquoise
EGR4	EGR4	turquoise
SERTM1	SERTM1	turquoise
OLFM3	OLFM3	turquoise
RAB27B	RAB27B	turquoise
CALB1	CALB1	turquoise
ROS1	ROS1	turquoise
SST	SST	turquoise
KIAA0087	KIAA0087	turquoise
FRRS1L	FRRS1L	turquoise
NLRP2	NLRP2	turquoise
RGS4	RGS4	turquoise
FBXO40	FBXO40	turquoise
SLC4A10	SLC4A10	turquoise
KCNV1	KCNV1	turquoise
KCNS1	KCNS1	turquoise
ANKRD30B	ANKRD30B	turquoise
