fromNode	toNode	weight	direction	fromAltName	toAltName
FOXJ1	HSPB1	0.189432060484235	undirected	FOXJ1	HSPB1
FOXJ1	MTRNR2L2	0.113286555565633	undirected	FOXJ1	MTRNR2L2
FOXJ1	HSD11B2	0.107974975522566	undirected	FOXJ1	HSD11B2
FOXJ1	G0S2	0.158482515982248	undirected	FOXJ1	G0S2
FOXJ1	MT1H	0.167832234410396	undirected	FOXJ1	MT1H
FOXJ1	MT-ND6	0.166689921524922	undirected	FOXJ1	MT-ND6
FOXJ1	PLIN4	0.183892943812206	undirected	FOXJ1	PLIN4
FOXJ1	RCVRN	0.144164817824695	undirected	FOXJ1	RCVRN
FOXJ1	MT1X	0.175075447929278	undirected	FOXJ1	MT1X
FOXJ1	LTA	0.207490202022846	undirected	FOXJ1	LTA
FOXJ1	DNAJB1	0.174608851524744	undirected	FOXJ1	DNAJB1
FOXJ1	MT1G	0.178539584448183	undirected	FOXJ1	MT1G
FOXJ1	SBSN	0.107251880696926	undirected	FOXJ1	SBSN
FOXJ1	SLC7A9	0.203982859470619	undirected	FOXJ1	SLC7A9
FOXJ1	ETV4	0.129734737725211	undirected	FOXJ1	ETV4
FOXJ1	MT1F	0.193241322689062	undirected	FOXJ1	MT1F
FOXJ1	CXCR4	0.184277656577181	undirected	FOXJ1	CXCR4
FOXJ1	TMPRSS6	0.17423114444799	undirected	FOXJ1	TMPRSS6
FOXJ1	HES7	0.131497471051237	undirected	FOXJ1	HES7
FOXJ1	CEL	0.178576361672946	undirected	FOXJ1	CEL
FOXJ1	RP11-433C9.2	0.131301345362468	undirected	FOXJ1	RP11-433C9.2
FOXJ1	MT2A	0.198431864179598	undirected	FOXJ1	MT2A
FOXJ1	FAM151A	0.15836789226735	undirected	FOXJ1	FAM151A
FOXJ1	FXYD3	0.183358119324293	undirected	FOXJ1	FXYD3
FOXJ1	DDIT4L	0.196315187979603	undirected	FOXJ1	DDIT4L
FOXJ1	ESPN	0.113242957205401	undirected	FOXJ1	ESPN
FOXJ1	MTRNR2L9	0.163825125129864	undirected	FOXJ1	MTRNR2L9
FOXJ1	MT1M	0.176153329774745	undirected	FOXJ1	MT1M
FOXJ1	SCXA	0.131857559628208	undirected	FOXJ1	SCXA
FOXJ1	TNFRSF25	0.111206717040408	undirected	FOXJ1	TNFRSF25
FOXJ1	AC135048.1	0.129572953629395	undirected	FOXJ1	AC135048.1
FOXJ1	TCAP	0.210950378490828	undirected	FOXJ1	TCAP
FOXJ1	SLFNL1	0.193623287216771	undirected	FOXJ1	SLFNL1
FOXJ1	LAT	0.194564446350192	undirected	FOXJ1	LAT
FOXJ1	MROH6	0.17643318535891	undirected	FOXJ1	MROH6
FOXJ1	SLC7A10	0.144764326638532	undirected	FOXJ1	SLC7A10
FOXJ1	FGF17	0.124293494367694	undirected	FOXJ1	FGF17
FOXJ1	OSGIN1	0.191493975486364	undirected	FOXJ1	OSGIN1
FOXJ1	WFIKKN1	0.197058088378331	undirected	FOXJ1	WFIKKN1
FOXJ1	MT-ND5	0.171005336783616	undirected	FOXJ1	MT-ND5
FOXJ1	GOLGA7B.1	0.121363318091585	undirected	FOXJ1	GOLGA7B.1
FOXJ1	MT-ND4L	0.158807713551295	undirected	FOXJ1	MT-ND4L
FOXJ1	RNF122	0.186367524218348	undirected	FOXJ1	RNF122
FOXJ1	GRIN2C	0.159666461241663	undirected	FOXJ1	GRIN2C
FOXJ1	PPP1R3G	0.120085983052338	undirected	FOXJ1	PPP1R3G
FOXJ1	C8orf12	0.177658396114089	undirected	FOXJ1	C8orf12
FOXJ1	SMO	0.197861538381641	undirected	FOXJ1	SMO
FOXJ1	MT-ATP8	0.116439345722536	undirected	FOXJ1	MT-ATP8
FOXJ1	MT1E	0.182046973213238	undirected	FOXJ1	MT1E
FOXJ1	CARD14	0.212758869202629	undirected	FOXJ1	CARD14
FOXJ1	CXorf67	0.182688480426475	undirected	FOXJ1	CXorf67
FOXJ1	GAREML	0.147626550394725	undirected	FOXJ1	GAREML
FOXJ1	OR2H2	0.1337716306309	undirected	FOXJ1	OR2H2
FOXJ1	CRYBB2	0.102649813180316	undirected	FOXJ1	CRYBB2
FOXJ1	A2ML1	0.119895723134544	undirected	FOXJ1	A2ML1
FOXJ1	ABCC2	0.202511085905041	undirected	FOXJ1	ABCC2
