fromNode	toNode	weight	direction	fromAltName	toAltName
NPAS4	FREM3	0.313960022336051	undirected	NPAS4	FREM3
NPAS4	CRH	0.281750385488334	undirected	NPAS4	CRH
NPAS4	CBLN4	0.269079524103479	undirected	NPAS4	CBLN4
NPAS4	SCARA5	0.148275251694975	undirected	NPAS4	SCARA5
NPAS4	NEUROD6	0.237837693592331	undirected	NPAS4	NEUROD6
NPAS4	HTR2C	0.325869040845123	undirected	NPAS4	HTR2C
NPAS4	KLHL14	0.200819517177257	undirected	NPAS4	KLHL14
NPAS4	MCHR2	0.377658369850204	undirected	NPAS4	MCHR2
NPAS4	SOWAHB	0.375763533717715	undirected	NPAS4	SOWAHB
NPAS4	TAC1	0.280158844789394	undirected	NPAS4	TAC1
NPAS4	WIF1	0.112976469255673	undirected	NPAS4	WIF1
NPAS4	CTXN3	0.210004707362623	undirected	NPAS4	CTXN3
NPAS4	TMEM155	0.267311826341121	undirected	NPAS4	TMEM155
NPAS4	PCSK1	0.388922962980158	undirected	NPAS4	PCSK1
NPAS4	NELL1	0.330467274770793	undirected	NPAS4	NELL1
NPAS4	SLC17A6	0.246776354479757	undirected	NPAS4	SLC17A6
NPAS4	VGF	0.325359590362839	undirected	NPAS4	VGF
NPAS4	CARTPT	0.128576349915255	undirected	NPAS4	CARTPT
NPAS4	KRT222	0.212723825339291	undirected	NPAS4	KRT222
NPAS4	ABCC12	0.3220421338159	undirected	NPAS4	ABCC12
NPAS4	SLC32A1	0.332964270992642	undirected	NPAS4	SLC32A1
NPAS4	OTOGL	0.222165010363773	undirected	NPAS4	OTOGL
NPAS4	KIAA1239	0.244494667022843	undirected	NPAS4	KIAA1239
NPAS4	RGS7BP	0.310382604054887	undirected	NPAS4	RGS7BP
NPAS4	NEUROD1	0.119191305421521	undirected	NPAS4	NEUROD1
NPAS4	C11orf87	0.377877625170378	undirected	NPAS4	C11orf87
NPAS4	CNTN5	0.253592129338392	undirected	NPAS4	CNTN5
NPAS4	KCNC2	0.219657183617278	undirected	NPAS4	KCNC2
