fromNode	toNode	weight	direction	fromAltName	toAltName
IL1RL1	SERPINA3	0.195568705095781	undirected	IL1RL1	SERPINA3
IL1RL1	ACTG2	0.144841348846451	undirected	IL1RL1	ACTG2
IL1RL1	DES	0.122701559426118	undirected	IL1RL1	DES
IL1RL1	CSF3	0.112323748148506	undirected	IL1RL1	CSF3
IL1RL1	OGN	0.108245582309654	undirected	IL1RL1	OGN
IL1RL1	PLN	0.115761004176843	undirected	IL1RL1	PLN
IL1RL1	STC1	0.173790161506247	undirected	IL1RL1	STC1
IL1RL1	SOCS3	0.194183865172452	undirected	IL1RL1	SOCS3
IL1RL1	S100A8	0.148307538176617	undirected	IL1RL1	S100A8
IL1RL1	GPRC5A	0.20837028570009	undirected	IL1RL1	GPRC5A
IL1RL1	CD163	0.156508375653913	undirected	IL1RL1	CD163
IL1RL1	MYH11	0.135533508948304	undirected	IL1RL1	MYH11
IL1RL1	S100A9	0.154589234394776	undirected	IL1RL1	S100A9
IL1RL1	CHI3L2	0.144588573437093	undirected	IL1RL1	CHI3L2
IL1RL1	APOL4	0.142775339127836	undirected	IL1RL1	APOL4
IL1RL1	RGS1	0.124906005949263	undirected	IL1RL1	RGS1
IL1RL1	CP	0.206708697400889	undirected	IL1RL1	CP
IL1RL1	COL3A1	0.116059560429929	undirected	IL1RL1	COL3A1
IL1RL1	IL8	0.118447474877633	undirected	IL1RL1	IL8
IL1RL1	IL6	0.146997790500026	undirected	IL1RL1	IL6
IL1RL1	HAMP	0.144292031981876	undirected	IL1RL1	HAMP
IL1RL1	SERPINE1	0.146128367780877	undirected	IL1RL1	SERPINE1
IL1RL1	COL8A1	0.152232514488426	undirected	IL1RL1	COL8A1
IL1RL1	CLEC4E	0.129488495146978	undirected	IL1RL1	CLEC4E
IL1RL1	CES1	0.108418014429017	undirected	IL1RL1	CES1
IL1RL1	CXCL1	0.119842532547932	undirected	IL1RL1	CXCL1
IL1RL1	MGP	0.162491524968768	undirected	IL1RL1	MGP
IL1RL1	PCK1	0.125726941357811	undirected	IL1RL1	PCK1
IL1RL1	ADH1B	0.191018480042414	undirected	IL1RL1	ADH1B
IL1RL1	COL1A1	0.150318357966007	undirected	IL1RL1	COL1A1
IL1RL1	C4A	0.150010812192978	undirected	IL1RL1	C4A
IL1RL1	IL18R1	0.10520588743368	undirected	IL1RL1	IL18R1
IL1RL1	FPR1	0.174931934016265	undirected	IL1RL1	FPR1
IL1RL1	TMPRSS3	0.10689093619192	undirected	IL1RL1	TMPRSS3
IL1RL1	ACTA2	0.118289662644578	undirected	IL1RL1	ACTA2
IL1RL1	SLC11A1	0.186763415416662	undirected	IL1RL1	SLC11A1
IL1RL1	MPZL2	0.207162322819642	undirected	IL1RL1	MPZL2
IL1RL1	C7	0.181037151615954	undirected	IL1RL1	C7
IL1RL1	SLC16A12	0.113560989975851	undirected	IL1RL1	SLC16A12
IL1RL1	MMRN1	0.108588402634846	undirected	IL1RL1	MMRN1
IL1RL1	C4B	0.201007556664297	undirected	IL1RL1	C4B
IL1RL1	CHI3L1	0.12718162312488	undirected	IL1RL1	CHI3L1
IL1RL1	STEAP4	0.194820027528311	undirected	IL1RL1	STEAP4
IL1RL1	MYOCD	0.184874210599419	undirected	IL1RL1	MYOCD
IL1RL1	CD93	0.206668743215098	undirected	IL1RL1	CD93
IL1RL1	GJB6	0.103701065540058	undirected	IL1RL1	GJB6
IL1RL1	C10orf10	0.233819229896281	undirected	IL1RL1	C10orf10
IL1RL1	C1orf87	0.136261456609454	undirected	IL1RL1	C1orf87
IL1RL1	KCNE4	0.174928073828589	undirected	IL1RL1	KCNE4
IL1RL1	PLA1A	0.182452016195958	undirected	IL1RL1	PLA1A
IL1RL1	BCL2A1	0.183622675837944	undirected	IL1RL1	BCL2A1
IL1RL1	CASQ2	0.112300185935093	undirected	IL1RL1	CASQ2
IL1RL1	MYL9	0.158078571814685	undirected	IL1RL1	MYL9
IL1RL1	FOXC2	0.108195658800903	undirected	IL1RL1	FOXC2
IL1RL1	TNFRSF10D	0.167106780029584	undirected	IL1RL1	TNFRSF10D
IL1RL1	TYMP	0.195196071564941	undirected	IL1RL1	TYMP
IL1RL1	GPR4	0.201718585778045	undirected	IL1RL1	GPR4
IL1RL1	SIX1	0.119121422652322	undirected	IL1RL1	SIX1
IL1RL1	SECTM1	0.168058833665769	undirected	IL1RL1	SECTM1
IL1RL1	MT1A	0.153564655460835	undirected	IL1RL1	MT1A
IL1RL1	LRG1	0.152565808803304	undirected	IL1RL1	LRG1
IL1RL1	TBX18	0.151796315013667	undirected	IL1RL1	TBX18
IL1RL1	COL14A1	0.141104805961435	undirected	IL1RL1	COL14A1
IL1RL1	FOS	0.126252967727276	undirected	IL1RL1	FOS
IL1RL1	ZFP36	0.203242238481706	undirected	IL1RL1	ZFP36
IL1RL1	FHL5	0.140178266394762	undirected	IL1RL1	FHL5
IL1RL1	ANGPTL4	0.115678899473084	undirected	IL1RL1	ANGPTL4
IL1RL1	IL1B	0.111977784265108	undirected	IL1RL1	IL1B
IL1RL1	JPH2	0.1827804680736	undirected	IL1RL1	JPH2
IL1RL1	TNFRSF11B	0.158825617199982	undirected	IL1RL1	TNFRSF11B
IL1RL1	SLCO4A1	0.17679043903565	undirected	IL1RL1	SLCO4A1
IL1RL1	CXCL2	0.135258039075712	undirected	IL1RL1	CXCL2
IL1RL1	ITGA5	0.220364622833834	undirected	IL1RL1	ITGA5
IL1RL1	ADM	0.149648183601894	undirected	IL1RL1	ADM
IL1RL1	GPR183	0.105493779632763	undirected	IL1RL1	GPR183
IL1RL1	KRT19	0.113118688119214	undirected	IL1RL1	KRT19
IL1RL1	PDLIM1	0.194270312795006	undirected	IL1RL1	PDLIM1
IL1RL1	EGFLAM	0.132101592475448	undirected	IL1RL1	EGFLAM
IL1RL1	IL4R	0.232659434190298	undirected	IL1RL1	IL4R
IL1RL1	KCNMB1	0.134688435818481	undirected	IL1RL1	KCNMB1
IL1RL1	ADAMTS9	0.20223743553503	undirected	IL1RL1	ADAMTS9
IL1RL1	GJA4	0.202579532161222	undirected	IL1RL1	GJA4
IL1RL1	CDKN1A	0.190493134562871	undirected	IL1RL1	CDKN1A
IL1RL1	FMOD	0.103525016847678	undirected	IL1RL1	FMOD
