fromNode	toNode	weight	direction	fromAltName	toAltName
HSPA6	HLA-DQB1	0.121301417326636	undirected	HSPA6	HLA-DQB1
HSPA6	NPC1L1	0.201446262346506	undirected	HSPA6	NPC1L1
HSPA6	HSPA1A	0.178068040076108	undirected	HSPA6	HSPA1A
HSPA6	CLEC5A	0.12399856543416	undirected	HSPA6	CLEC5A
HSPA6	GIPR	0.11287007016762	undirected	HSPA6	GIPR
HSPA6	SERPINH1	0.221795646753508	undirected	HSPA6	SERPINH1
HSPA6	CCL2	0.179819604456736	undirected	HSPA6	CCL2
HSPA6	HLA-DQA1	0.110978476632823	undirected	HSPA6	HLA-DQA1
HSPA6	C2CD4B	0.166193396382409	undirected	HSPA6	C2CD4B
HSPA6	FOSL1	0.194648356845015	undirected	HSPA6	FOSL1
HSPA6	BAG3	0.203967175195784	undirected	HSPA6	BAG3
HSPA6	C7orf61	0.184085417112994	undirected	HSPA6	C7orf61
HSPA6	LILRA4	0.11757557017157	undirected	HSPA6	LILRA4
HSPA6	TUSC5	0.13701654217696	undirected	HSPA6	TUSC5
HSPA6	ANGPT2	0.22573877882934	undirected	HSPA6	ANGPT2
HSPA6	HSPA1B	0.181828034152748	undirected	HSPA6	HSPA1B
HSPA6	ADRA2B	0.202972360791182	undirected	HSPA6	ADRA2B
HSPA6	GPR84	0.186926190296319	undirected	HSPA6	GPR84
HSPA6	RRAD	0.149237610085606	undirected	HSPA6	RRAD
HSPA6	S100A4	0.192008393594853	undirected	HSPA6	S100A4
HSPA6	HIF3A	0.107983616989601	undirected	HSPA6	HIF3A
HSPA6	NUPR1	0.207263346813996	undirected	HSPA6	NUPR1
HSPA6	HIST1H4E	0.214955658523089	undirected	HSPA6	HIST1H4E
HSPA6	TMEM150B	0.160977380634508	undirected	HSPA6	TMEM150B
HSPA6	TDGF1	0.112053994585411	undirected	HSPA6	TDGF1
HSPA6	MYBPH	0.124859273112688	undirected	HSPA6	MYBPH
HSPA6	CLDN9	0.126931947408061	undirected	HSPA6	CLDN9
HSPA6	MAFF	0.246839075004521	undirected	HSPA6	MAFF
HSPA6	FAM167B	0.226404448542272	undirected	HSPA6	FAM167B
HSPA6	TNFRSF12A	0.216450955028614	undirected	HSPA6	TNFRSF12A
HSPA6	MLKL	0.248854669284924	undirected	HSPA6	MLKL
HSPA6	EIF5AL1	0.11232099000368	undirected	HSPA6	EIF5AL1
HSPA6	AL031663.2	0.176821735826699	undirected	HSPA6	AL031663.2
HSPA6	MEF2B	0.165424317751743	undirected	HSPA6	MEF2B
HSPA6	CDA	0.206998610110168	undirected	HSPA6	CDA
HSPA6	RUNX3	0.236321627106804	undirected	HSPA6	RUNX3
HSPA6	AGAP4	0.130988481900226	undirected	HSPA6	AGAP4
HSPA6	C21orf62	0.194498404888041	undirected	HSPA6	C21orf62
HSPA6	TBX6	0.171161747400135	undirected	HSPA6	TBX6
HSPA6	LRRC71	0.127780846666412	undirected	HSPA6	LRRC71
HSPA6	P2RX7	0.132819173163094	undirected	HSPA6	P2RX7
HSPA6	SMTN	0.17597186227153	undirected	HSPA6	SMTN
HSPA6	CHST6	0.158040974248293	undirected	HSPA6	CHST6
HSPA6	HBA2	0.119905017002805	undirected	HSPA6	HBA2
HSPA6	IL32	0.167792509833289	undirected	HSPA6	IL32
HSPA6	FITM1	0.139938143598773	undirected	HSPA6	FITM1
HSPA6	DDIT4	0.173398714819249	undirected	HSPA6	DDIT4
HSPA6	CXorf28	0.130008609357665	undirected	HSPA6	CXorf28
HSPA6	CSF1	0.270285629338279	undirected	HSPA6	CSF1
HSPA6	ZNF630	0.130055042682628	undirected	HSPA6	ZNF630
HSPA6	FAM65C	0.199123356172035	undirected	HSPA6	FAM65C
HSPA6	A-575C2.4.1	0.16747342315546	undirected	HSPA6	A-575C2.4.1
HSPA6	ATOH8	0.272334422386277	undirected	HSPA6	ATOH8
HSPA6	AC020907.1	0.175023118223568	undirected	HSPA6	AC020907.1
HSPA6	PRF1	0.124128078463264	undirected	HSPA6	PRF1
HSPA6	ZC3H12A	0.205338039857793	undirected	HSPA6	ZC3H12A
HSPA6	HIC1	0.264034288025544	undirected	HSPA6	HIC1
