nodeName	altName	nodeAttr[nodesPresent, ]
FOXJ1	FOXJ1	black
HSPB1	HSPB1	black
MTRNR2L2	MTRNR2L2	black
HSD11B2	HSD11B2	black
G0S2	G0S2	black
MT1H	MT1H	black
GLI1	GLI1	black
MT-ND6	MT-ND6	black
PLIN4	PLIN4	black
RCVRN	RCVRN	black
MT1X	MT1X	black
LTA	LTA	black
DNAJB1	DNAJB1	black
MT1G	MT1G	black
SBSN	SBSN	black
SLC7A9	SLC7A9	black
ETV4	ETV4	black
MT1F	MT1F	black
CXCR4	CXCR4	black
TMPRSS6	TMPRSS6	black
HES7	HES7	black
CEL	CEL	black
RP11-433C9.2	RP11-433C9.2	black
MT2A	MT2A	black
FAM151A	FAM151A	black
FXYD3	FXYD3	black
DDIT4L	DDIT4L	black
ESPN	ESPN	black
MTRNR2L9	MTRNR2L9	black
MT1M	MT1M	black
SCXA	SCXA	black
GNRH2	GNRH2	black
TNFRSF25	TNFRSF25	black
AC135048.1	AC135048.1	black
TCAP	TCAP	black
CYP1A1	CYP1A1	black
GRHL2	GRHL2	black
SLFNL1	SLFNL1	black
LAT	LAT	black
MROH6	MROH6	black
SLC7A10	SLC7A10	black
FGF17	FGF17	black
MUC4	MUC4	black
OSGIN1	OSGIN1	black
WFIKKN1	WFIKKN1	black
MT-ND5	MT-ND5	black
GOLGA7B.1	GOLGA7B.1	black
TEKT5	TEKT5	black
MT-ND4L	MT-ND4L	black
RNF122	RNF122	black
GRIN2C	GRIN2C	black
PPP1R3G	PPP1R3G	black
C8orf12	C8orf12	black
SLC5A4	SLC5A4	black
SMO	SMO	black
ANKRD18B	ANKRD18B	black
MT-ATP8	MT-ATP8	black
MT1E	MT1E	black
CARD14	CARD14	black
PRB2	PRB2	black
STAB2	STAB2	black
OR13J1	OR13J1	black
CXorf67	CXorf67	black
GAREML	GAREML	black
OR2H2	OR2H2	black
CRYBB2	CRYBB2	black
PLK5	PLK5	black
FEZF2	FEZF2	black
A2ML1	A2ML1	black
ABCC2	ABCC2	black
CNTD2	CNTD2	black
PPEF2	PPEF2	black
NRAP	NRAP	black
CLEC18B	CLEC18B	black
SLC4A11	SLC4A11	black
CLCF1	CLCF1	black
ADAMTSL5	ADAMTSL5	black
CYP27B1	CYP27B1	black
SPTBN5	SPTBN5	black
LSMEM1	LSMEM1	black
CALML6	CALML6	black
ELK1	ELK1	black
COL5A3	COL5A3	black
TPD52L1	TPD52L1	black
CHRNA10	CHRNA10	black
FAM186A	FAM186A	black
ZGLP1	ZGLP1	black
C14orf180	C14orf180	black
NOTUM	NOTUM	black
ADCY10	ADCY10	black
EMX2	EMX2	black
SPR	SPR	black
MT-ND1	MT-ND1	black
PHF21B	PHF21B	black
SYPL2	SYPL2	black
FZD8	FZD8	black
FZD9	FZD9	black
GPR153	GPR153	black
FGFR4	FGFR4	black
KIAA1522	KIAA1522	black
CD52	CD52	black
AC002472.1	AC002472.1	black
MT-CO1	MT-CO1	black
MT-CYB	MT-CYB	black
ATP6V0A4	ATP6V0A4	black
IL17RB	IL17RB	black
CNTFR	CNTFR	black
GPR35	GPR35	black
PYGM	PYGM	black
GNB3	GNB3	black
FOXD4	FOXD4	black
FAM181B	FAM181B	black
RP11-146D12.2	RP11-146D12.2	black
KCNK12	KCNK12	black
GLIS1	GLIS1	black
MT-ND4	MT-ND4	black
ESYT3	ESYT3	black
SALL3	SALL3	black
KLKB1	KLKB1	black
ACRC	ACRC	black
SLC5A3	SLC5A3	black
BTBD17	BTBD17	black
AC139100.2	AC139100.2	black
ZNF423	ZNF423	black
MT-ND3	MT-ND3	black
SRRM5	SRRM5	black
KRTAP5-8	KRTAP5-8	black
PDLIM7	PDLIM7	black
C1QL2	C1QL2	black
CCDC151	CCDC151	black
SYTL1	SYTL1	black
OTX1	OTX1	black
FAM43B	FAM43B	black
GAS2L2	GAS2L2	black
CCDC11	CCDC11	black
SLC29A4	SLC29A4	black
SLC52A1	SLC52A1	black
DOK3	DOK3	black
MRPS6	MRPS6	black
MT-ND2	MT-ND2	black
NANOS3	NANOS3	black
CTC-360G5.1	CTC-360G5.1	black
TGM1	TGM1	black
PIK3R2.1	PIK3R2.1	black
SLC25A41	SLC25A41	black
CCNA2	CCNA2	black
NR1D1	NR1D1	black
SH2B2	SH2B2	black
C10orf111	C10orf111	black
PLK1	PLK1	black
QRICH2	QRICH2	black
AC127496.1	AC127496.1	black
ABCA7	ABCA7	black
SSC5D	SSC5D	black
RASL10B	RASL10B	black
LYPD1	LYPD1	black
COX6A2	COX6A2	black
MT-ATP6	MT-ATP6	black
SLC25A18	SLC25A18	black
PPP1R1B	PPP1R1B	black
MT3	MT3	black
HDAC10	HDAC10	black
OLFM2	OLFM2	black
AMH	AMH	black
ZNF358	ZNF358	black
TBKBP1	TBKBP1	black
