nodeName	altName	nodeAttr[nodesPresent, ]
NPAS4	NPAS4	blue
FREM3	FREM3	blue
CRH	CRH	blue
CBLN4	CBLN4	blue
SCARA5	SCARA5	blue
NEUROD6	NEUROD6	blue
HTR2C	HTR2C	blue
KLHL14	KLHL14	blue
MCHR2	MCHR2	blue
SOWAHB	SOWAHB	blue
TAC1	TAC1	blue
WIF1	WIF1	blue
CTXN3	CTXN3	blue
TMEM155	TMEM155	blue
PCSK1	PCSK1	blue
NELL1	NELL1	blue
SLC17A6	SLC17A6	blue
VGF	VGF	blue
CARTPT	CARTPT	blue
KRT222	KRT222	blue
ABCC12	ABCC12	blue
SLC32A1	SLC32A1	blue
OTOGL	OTOGL	blue
KIAA1239	KIAA1239	blue
RGS7BP	RGS7BP	blue
NEUROD1	NEUROD1	blue
C11orf87	C11orf87	blue
CNTN5	CNTN5	blue
KCNC2	KCNC2	blue
STYK1	STYK1	blue
GAD2	GAD2	blue
PCDH8	PCDH8	blue
IL1RAPL2	IL1RAPL2	blue
PNOC	PNOC	blue
AL450307.1	AL450307.1	blue
SERTM1	SERTM1	blue
OLFM3	OLFM3	blue
RAB27B	RAB27B	blue
CALB1	CALB1	blue
NLRP2	NLRP2	blue
RGS4	RGS4	blue
FBXO40	FBXO40	blue
SLC4A10	SLC4A10	blue
KCNV1	KCNV1	blue
ANKRD30B	ANKRD30B	blue
ZBBX	ZBBX	blue
PTPN3	PTPN3	blue
EGR2	EGR2	blue
RPE65	RPE65	blue
GABRG2	GABRG2	blue
SYT10	SYT10	blue
GABRA4	GABRA4	blue
GABRB2	GABRB2	blue
HTR2A	HTR2A	blue
C6orf141	C6orf141	blue
GABRA1	GABRA1	blue
SCN8A	SCN8A	blue
SYT4	SYT4	blue
C3orf80	C3orf80	blue
CPNE4	CPNE4	blue
EGR3	EGR3	blue
DRGX	DRGX	blue
CREG2	CREG2	blue
RAB3C	RAB3C	blue
DCLK3	DCLK3	blue
CHGB	CHGB	blue
TBR1	TBR1	blue
PRSS16	PRSS16	blue
ST6GALNAC5	ST6GALNAC5	blue
ADCYAP1	ADCYAP1	blue
RXFP1	RXFP1	blue
VIP	VIP	blue
ANO3	ANO3	blue
PARM1	PARM1	blue
C17orf102	C17orf102	blue
PTH2R	PTH2R	blue
GPR22	GPR22	blue
TCERG1L	TCERG1L	blue
NRG1	NRG1	blue
VSTM2A	VSTM2A	blue
RTP1	RTP1	blue
ENC1	ENC1	blue
SLC27A2	SLC27A2	blue
GLRA3	GLRA3	blue
EPHA5	EPHA5	blue
ADRA1D	ADRA1D	blue
KCNQ5	KCNQ5	blue
TRHDE	TRHDE	blue
FAM19A1	FAM19A1	blue
KCNH5	KCNH5	blue
SYT1	SYT1	blue
PTHLH	PTHLH	blue
GAD1	GAD1	blue
MAP7D2	MAP7D2	blue
SMN2	SMN2	blue
AMY2A	AMY2A	blue
MYB	MYB	blue
