nodeName	altName	nodeAttr[nodesPresent, ]
IL1RL1	IL1RL1	brown
SERPINA3	SERPINA3	brown
ACTG2	ACTG2	brown
DES	DES	brown
CSF3	CSF3	brown
HLA-DRB5	HLA-DRB5	brown
OGN	OGN	brown
PLN	PLN	brown
STC1	STC1	brown
SOCS3	SOCS3	brown
S100A8	S100A8	brown
GPRC5A	GPRC5A	brown
CD163	CD163	brown
MYH11	MYH11	brown
S100A9	S100A9	brown
CHI3L2	CHI3L2	brown
APOL4	APOL4	brown
RGS1	RGS1	brown
MARCO	MARCO	brown
CP	CP	brown
COL3A1	COL3A1	brown
IL8	IL8	brown
IL6	IL6	brown
SLPI	SLPI	brown
HAMP	HAMP	brown
SERPINE1	SERPINE1	brown
COL8A1	COL8A1	brown
CLEC4E	CLEC4E	brown
CES1	CES1	brown
CXCL1	CXCL1	brown
TTR	TTR	brown
MGP	MGP	brown
PCK1	PCK1	brown
CD177	CD177	brown
SELE	SELE	brown
ADH1B	ADH1B	brown
COL1A1	COL1A1	brown
SLC1A7	SLC1A7	brown
C4A	C4A	brown
IL18R1	IL18R1	brown
FPR1	FPR1	brown
TMPRSS3	TMPRSS3	brown
ACTA2	ACTA2	brown
SLC11A1	SLC11A1	brown
MPZL2	MPZL2	brown
C7	C7	brown
KRT18	KRT18	brown
SLC16A12	SLC16A12	brown
MMRN1	MMRN1	brown
C4B	C4B	brown
CHI3L1	CHI3L1	brown
STEAP4	STEAP4	brown
MYOCD	MYOCD	brown
CD93	CD93	brown
COL6A3	COL6A3	brown
GJB6	GJB6	brown
C10orf10	C10orf10	brown
GDF15	GDF15	brown
C1orf87	C1orf87	brown
KCNE4	KCNE4	brown
PLA1A	PLA1A	brown
BCL2A1	BCL2A1	brown
CASQ2	CASQ2	brown
MYL9	MYL9	brown
FOXC2	FOXC2	brown
TNFRSF10D	TNFRSF10D	brown
TYMP	TYMP	brown
GPR4	GPR4	brown
SIX1	SIX1	brown
SECTM1	SECTM1	brown
MT1A	MT1A	brown
LRG1	LRG1	brown
TBX18	TBX18	brown
CXCL10	CXCL10	brown
COL14A1	COL14A1	brown
FOS	FOS	brown
CCL4	CCL4	brown
ZFP36	ZFP36	brown
FHL5	FHL5	brown
ANGPTL4	ANGPTL4	brown
IL1B	IL1B	brown
SIX3	SIX3	brown
JPH2	JPH2	brown
TNFRSF11B	TNFRSF11B	brown
SLCO4A1	SLCO4A1	brown
CXCL2	CXCL2	brown
RGR	RGR	brown
ITGA5	ITGA5	brown
ADM	ADM	brown
GPR183	GPR183	brown
KRT19	KRT19	brown
PDLIM1	PDLIM1	brown
EGFLAM	EGFLAM	brown
IL4R	IL4R	brown
HBB	HBB	brown
TMEM30B	TMEM30B	brown
MLPH	MLPH	brown
KCNMB1	KCNMB1	brown
GJB2	GJB2	brown
ADAMTS9	ADAMTS9	brown
GJA4	GJA4	brown
CDKN1A	CDKN1A	brown
LCN6	LCN6	brown
FMOD	FMOD	brown
CYP4B1	CYP4B1	brown
DSP	DSP	brown
TAGLN	TAGLN	brown
MYO1G	MYO1G	brown
EMP1	EMP1	brown
ECM2	ECM2	brown
YBX3	YBX3	brown
IFITM2	IFITM2	brown
IL1R1	IL1R1	brown
GABRE	GABRE	brown
VCAM1	VCAM1	brown
FAM129A	FAM129A	brown
FAM20A	FAM20A	brown
COL1A2	COL1A2	brown
CD69	CD69	brown
ALX4	ALX4	brown
AEBP1	AEBP1	brown
THBS1	THBS1	brown
MFAP4	MFAP4	brown
SRPX2	SRPX2	brown
CYP1B1	CYP1B1	brown
MEDAG	MEDAG	brown
KCNJ13	KCNJ13	brown
TBX15	TBX15	brown
TGM2	TGM2	brown
TIMP1	TIMP1	brown
CYP21A2	CYP21A2	brown
LYVE1	LYVE1	brown
AOC3	AOC3	brown
ASPN	ASPN	brown
C11orf96	C11orf96	brown
ICAM1	ICAM1	brown
MRC1L1	MRC1L1	brown
GJA5	GJA5	brown
BATF	BATF	brown
VGLL3	VGLL3	brown
GPX8	GPX8	brown
F13A1	F13A1	brown
SLC52A3	SLC52A3	brown
