nodeName	altName	nodeAttr[nodesPresent, ]
HLA-DQB2	HLA-DQB2	green
VSIG4	VSIG4	green
FCGBP	FCGBP	green
LTF	LTF	green
SFN	SFN	green
RNASE2	RNASE2	green
SCIN	SCIN	green
CD44	CD44	green
C1QC	C1QC	green
SULT1C2	SULT1C2	green
SERPINA5	SERPINA5	green
SERPINA1	SERPINA1	green
C1QB	C1QB	green
FCGR2B	FCGR2B	green
HLA-DQA2	HLA-DQA2	green
MS4A6A	MS4A6A	green
SIGLEC9	SIGLEC9	green
MTRNR2L8	MTRNR2L8	green
C1QA	C1QA	green
SIGLEC14	SIGLEC14	green
FCGR3A	FCGR3A	green
PTPN7	PTPN7	green
CYP4F12	CYP4F12	green
VENTX	VENTX	green
SNX20	SNX20	green
APLNR	APLNR	green
SLC1A5	SLC1A5	green
CCL3	CCL3	green
MSR1	MSR1	green
FYB	FYB	green
ALOX5AP	ALOX5AP	green
FCGR2A	FCGR2A	green
IGF2	IGF2	green
SLC14A1	SLC14A1	green
CCR5	CCR5	green
TGFBI	TGFBI	green
FPR3	FPR3	green
ITGB4	ITGB4	green
SAMD11	SAMD11	green
CD14	CD14	green
SIGLEC8	SIGLEC8	green
PIRT	PIRT	green
C3	C3	green
STAB1	STAB1	green
MS4A4A	MS4A4A	green
LILRB5	LILRB5	green
KLHL6	KLHL6	green
SPTLC3	SPTLC3	green
FCGR1A	FCGR1A	green
RHBDF2	RHBDF2	green
RNASE3	RNASE3	green
CD180	CD180	green
LILRB1	LILRB1	green
LYZ	LYZ	green
CD86	CD86	green
ITGB2	ITGB2	green
ELF4	ELF4	green
LAIR1	LAIR1	green
C3AR1	C3AR1	green
RBM47	RBM47	green
SIRPB2	SIRPB2	green
EBI3	EBI3	green
SELL	SELL	green
LRRC25	LRRC25	green
CCR1	CCR1	green
GFAP	GFAP	green
SIGLEC1	SIGLEC1	green
FCER1G	FCER1G	green
HMOX1	HMOX1	green
SASH3	SASH3	green
HCK	HCK	green
IRF8	IRF8	green
SIGLEC10	SIGLEC10	green
PARVG	PARVG	green
EMR2	EMR2	green
HCLS1	HCLS1	green
CD37	CD37	green
ODF3B	ODF3B	green
SLC51B	SLC51B	green
SPI1	SPI1	green
APOC4	APOC4	green
IL18	IL18	green
LILRA2	LILRA2	green
TREM2	TREM2	green
RGS18	RGS18	green
HLA-DRA	HLA-DRA	green
OTOS	OTOS	green
COL8A2	COL8A2	green
FGD2	FGD2	green
CD300A	CD300A	green
CSF1R	CSF1R	green
HSPG2	HSPG2	green
NCF4	NCF4	green
KIAA0754	KIAA0754	green
NCF2	NCF2	green
WFIKKN2	WFIKKN2	green
RASAL3	RASAL3	green
MAP3K19	MAP3K19	green
TNFAIP8L2	TNFAIP8L2	green
ARHGEF5	ARHGEF5	green
IKZF1	IKZF1	green
PTPRC	PTPRC	green
LILRA1	LILRA1	green
FOLR2	FOLR2	green
MS4A14	MS4A14	green
ALOX5	ALOX5	green
SPN	SPN	green
NCKAP1L	NCKAP1L	green
CD74	CD74	green
FCGR1B	FCGR1B	green
NCF1	NCF1	green
ABI3	ABI3	green
LILRA6	LILRA6	green
SYK	SYK	green
GPR65	GPR65	green
ATF3	ATF3	green
TLR7	TLR7	green
TLR2	TLR2	green
LCP1	LCP1	green
SH3TC1	SH3TC1	green
MS4A7	MS4A7	green
LAT2	LAT2	green
CCR7	CCR7	green
PTAFR	PTAFR	green
RUNX1	RUNX1	green
MMP14	MMP14	green
SLC2A5	SLC2A5	green
HLA-DRB1	HLA-DRB1	green
TMEM119	TMEM119	green
TYROBP	TYROBP	green
LILRB2	LILRB2	green
LILRB4	LILRB4	green
ARL11	ARL11	green
DLEC1	DLEC1	green
CD33	CD33	green
LPAR5	LPAR5	green
C5AR1	C5AR1	green
HPGDS	HPGDS	green
LAPTM5	LAPTM5	green
