nodeName	altName	nodeAttr[nodesPresent, ]
MTRNR2L12	MTRNR2L12	pink
SIRPB1	SIRPB1	pink
P2RY1	P2RY1	pink
PLEKHM3	PLEKHM3	pink
TNR	TNR	pink
ZKSCAN8	ZKSCAN8	pink
CX3CR1	CX3CR1	pink
CEBPA	CEBPA	pink
VWA5B1	VWA5B1	pink
KLHL11	KLHL11	pink
CTB-50L17.14	CTB-50L17.14	pink
SMCR8	SMCR8	pink
SHISA6	SHISA6	pink
B3GALT1	B3GALT1	pink
CDR1	CDR1	pink
FAM196B	FAM196B	pink
ZDHHC20	ZDHHC20	pink
PCDHA13	PCDHA13	pink
PCDHA10	PCDHA10	pink
RP11-831H9.16	RP11-831H9.16	pink
AC021860.1	AC021860.1	pink
SOCS7	SOCS7	pink
RNF43	RNF43	pink
AP001468.1	AP001468.1	pink
ERN1	ERN1	pink
KLHL28	KLHL28	pink
C1orf111	C1orf111	pink
ACBD7	ACBD7	pink
P2RY12	P2RY12	pink
CTC-203F4.1	CTC-203F4.1	pink
RAD54L2	RAD54L2	pink
ZFP92	ZFP92	pink
IRS4	IRS4	pink
ZNF221	ZNF221	pink
AC026740.1	AC026740.1	pink
ESRP2	ESRP2	pink
PCDHA7	PCDHA7	pink
PNPLA3	PNPLA3	pink
SLX4IP	SLX4IP	pink
C1orf132	C1orf132	pink
PCDHA3	PCDHA3	pink
AC024580.1	AC024580.1	pink
CDHR5	CDHR5	pink
EFR3B	EFR3B	pink
GOLGA8R	GOLGA8R	pink
TRPV1	TRPV1	pink
USP37	USP37	pink
FLJ00418	FLJ00418	pink
SPATC1	SPATC1	pink
WBSCR27	WBSCR27	pink
CDYL2	CDYL2	pink
PCDHGB3	PCDHGB3	pink
EHF	EHF	pink
AC096677.1	AC096677.1	pink
ADCY7	ADCY7	pink
GNL3L	GNL3L	pink
PCDHGA6	PCDHGA6	pink
PCDHGA2	PCDHGA2	pink
EBLN2	EBLN2	pink
NTN3	NTN3	pink
AL627309.1	AL627309.1	pink
GPR75	GPR75	pink
KIAA1211	KIAA1211	pink
POU3F4	POU3F4	pink
PCDHGC3	PCDHGC3	pink
APOOL	APOOL	pink
PVRIG	PVRIG	pink
CACNG5	CACNG5	pink
NEU3	NEU3	pink
RTEL1	RTEL1	pink
GPR89B	GPR89B	pink
ZBTB16	ZBTB16	pink
SGK494	SGK494	pink
AC132872.2	AC132872.2	pink
C5AR2	C5AR2	pink
PCDHGA3	PCDHGA3	pink
ZNF281	ZNF281	pink
PCDHGB1	PCDHGB1	pink
PCDHGA7	PCDHGA7	pink
B3GALT5	B3GALT5	pink
SLC12A6	SLC12A6	pink
PCDHGA11	PCDHGA11	pink
PGBD4	PGBD4	pink
MPEG1	MPEG1	pink
PCDHGA9	PCDHGA9	pink
MYO7B	MYO7B	pink
C15orf37	C15orf37	pink
PCDHGB7	PCDHGB7	pink
MGAT2	MGAT2	pink
PCDHGA10	PCDHGA10	pink
PCDHGB2	PCDHGB2	pink
ZNF699	ZNF699	pink
PCDHA2	PCDHA2	pink
TBC1D10C	TBC1D10C	pink
TSSK4	TSSK4	pink
AL133216.1	AL133216.1	pink
TRIM44	TRIM44	pink
AASS	AASS	pink
TRPM3	TRPM3	pink
PTPRJ	PTPRJ	pink
NHSL2	NHSL2	pink
HEPACAM	HEPACAM	pink
SPRED3	SPRED3	pink
SYNPO2L	SYNPO2L	pink
SERINC5	SERINC5	pink
PCDHGA4	PCDHGA4	pink
PCDHGA1	PCDHGA1	pink
MROH7	MROH7	pink
ZNF70	ZNF70	pink
ZNF264	ZNF264	pink
ZNF770	ZNF770	pink
GOLGA8M	GOLGA8M	pink
FLCN.1	FLCN.1	pink
ESR2	ESR2	pink
CYP51A1	CYP51A1	pink
INE1	INE1	pink
ZC3HAV1L	ZC3HAV1L	pink
ASAP2	ASAP2	pink
MAVS	MAVS	pink
ZNF23	ZNF23	pink
ADRA1A	ADRA1A	pink
PDPR	PDPR	pink
KCNJ5	KCNJ5	pink
TXNDC5	TXNDC5	pink
TAS2R5	TAS2R5	pink
KLHDC10	KLHDC10	pink
ZNF597	ZNF597	pink
FAM71F2	FAM71F2	pink
RP11-159G9.5	RP11-159G9.5	pink
TBC1D5	TBC1D5	pink
NFAT5	NFAT5	pink
PCDHGB4	PCDHGB4	pink
HPSE	HPSE	pink
PAG1	PAG1	pink
SEC14L6	SEC14L6	pink
RSPH3	RSPH3	pink
FTO	FTO	pink
C16orf96	C16orf96	pink
MARCH6	MARCH6	pink
VMAC	VMAC	pink
ZNF426	ZNF426	pink
PDE3B	PDE3B	pink
PHIP	PHIP	pink
ALG11	ALG11	pink
ERV3-1	ERV3-1	pink
RNF169	RNF169	pink
ZNF778	ZNF778	pink
DNAH10	DNAH10	pink
MYO18A	MYO18A	pink
SGPP2	SGPP2	pink
DDX6	DDX6	pink
JMJD7-PLA2G4B	JMJD7-PLA2G4B	pink
SPNS3	SPNS3	pink
TSTD2	TSTD2	pink
USP32	USP32	pink
AC019206.1	AC019206.1	pink
