nodeName	altName	nodeAttr[nodesPresent, ]
HSPA6	HSPA6	red
HLA-DQB1	HLA-DQB1	red
NPC1L1	NPC1L1	red
HSPA1A	HSPA1A	red
CLEC5A	CLEC5A	red
GIPR	GIPR	red
SERPINH1	SERPINH1	red
CCL2	CCL2	red
HLA-DQA1	HLA-DQA1	red
C2CD4B	C2CD4B	red
FOSL1	FOSL1	red
BAG3	BAG3	red
C7orf61	C7orf61	red
LILRA4	LILRA4	red
TUSC5	TUSC5	red
ANGPT2	ANGPT2	red
HSPA1B	HSPA1B	red
ADRA2B	ADRA2B	red
GPR84	GPR84	red
RRAD	RRAD	red
S100A4	S100A4	red
HIF3A	HIF3A	red
NUPR1	NUPR1	red
HIST1H4E	HIST1H4E	red
TMEM150B	TMEM150B	red
TDGF1	TDGF1	red
MYBPH	MYBPH	red
CLDN9	CLDN9	red
MAFF	MAFF	red
FAM167B	FAM167B	red
TNFRSF12A	TNFRSF12A	red
MLKL	MLKL	red
EIF5AL1	EIF5AL1	red
AL031663.2	AL031663.2	red
MEF2B	MEF2B	red
CDA	CDA	red
RUNX3	RUNX3	red
AGAP4	AGAP4	red
C21orf62	C21orf62	red
TBX6	TBX6	red
LRRC71	LRRC71	red
THNSL2	THNSL2	red
P2RX7	P2RX7	red
SMTN	SMTN	red
CHST6	CHST6	red
HBA2	HBA2	red
IL32	IL32	red
FITM1	FITM1	red
DDIT4	DDIT4	red
CXorf28	CXorf28	red
CSF1	CSF1	red
ZNF630	ZNF630	red
FAM65C	FAM65C	red
A-575C2.4.1	A-575C2.4.1	red
ATOH8	ATOH8	red
NPW	NPW	red
AC020907.1	AC020907.1	red
PRF1	PRF1	red
ZC3H12A	ZC3H12A	red
CCDC17	CCDC17	red
HIC1	HIC1	red
SERPINF2	SERPINF2	red
C10orf85	C10orf85	red
HBA1	HBA1	red
GNLY	GNLY	red
TRIP10	TRIP10	red
APOBR	APOBR	red
TEKT4	TEKT4	red
KLK14	KLK14	red
C4orf48	C4orf48	red
NPIPL1	NPIPL1	red
CELSR1	CELSR1	red
NFKB2	NFKB2	red
EVC2	EVC2	red
LRRC3DN	LRRC3DN	red
TEAD2	TEAD2	red
ITPKB	ITPKB	red
RP11-59H1.3	RP11-59H1.3	red
IRF7	IRF7	red
ACSM1	ACSM1	red
AL138781.1	AL138781.1	red
RP11-1212A22.2	RP11-1212A22.2	red
HIST1H1C	HIST1H1C	red
SLC23A3	SLC23A3	red
LRRC37A	LRRC37A	red
STC2	STC2	red
MYRFL	MYRFL	red
PRRG4	PRRG4	red
