nodeName	altName	nodeAttr[nodesPresent, ]
CNGB1	CNGB1	turquoise
C1QL3	C1QL3	turquoise
HS6ST3	HS6ST3	turquoise
NXPH2	NXPH2	turquoise
SLC30A3	SLC30A3	turquoise
GRM5	GRM5	turquoise
CHRNA2	CHRNA2	turquoise
HTR1A	HTR1A	turquoise
CDKL5	CDKL5	turquoise
PADI4	PADI4	turquoise
KRT5	KRT5	turquoise
DNAJC5G	DNAJC5G	turquoise
SV2C	SV2C	turquoise
PPM1E	PPM1E	turquoise
TESPA1	TESPA1	turquoise
PVALB	PVALB	turquoise
RGS8	RGS8	turquoise
PCDHAC2	PCDHAC2	turquoise
PLCXD2	PLCXD2	turquoise
SLC17A7	SLC17A7	turquoise
MEPE	MEPE	turquoise
PENK	PENK	turquoise
GCNT4	GCNT4	turquoise
CHRM4	CHRM4	turquoise
CUX2	CUX2	turquoise
HTR3B	HTR3B	turquoise
SLC6A7	SLC6A7	turquoise
PCDHGC5	PCDHGC5	turquoise
PROKR2	PROKR2	turquoise
FBLN7	FBLN7	turquoise
WNT1	WNT1	turquoise
CDH7	CDH7	turquoise
ASAH2	ASAH2	turquoise
EGR4	EGR4	turquoise
SCRT2	SCRT2	turquoise
ROS1	ROS1	turquoise
GPR6	GPR6	turquoise
SST	SST	turquoise
KIAA0087	KIAA0087	turquoise
PNMA6C	PNMA6C	turquoise
TNNT2	TNNT2	turquoise
FRRS1L	FRRS1L	turquoise
C4orf50	C4orf50	turquoise
EMX1	EMX1	turquoise
KCNH1	KCNH1	turquoise
KCNS1	KCNS1	turquoise
ACY3	ACY3	turquoise
CCDC177.1	CCDC177.1	turquoise
DMRT3	DMRT3	turquoise
MTUS2	MTUS2	turquoise
NEFH	NEFH	turquoise
GPR26	GPR26	turquoise
IGFN1	IGFN1	turquoise
LINGO2	LINGO2	turquoise
TRIM54	TRIM54	turquoise
NMU	NMU	turquoise
SLC22A6	SLC22A6	turquoise
MYLK3	MYLK3	turquoise
PAX7	PAX7	turquoise
OR14I1	OR14I1	turquoise
SVOP	SVOP	turquoise
KLK7	KLK7	turquoise
TACR1	TACR1	turquoise
NCR3LG1	NCR3LG1	turquoise
PCDHAC1	PCDHAC1	turquoise
CNTNAP5	CNTNAP5	turquoise
