nodeName	altName	nodeAttr[nodesPresent, ]
ADAMTS18	ADAMTS18	yellow
OR7A5	OR7A5	yellow
AQP1	AQP1	yellow
KIF19	KIF19	yellow
C10orf105	C10orf105	yellow
IP6K3	IP6K3	yellow
TMEM88B	TMEM88B	yellow
SLC5A11	SLC5A11	yellow
NKX6-2	NKX6-2	yellow
CPA2	CPA2	yellow
CD22	CD22	yellow
KLK6	KLK6	yellow
CRYBG3.1	CRYBG3.1	yellow
FXYD4	FXYD4	yellow
AZGP1	AZGP1	yellow
NIPAL4	NIPAL4	yellow
DMBT1	DMBT1	yellow
TSPAN8	TSPAN8	yellow
ADAMTS4	ADAMTS4	yellow
CARNS1	CARNS1	yellow
LRP2	LRP2	yellow
TNC	TNC	yellow
LSMEM2	LSMEM2	yellow
SLC45A3	SLC45A3	yellow
HOXD1	HOXD1	yellow
MAG	MAG	yellow
S1PR5	S1PR5	yellow
BTBD16	BTBD16	yellow
ADAMTS14	ADAMTS14	yellow
FA2H	FA2H	yellow
MOBP	MOBP	yellow
CFTR	CFTR	yellow
DMRTA2	DMRTA2	yellow
GPIHBP1	GPIHBP1	yellow
MBP	MBP	yellow
SMIM6	SMIM6	yellow
ZFP57	ZFP57	yellow
SEPT12	SEPT12	yellow
TREH	TREH	yellow
C18orf56	C18orf56	yellow
GJB1	GJB1	yellow
TMEM125	TMEM125	yellow
FOLH1	FOLH1	yellow
TF	TF	yellow
FFAR1	FFAR1	yellow
TMEM235	TMEM235	yellow
CR1	CR1	yellow
PIEZO2	PIEZO2	yellow
GPR62	GPR62	yellow
LRRC63	LRRC63	yellow
GALNT6	GALNT6	yellow
LPAR4	LPAR4	yellow
PPP1R14A	PPP1R14A	yellow
PPAP2C	PPAP2C	yellow
NGFR	NGFR	yellow
PRIMA1	PRIMA1	yellow
CLCA2	CLCA2	yellow
MOG	MOG	yellow
MAGEC3	MAGEC3	yellow
CTNNA3	CTNNA3	yellow
SPP1	SPP1	yellow
ST18	ST18	yellow
FIBCD1	FIBCD1	yellow
ANLN	ANLN	yellow
MYRF	MYRF	yellow
HLA-DOB	HLA-DOB	yellow
RBP7	RBP7	yellow
ANKRD18A	ANKRD18A	yellow
SH3TC2	SH3TC2	yellow
CRYAB	CRYAB	yellow
C21orf37	C21orf37	yellow
NME8	NME8	yellow
ICOSLG	ICOSLG	yellow
KCNH8	KCNH8	yellow
DUOX2	DUOX2	yellow
CERCAM	CERCAM	yellow
TMEM144	TMEM144	yellow
SMIM5	SMIM5	yellow
TRPV5	TRPV5	yellow
HAPLN2	HAPLN2	yellow
EVI2A	EVI2A	yellow
CYP4F3	CYP4F3	yellow
TMEM63A	TMEM63A	yellow
TRIM59	TRIM59	yellow
GLDN	GLDN	yellow
OPALIN	OPALIN	yellow
CDC42EP1	CDC42EP1	yellow
BOK	BOK	yellow
NINJ2	NINJ2	yellow
ERMN	ERMN	yellow
DMRT2	DMRT2	yellow
UGT8	UGT8	yellow
MAL	MAL	yellow
SLC26A9	SLC26A9	yellow
POU2AF1	POU2AF1	yellow
ASPA	ASPA	yellow
PLP1	PLP1	yellow
PCSK6	PCSK6	yellow
LPAR1	LPAR1	yellow
CMTM5	CMTM5	yellow
HSD17B3	HSD17B3	yellow
PRR18	PRR18	yellow
BCAS1	BCAS1	yellow
GNG8	GNG8	yellow
ABCA8	ABCA8	yellow
TMC6	TMC6	yellow
USH1C	USH1C	yellow
HSPA2	HSPA2	yellow
PTPRH	PTPRH	yellow
CA14	CA14	yellow
BIRC5	BIRC5	yellow
ERBB3	ERBB3	yellow
TGFB3	TGFB3	yellow
GREM1	GREM1	yellow
SGK2	SGK2	yellow
DOCK5	DOCK5	yellow
LGR5	LGR5	yellow
SOX10	SOX10	yellow
TSPAN15	TSPAN15	yellow
C10orf90	C10orf90	yellow
CDH19	CDH19	yellow
LDB3	LDB3	yellow
ENPP2	ENPP2	yellow
CLDN11	CLDN11	yellow
PI16	PI16	yellow
GJC2	GJC2	yellow
TMEM139	TMEM139	yellow
PLEKHH1	PLEKHH1	yellow
FAM107B	FAM107B	yellow
C5orf27	C5orf27	yellow
CAPN3	CAPN3	yellow
AL078585.1	AL078585.1	yellow
RTKN	RTKN	yellow
SLC24A2	SLC24A2	yellow
LDLRAP1	LDLRAP1	yellow
CAPN13	CAPN13	yellow
PAIP2B	PAIP2B	yellow
EN2	EN2	yellow
ITGB8	ITGB8	yellow
GDNF	GDNF	yellow
EFHD1	EFHD1	yellow
CLCA4	CLCA4	yellow
ABCA6	ABCA6	yellow
CNDP1	CNDP1	yellow
C10orf128	C10orf128	yellow
C21orf91	C21orf91	yellow
WDR49	WDR49	yellow
DFNB31	DFNB31	yellow
KIF1C	KIF1C	yellow
CDKN1C	CDKN1C	yellow
MGC10955	MGC10955	yellow
P2RX1	P2RX1	yellow
SLC31A2	SLC31A2	yellow
SLCO1A2	SLCO1A2	yellow
TMPRSS5	TMPRSS5	yellow
PAPL	PAPL	yellow
HHIP	HHIP	yellow
CNP	CNP	yellow
DAO	DAO	yellow
CHST3	CHST3	yellow
GPR37	GPR37	yellow
PLLP	PLLP	yellow
CDK18	CDK18	yellow
SRMS	SRMS	yellow
TP53TG5	TP53TG5	yellow
DUOXA1	DUOXA1	yellow
DBNDD2	DBNDD2	yellow
RASGRP3	RASGRP3	yellow
PLXNB3	PLXNB3	yellow
FRMD4B	FRMD4B	yellow
COL4A5	COL4A5	yellow
ERAP2	ERAP2	yellow
TP53INP2	TP53INP2	yellow
CNTN2	CNTN2	yellow
AC069547.1	AC069547.1	yellow
RHOG	RHOG	yellow
TMEM98	TMEM98	yellow
CYB5R2	CYB5R2	yellow
CCDC122	CCDC122	yellow
VWA3B	VWA3B	yellow
CECR2	CECR2	yellow
FLNC	FLNC	yellow
HPN	HPN	yellow
DNAJC22	DNAJC22	yellow
TFEB	TFEB	yellow
LIPE	LIPE	yellow
SLC4A9	SLC4A9	yellow
PLEKHG3	PLEKHG3	yellow
C9orf139	C9orf139	yellow
TYMS	TYMS	yellow
TTYH2	TTYH2	yellow
NDE1	NDE1	yellow
KEL	KEL	yellow
DNAH17	DNAH17	yellow
VWA1	VWA1	yellow
FAM222A	FAM222A	yellow
RNASE1	RNASE1	yellow
RCAN3	RCAN3	yellow
GAL3ST1	GAL3ST1	yellow
CLMN	CLMN	yellow
DAAM2	DAAM2	yellow
SHISA2	SHISA2	yellow
FAM178B	FAM178B	yellow
PLIN3	PLIN3	yellow
LACC1	LACC1	yellow
SYNE3	SYNE3	yellow
PAQR6	PAQR6	yellow
KLRC2	KLRC2	yellow
DYSF	DYSF	yellow
RP11-12J10.3	RP11-12J10.3	yellow
SPOCD1	SPOCD1	yellow
BEST1	BEST1	yellow
HIST1H2AC	HIST1H2AC	yellow
CYP27A1	CYP27A1	yellow
CHADL	CHADL	yellow
TMEM171	TMEM171	yellow
KIAA1755	KIAA1755	yellow
GMNC	GMNC	yellow
SHROOM4	SHROOM4	yellow
HMSD	HMSD	yellow
SH2D6	SH2D6	yellow
ADARB2	ADARB2	yellow
PHLDB1	PHLDB1	yellow
DEPDC7	DEPDC7	yellow
ELOVL1	ELOVL1	yellow
ENOSF1	ENOSF1	yellow
WFDC3	WFDC3	yellow
PRR5L	PRR5L	yellow
C1orf110	C1orf110	yellow
SEPP1	SEPP1	yellow
ABCA2	ABCA2	yellow
ATP10B	ATP10B	yellow
LGALS4	LGALS4	yellow
MYOT	MYOT	yellow
CYP7B1	CYP7B1	yellow
TACR3	TACR3	yellow
C5orf64	C5orf64	yellow
CAPS	CAPS	yellow
ENPP6	ENPP6	yellow
TRPM6	TRPM6	yellow
SERPINI2	SERPINI2	yellow
ZDHHC11	ZDHHC11	yellow
CPM	CPM	yellow
COL9A2	COL9A2	yellow
CHST9	CHST9	yellow
NHLH2	NHLH2	yellow
ADA	ADA	yellow
KIF6	KIF6	yellow
TJAP1	TJAP1	yellow
CTSL2	CTSL2	yellow
CCNB3	CCNB3	yellow
SFRP1	SFRP1	yellow
CAPN9	CAPN9	yellow
ITGA2	ITGA2	yellow
EFNA1	EFNA1	yellow
SLC6A9	SLC6A9	yellow
PIP4K2A	PIP4K2A	yellow
GLTP	GLTP	yellow
SHC4	SHC4	yellow
CREB5	CREB5	yellow
AGMO	AGMO	yellow
PLEKHF1	PLEKHF1	yellow
LHPP	LHPP	yellow
VRK2	VRK2	yellow
MND1	MND1	yellow
KIAA0101	KIAA0101	yellow
SOX8	SOX8	yellow
PLD1	PLD1	yellow
SEPT4	SEPT4	yellow
RNF125	RNF125	yellow
ZNF536	ZNF536	yellow
FCRLA	FCRLA	yellow
TNFAIP6	TNFAIP6	yellow
PDE11A	PDE11A	yellow
ARRDC2	ARRDC2	yellow
ALDH3A1	ALDH3A1	yellow
KANK4	KANK4	yellow
DNAH12	DNAH12	yellow
ERVW-1	ERVW-1	yellow
LGALS3BP	LGALS3BP	yellow
FRK	FRK	yellow
CD9	CD9	yellow
SLC44A1	SLC44A1	yellow
DRD4	DRD4	yellow
TPRN	TPRN	yellow
SGMS2	SGMS2	yellow
TSPAN19	TSPAN19	yellow
PTK6	PTK6	yellow
CLDND1	CLDND1	yellow
MYO1D	MYO1D	yellow
UNC5CL	UNC5CL	yellow
NEK3	NEK3	yellow
C4orf26	C4orf26	yellow
RAPGEF3	RAPGEF3	yellow
RP11-89K11.1	RP11-89K11.1	yellow
CPB2	CPB2	yellow
CDNF	CDNF	yellow
LRRC1	LRRC1	yellow
TMC7	TMC7	yellow
SGK1	SGK1	yellow
RHOU	RHOU	yellow
EFS	EFS	yellow
HHATL	HHATL	yellow
AIF1L	AIF1L	yellow
SYNGR2	SYNGR2	yellow
TCP11L2	TCP11L2	yellow
SEMA4D	SEMA4D	yellow
SCD	SCD	yellow
CDC20	CDC20	yellow
DOCK10	DOCK10	yellow
CDKN2A	CDKN2A	yellow
APOA1	APOA1	yellow
TMCC3	TMCC3	yellow
NKX2-2	NKX2-2	yellow
TMTC2	TMTC2	yellow
GJC3	GJC3	yellow
TMEM31	TMEM31	yellow
HIP1	HIP1	yellow
COL9A3	COL9A3	yellow
PLA2G16	PLA2G16	yellow
HSD11B1	HSD11B1	yellow
ANGPTL2	ANGPTL2	yellow
PMP22	PMP22	yellow
LITAF	LITAF	yellow
HEY2	HEY2	yellow
PREX1	PREX1	yellow
ARHGEF37	ARHGEF37	yellow
SLC35D2	SLC35D2	yellow
IL1RAPL1	IL1RAPL1	yellow
C1QL4	C1QL4	yellow
NDRG1	NDRG1	yellow
TJP2	TJP2	yellow
SUN2	SUN2	yellow
PADI2	PADI2	yellow
SLC16A8	SLC16A8	yellow
TGFA	TGFA	yellow
RASSF2	RASSF2	yellow
CCDC163P	CCDC163P	yellow
FAM53A	FAM53A	yellow
PPFIBP2	PPFIBP2	yellow
SLAIN1	SLAIN1	yellow
AMER2	AMER2	yellow
KCNJ2	KCNJ2	yellow
PDE6B	PDE6B	yellow
CNKSR3	CNKSR3	yellow
MYO1E	MYO1E	yellow
TMEM206	TMEM206	yellow
WIPF1	WIPF1	yellow
HN1L	HN1L	yellow
CTD-3088G3.8	CTD-3088G3.8	yellow
FGF1	FGF1	yellow
ZNF676	ZNF676	yellow
SHROOM1	SHROOM1	yellow
MKRN3	MKRN3	yellow
ANXA9	ANXA9	yellow
NPC1	NPC1	yellow
LAMP2	LAMP2	yellow
RHBDL2	RHBDL2	yellow
ZNF311	ZNF311	yellow
TPPP3	TPPP3	yellow
TEX14	TEX14	yellow
MAN2A1	MAN2A1	yellow
OLIG2	OLIG2	yellow
SPATA22	SPATA22	yellow
TMTC4	TMTC4	yellow
CD226	CD226	yellow
QDPR	QDPR	yellow
KLRC3	KLRC3	yellow
OLIG1	OLIG1	yellow
KIF13B	KIF13B	yellow
MPL	MPL	yellow
MYO9B	MYO9B	yellow
PXK	PXK	yellow
EME1	EME1	yellow
C9orf170	C9orf170	yellow
DPYSL5	DPYSL5	yellow
SPATA13	SPATA13	yellow
PDE8A	PDE8A	yellow
GLIPR1L2	GLIPR1L2	yellow
PTPRCAP	PTPRCAP	yellow
CYP2J2	CYP2J2	yellow
SREBF1	SREBF1	yellow
KCTD4	KCTD4	yellow
PPAPDC1A	PPAPDC1A	yellow
AKAP3	AKAP3	yellow
EDIL3	EDIL3	yellow
SRPK3	SRPK3	yellow
NAIP	NAIP	yellow
RP11-81K2.1	RP11-81K2.1	yellow
THBS2	THBS2	yellow
CA2	CA2	yellow
GLIPR2	GLIPR2	yellow
TIAF1	TIAF1	yellow
TBC1D2	TBC1D2	yellow
CPNE2	CPNE2	yellow
PLIN1	PLIN1	yellow
CNTNAP4	CNTNAP4	yellow
ADIPOR2	ADIPOR2	yellow
DUSP10	DUSP10	yellow
PDE1C	PDE1C	yellow
ACTL10	ACTL10	yellow
BVES	BVES	yellow
BEST3	BEST3	yellow
KIAA1598	KIAA1598	yellow
SH3BP4	SH3BP4	yellow
SLC45A2	SLC45A2	yellow
LAYN	LAYN	yellow
STEAP1B	STEAP1B	yellow
GINS4	GINS4	yellow
GPRC5B	GPRC5B	yellow
CATSPERG	CATSPERG	yellow
LYPD3	LYPD3	yellow
JAM3	JAM3	yellow
PHGDH	PHGDH	yellow
USP54	USP54	yellow
ZNF652	ZNF652	yellow
FAM124A	FAM124A	yellow
CDK3	CDK3	yellow
C19orf18	C19orf18	yellow
PLEKHB1	PLEKHB1	yellow
LRRIQ3	LRRIQ3	yellow
TBC1D29	TBC1D29	yellow
TMEM165	TMEM165	yellow
CD82	CD82	yellow
OCLN	OCLN	yellow
MICALL1	MICALL1	yellow
SOX3	SOX3	yellow
CRISPLD1	CRISPLD1	yellow
FAM53B	FAM53B	yellow
GAB2	GAB2	yellow
MYBPHL	MYBPHL	yellow
LLGL1	LLGL1	yellow
KRBA2	KRBA2	yellow
TMEM140	TMEM140	yellow
EYA4	EYA4	yellow
IKZF2	IKZF2	yellow
BTBD8	BTBD8	yellow
C18orf54	C18orf54	yellow
TSC22D4	TSC22D4	yellow
PLEKHG4	PLEKHG4	yellow
KCNE1L	KCNE1L	yellow
RDH16	RDH16	yellow
EXD1	EXD1	yellow
PKP4	PKP4	yellow
NR4A2	NR4A2	yellow
C1orf198	C1orf198	yellow
ANO7	ANO7	yellow
ANKFN1	ANKFN1	yellow
GAB1	GAB1	yellow
SHB	SHB	yellow
RSPH10B	RSPH10B	yellow
RP11-537P22.1	RP11-537P22.1	yellow
ARHGEF1	ARHGEF1	yellow
SPOCK3	SPOCK3	yellow
ZHX1-C8ORF76	ZHX1-C8ORF76	yellow
MAP6D1	MAP6D1	yellow
ZDHHC9	ZDHHC9	yellow
SPSB1	SPSB1	yellow
CCDC15	CCDC15	yellow
CDC42EP2	CDC42EP2	yellow
FOXN2	FOXN2	yellow
C14orf164	C14orf164	yellow
DUOX1	DUOX1	yellow
CENPB	CENPB	yellow
SEMA6A	SEMA6A	yellow
SFTPC	SFTPC	yellow
AATK	AATK	yellow
NUTM2D	NUTM2D	yellow
MEIS1	MEIS1	yellow
SLC4A5	SLC4A5	yellow
CDR2L	CDR2L	yellow
FGFR2	FGFR2	yellow
ANKRD44	ANKRD44	yellow
ACSL1	ACSL1	yellow
C11orf65	C11orf65	yellow
NOX4	NOX4	yellow
TAS2R20	TAS2R20	yellow
CCDC150	CCDC150	yellow
COL16A1	COL16A1	yellow
ZHX2	ZHX2	yellow
FANCB	FANCB	yellow
LSS	LSS	yellow
RRBP1	RRBP1	yellow
C7orf41	C7orf41	yellow
ERBB2IP	ERBB2IP	yellow
HSD17B7	HSD17B7	yellow
FCHO1	FCHO1	yellow
THEMIS2	THEMIS2	yellow
